scenario,criterion,mean,count,ci_low,ci_high
early_seir_infected_only,aic,0.1125,80,0.060326869466304764,0.20018218092372875
early_seir_infected_only,aicc,0.05,80,0.01961355453554428,0.1216227620464301
early_seir_infected_only,bic,0.0625,80,0.026989375670841982,0.13810148767274424
early_seir_infected_only,gic_eff,0.4375,80,0.33413860916143806,0.5465886570305026
early_seir_infected_only,gic_vol_025,0.525,80,0.41695642649729936,0.6307526670259243
early_seir_infected_only,gic_vol_050,0.6,80,0.4904546500516039,0.7003817240412906
early_seir_infected_only,gic_vol_100,0.8375,80,0.7415709565930229,0.9025018059704963
early_seir_infected_only,ogic_e,0.825,80,0.7274245802116865,0.8927936355902206
missing_neural_feedback,aic,0.0,80,0.0,0.0458181295355271
missing_neural_feedback,aicc,0.0,80,0.0,0.0458181295355271
missing_neural_feedback,bic,0.0,80,0.0,0.0458181295355271
missing_neural_feedback,gic_eff,0.65,80,0.5408000664880767,0.7454544946512652
missing_neural_feedback,gic_vol_025,0.65,80,0.5408000664880767,0.7454544946512652
missing_neural_feedback,gic_vol_050,0.675,80,0.5664052731061473,0.7675583815564182
missing_neural_feedback,gic_vol_100,0.6,80,0.4904546500516039,0.7003817240412906
missing_neural_feedback,ogic_e,0.2625,80,0.1785740148850936,0.36818959664428175
missing_time_varying_transmission,aic,1.0,80,0.9541818704644728,0.9999999999999999
missing_time_varying_transmission,aicc,1.0,80,0.9541818704644728,0.9999999999999999
missing_time_varying_transmission,bic,1.0,80,0.9541818704644728,0.9999999999999999
missing_time_varying_transmission,gic_eff,0.8375,80,0.7415709565930229,0.9025018059704963
missing_time_varying_transmission,gic_vol_025,0.875,80,0.7849719790084033,0.9306644238399513
missing_time_varying_transmission,gic_vol_050,0.8875,80,0.7998178190762713,0.9396731305336952
missing_time_varying_transmission,gic_vol_100,0.9375,80,0.8618985123272557,0.973010624329158
missing_time_varying_transmission,ogic_e,0.975,80,0.9133556701442198,0.9931171067970292
noisy_sir_overfit_risk,aic,0.7875,80,0.6857784426940333,0.8628761328230384
noisy_sir_overfit_risk,aicc,0.8375,80,0.7415709565930229,0.9025018059704963
noisy_sir_overfit_risk,bic,0.9125,80,0.8302320449152499,0.9569679982179401
noisy_sir_overfit_risk,gic_eff,0.7125,80,0.6053965378701002,0.8001307570773007
noisy_sir_overfit_risk,gic_vol_025,0.725,80,0.6185594135898548,0.810822428119158
noisy_sir_overfit_risk,gic_vol_050,0.7375,80,0.6318104033557184,0.8214259851149064
noisy_sir_overfit_risk,gic_vol_100,0.7375,80,0.6318104033557184,0.8214259851149064
noisy_sir_overfit_risk,ogic_e,0.6625,80,0.5535652339817697,0.756543873919184
regular_sir_full,aic,0.875,80,0.7849719790084033,0.9306644238399513
regular_sir_full,aicc,0.9375,80,0.8618985123272557,0.973010624329158
regular_sir_full,bic,0.9875,80,0.9325372992233133,0.9977900244795476
regular_sir_full,gic_eff,0.9875,80,0.9325372992233133,0.9977900244795476
regular_sir_full,gic_vol_025,1.0,80,0.9541818704644728,0.9999999999999999
regular_sir_full,gic_vol_050,1.0,80,0.9541818704644728,0.9999999999999999
regular_sir_full,gic_vol_100,1.0,80,0.9541818704644728,0.9999999999999999
regular_sir_full,ogic_e,1.0,80,0.9541818704644728,0.9999999999999999
