dimension,observations,repeat,jacobian_seconds,gram_seconds,spectrum_seconds,tensor_megabytes
10,240,0,0.0005015000060666353,1.0199990356341004e-05,0.00014879999798722565,0.0191497802734375
10,240,1,0.0005004999984521419,1.0299991117790341e-05,0.00017510002362541854,0.0191497802734375
10,240,2,0.0004896000027656555,1.1600001016631722e-05,0.0001551999885123223,0.0191497802734375
10,240,3,0.0004864000075031072,1.0199990356341004e-05,0.0001587000151630491,0.0191497802734375
10,240,4,0.0004605000140145421,1.0499992640689015e-05,0.00015089998487383127,0.0191497802734375
10,240,5,0.00046949999523349106,9.99998883344233e-06,0.00015730000450275838,0.0191497802734375
10,240,6,0.0005039000243414193,9.799987310543656e-06,0.0001475999888498336,0.0191497802734375
10,240,7,0.0004729999927803874,1.0299991117790341e-05,0.00015940002049319446,0.0191497802734375
10,240,8,0.000457499991171062,1.0100018698722124e-05,0.00013989998842589557,0.0191497802734375
10,240,9,0.0004401999758556485,9.700015652924776e-06,0.00015159999020397663,0.0191497802734375
10,240,10,0.00045759999193251133,1.0099989594891667e-05,0.00013940001372247934,0.0191497802734375
10,240,11,0.00044440000783652067,9.799987310543656e-06,0.00014869999722577631,0.0191497802734375
10,240,12,0.00046099998871795833,9.99998883344233e-06,0.0001629000180400908,0.0191497802734375
10,240,13,0.0004667000030167401,1.1900003300979733e-05,0.00015269999857991934,0.0191497802734375
10,240,14,0.0004746000049635768,9.600014891475439e-06,0.0001601999974809587,0.0191497802734375
10,240,15,0.00046579999616369605,1.0799994925037026e-05,0.00014930000179447234,0.0191497802734375
10,240,16,0.0005821999802719802,1.1399999493733048e-05,0.00015490001533180475,0.0191497802734375
10,240,17,0.0004658999969251454,1.0299991117790341e-05,0.00015990002430044115,0.0191497802734375
10,240,18,0.0004757000133395195,9.799987310543656e-06,0.00012829998740926385,0.0191497802734375
10,240,19,0.0004393999988678843,1.0199990356341004e-05,0.00013890000991523266,0.0191497802734375
20,240,0,0.000524500006577,5.089998012408614e-05,0.00019829999655485153,0.039825439453125
20,240,1,0.0005502999993041158,6.239998037926853e-05,0.00017970000044442713,0.039825439453125
20,240,2,0.00048260000767186284,4.579999949783087e-05,0.00015919998986646533,0.039825439453125
20,240,3,0.0004961999948136508,5.9299985878169537e-05,0.00015700000221841037,0.039825439453125
20,240,4,0.0005797999911010265,5.15999854542315e-05,0.00017939999816007912,0.039825439453125
20,240,5,0.0004529999860096723,4.850002005696297e-05,0.00017139999545179307,0.039825439453125
20,240,6,0.0004867000097874552,5.2099989261478186e-05,0.00015850001364015043,0.039825439453125
20,240,7,0.0004959999932907522,5.339999916031957e-05,0.00016530000721104443,0.039825439453125
20,240,8,0.0005193999968469143,6.140000186860561e-05,0.0001807000080589205,0.039825439453125
20,240,9,0.0004996000207029283,5.729999975301325e-05,0.0001954999752342701,0.039825439453125
20,240,10,0.0005214999837335199,5.269999383017421e-05,0.00017220000154338777,0.039825439453125
20,240,11,0.0005185999907553196,4.630000330507755e-05,0.0001852999848779291,0.039825439453125
20,240,12,0.0005345999961718917,6.910000229254365e-05,0.00017389998538419604,0.039825439453125
20,240,13,0.0004946000117342919,5.040000542066991e-05,0.00019180000526830554,0.039825439453125
20,240,14,0.000522699992870912,6.130000110715628e-05,0.00016500000492669642,0.039825439453125
20,240,15,0.0005252000119071454,5.040000542066991e-05,0.00017389998538419604,0.039825439453125
20,240,16,0.0004802999901585281,5.5199983762577176e-05,0.00018110001110471785,0.039825439453125
20,240,17,0.0004788000078406185,4.2400002712383866e-05,0.00017079999088309705,0.039825439453125
20,240,18,0.00048790001892484725,5.3800002206116915e-05,0.0001784000196494162,0.039825439453125
20,240,19,0.000527600001078099,5.360000068321824e-05,0.0001908999984152615,0.039825439453125
50,240,0,0.0005571999936364591,6.089999806135893e-05,0.0003499000158626586,0.1110076904296875
50,240,1,0.0006218999915290624,7.639999967068434e-05,0.0003896999987773597,0.1110076904296875
50,240,2,0.0006531000253744423,6.019999273121357e-05,0.0003400999994482845,0.1110076904296875
50,240,3,0.0006102999905124307,5.5500015150755644e-05,0.0004081999941263348,0.1110076904296875
50,240,4,0.0007165999850258231,6.150000263005495e-05,0.0003544999926816672,0.1110076904296875
50,240,5,0.0006641999934799969,6.779999239370227e-05,0.00034420000156387687,0.1110076904296875
50,240,6,0.0006138000171631575,5.629999213851988e-05,0.0003418999840505421,0.1110076904296875
50,240,7,0.0005565999890677631,5.8900011936202645e-05,0.00035310001112520695,0.1110076904296875
50,240,8,0.0005793000163976103,6.829999620094895e-05,0.0003679999790620059,0.1110076904296875
50,240,9,0.0006489999941550195,6.459999713115394e-05,0.00033149999217130244,0.1110076904296875
50,240,10,0.0006373999931383878,5.3800002206116915e-05,0.0003215000033378601,0.1110076904296875
50,240,11,0.0006198000046424568,4.9700000090524554e-05,0.0003192000149283558,0.1110076904296875
50,240,12,0.0005770999996457249,5.840000812895596e-05,0.0003173999721184373,0.1110076904296875
50,240,13,0.0005585000035353005,5.069997860118747e-05,0.0005473000055644661,0.1110076904296875
50,240,14,0.0006273000035434961,5.9200014220550656e-05,0.0003434999962337315,0.1110076904296875
50,240,15,0.0005776000034529716,6.059999577701092e-05,0.00032210000790655613,0.1110076904296875
50,240,16,0.0005720000190194696,5.4199976148083806e-05,0.0003349000180605799,0.1110076904296875
50,240,17,0.0005828999856021255,5.120001151226461e-05,0.0003659999929368496,0.1110076904296875
50,240,18,0.0005988000193610787,0.00011850000009872019,0.0003147000097669661,0.1110076904296875
50,240,19,0.0005885999999009073,5.3800002206116915e-05,0.0003724000125657767,0.1110076904296875
100,240,0,0.0007192000048235059,7.609999738633633e-05,0.0031174999894574285,0.260162353515625
100,240,1,0.0008159000135492533,7.609999738633633e-05,0.0028691999905277044,0.260162353515625
100,240,2,0.0007406000222545117,6.250001024454832e-05,0.002966600004583597,0.260162353515625
100,240,3,0.0007227000023704022,0.00010450000991113484,0.0031173000170383602,0.260162353515625
100,240,4,0.0008054999925661832,7.249999907799065e-05,0.0029110999894328415,0.260162353515625
