scenario,seed,criterion,truth,selected,correct
early_seir_infected_only,13,gic_eff,seir,seir,1
early_seir_infected_only,13,gic_vol_025,seir,seir,1
early_seir_infected_only,13,gic_vol_050,seir,seir,1
early_seir_infected_only,13,gic_vol_100,seir,seir,1
early_seir_infected_only,13,ogic_e,seir,seir,1
early_seir_infected_only,14,aic,seir,sir,0
early_seir_infected_only,14,aicc,seir,sir,0
early_seir_infected_only,14,bic,seir,sir,0
early_seir_infected_only,14,gic_eff,seir,sir,0
early_seir_infected_only,14,gic_vol_025,seir,sir,0
early_seir_infected_only,14,gic_vol_050,seir,sir,0
early_seir_infected_only,14,gic_vol_100,seir,seir,1
early_seir_infected_only,14,ogic_e,seir,seir,1
early_seir_infected_only,15,aic,seir,sir,0
early_seir_infected_only,15,aicc,seir,sir,0
early_seir_infected_only,15,bic,seir,sir,0
early_seir_infected_only,15,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,15,gic_vol_025,seir,sir,0
early_seir_infected_only,15,gic_vol_050,seir,sir,0
early_seir_infected_only,15,gic_vol_100,seir,sir,0
early_seir_infected_only,15,ogic_e,seir,seir,1
early_seir_infected_only,16,aic,seir,sir,0
early_seir_infected_only,16,aicc,seir,sir,0
early_seir_infected_only,16,bic,seir,sir,0
early_seir_infected_only,16,gic_eff,seir,sir,0
early_seir_infected_only,16,gic_vol_025,seir,sir,0
early_seir_infected_only,16,gic_vol_050,seir,seir,1
early_seir_infected_only,16,gic_vol_100,seir,seir,1
early_seir_infected_only,16,ogic_e,seir,seir,1
early_seir_infected_only,17,aic,seir,sir,0
early_seir_infected_only,17,aicc,seir,sir,0
early_seir_infected_only,17,bic,seir,sir,0
early_seir_infected_only,17,gic_eff,seir,seir,1
early_seir_infected_only,17,gic_vol_025,seir,seir,1
early_seir_infected_only,17,gic_vol_050,seir,seir,1
early_seir_infected_only,17,gic_vol_100,seir,seir,1
early_seir_infected_only,17,ogic_e,seir,seir,1
early_seir_infected_only,18,aic,seir,sir,0
early_seir_infected_only,18,aicc,seir,sir,0
early_seir_infected_only,18,bic,seir,sir,0
early_seir_infected_only,18,gic_eff,seir,seir,1
early_seir_infected_only,18,gic_vol_025,seir,seir,1
early_seir_infected_only,18,gic_vol_050,seir,seir,1
early_seir_infected_only,18,gic_vol_100,seir,seir,1
early_seir_infected_only,18,ogic_e,seir,seir,1
early_seir_infected_only,19,aic,seir,sir,0
early_seir_infected_only,19,aicc,seir,sir,0
early_seir_infected_only,19,bic,seir,sir,0
early_seir_infected_only,19,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,19,gic_vol_025,seir,sir,0
early_seir_infected_only,19,gic_vol_050,seir,sir,0
early_seir_infected_only,19,gic_vol_100,seir,sir,0
early_seir_infected_only,19,ogic_e,seir,seir,1
early_seir_infected_only,20,aic,seir,tv_sir,0
early_seir_infected_only,20,aicc,seir,sir,0
early_seir_infected_only,20,bic,seir,tv_sir,0
early_seir_infected_only,20,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,20,gic_vol_025,seir,ude_sir_h2,0
early_seir_infected_only,20,gic_vol_050,seir,seir,1
early_seir_infected_only,20,gic_vol_100,seir,seir,1
early_seir_infected_only,20,ogic_e,seir,seir,1
early_seir_infected_only,21,aic,seir,sir,0
early_seir_infected_only,21,aicc,seir,sir,0
early_seir_infected_only,21,bic,seir,sir,0
early_seir_infected_only,21,gic_eff,seir,sir,0
early_seir_infected_only,21,gic_vol_025,seir,sir,0
early_seir_infected_only,21,gic_vol_050,seir,sir,0
early_seir_infected_only,21,gic_vol_100,seir,seir,1
early_seir_infected_only,21,ogic_e,seir,seir,1
early_seir_infected_only,22,aic,seir,sir,0
