dimension,jacobian_median,gram_median,spectrum_median,tensor_megabytes
10,0.0004680999991251156,1.0199990356341004e-05,0.00015214999439194798,0.0191497802734375
20,0.000509100005729124,5.304999649524689e-05,0.00017615000251680613,0.039825439453125
50,0.0006045500049367547,5.905001307837665e-05,0.0003438499988988042,0.1110076904296875
100,0.0007602000114275143,7.140000525396317e-05,0.002934500007540919,0.260162353515625
200,0.0010391500109108165,0.00012234998575877398,0.016214400005992502,0.67291259765625
