scenario,candidate,n,median_gradient_norm,median_wall_seconds,median_objective
early_seir_infected_only,neural_ode_h2,80,2.4829170923796196e-05,76.089420349992,-29.489373111534167
early_seir_infected_only,seir,80,2.0114934747456492e-05,43.91259520001768,-40.80025190947968
early_seir_infected_only,sir,80,2.1902434592512606e-05,34.372280899988255,-40.355556622833035
early_seir_infected_only,tv_sir,80,4.249234371911952e-05,54.20463484998618,-41.64482229025042
early_seir_infected_only,ude_sir_h2,80,4.1483920760829556e-05,90.14900395000586,-40.64892275256709
missing_neural_feedback,neural_ode_h2,80,4.122436340555526e-05,177.36356235000017,-86.26019431153843
missing_neural_feedback,seir,80,8.278287725362496e-05,88.14544780000028,-63.272526827472134
missing_neural_feedback,sir,80,0.00023006841026595038,70.3368604499999,-24.486382062329696
missing_neural_feedback,tv_sir,80,0.00015618616113385073,118.59374340000022,-104.85282842348792
missing_neural_feedback,ude_sir_h2,80,6.840456775162291e-05,220.99235119999958,-103.60662668609405
missing_time_varying_transmission,neural_ode_h2,80,5.042612362582791e-05,164.59068990000003,-77.65377234723859
missing_time_varying_transmission,seir,80,0.00011504533504422748,80.04035569999999,-83.62848878285564
missing_time_varying_transmission,sir,80,3.245775004016369e-05,62.26145205000785,-38.751430889559884
missing_time_varying_transmission,tv_sir,80,0.0001481469394390417,110.98382719999995,-105.10955343070601
missing_time_varying_transmission,ude_sir_h2,80,7.50973387096304e-05,193.72903479999994,-103.92025866257782
noisy_sir_overfit_risk,neural_ode_h2,80,5.2652468109172445e-06,57.543394199999966,-31.533072882484
noisy_sir_overfit_risk,seir,80,2.5437838198532095e-05,28.145171349999146,-46.052266200461816
noisy_sir_overfit_risk,sir,80,7.981588353647979e-06,21.142811349998738,-46.33153255294481
noisy_sir_overfit_risk,tv_sir,80,4.614890067233984e-05,36.929863449999175,-46.87324136327788
noisy_sir_overfit_risk,ude_sir_h2,80,3.526041059841313e-05,67.48510864999935,-46.64515588774603
regular_sir_full,neural_ode_h2,80,0.0789614800014305,173.94936670000607,-228.45938827782714
regular_sir_full,seir,80,0.00037728432018139147,83.15694574998633,-242.96315667469509
regular_sir_full,sir,80,0.0004061518015559163,63.82002639998973,-278.85009410139537
regular_sir_full,tv_sir,80,0.0005682969240441338,104.55929375000414,-279.4032223567975
regular_sir_full,ude_sir_h2,80,0.001090998018973719,198.1786018999992,-279.23288931964163
