study,candidate,n,median_gradient_norm,median_wall_seconds
biochemical_haldane,haldane,30,0.00011032583726594941,80.8501592499997
biochemical_haldane,mm,30,27.019285547176988,64.63401359999989
biochemical_haldane,neural_rate,30,1.2529246397392353,124.00523134999821
biochemical_haldane,ude_mm,30,9.799892488707752e-05,169.86273349999828
biochemical_ude,haldane,30,0.00013920753874291467,37.15175725000154
biochemical_ude,mm,30,6.343147571524387e-05,26.90938119999919
biochemical_ude,neural_rate,30,0.00011397091600930714,55.802291400003014
biochemical_ude,ude_mm,30,3.742051651064448e-05,78.68036315000063
ecology_rm,lv,30,0.004926185454187909,118.67102795000028
ecology_rm,neural_ode,30,1.5171315391257287,285.0934065000001
ecology_rm,rm,30,0.0001358837044880952,250.72161954999683
ecology_rm,ude_lv,30,0.06105870515394363,343.7896999500008
fhn_standard,fhn,30,0.0020276742453329095,529.409947650005
fhn_standard,neural_ode,30,24949.14899888166,799.1741309500067
fhn_standard,tv_fhn,30,34.92802676147696,801.699024249996
fhn_standard,ude_fhn,30,6.596120770450671,1085.7039242000028
fhn_ude,fhn,30,0.004044681792236394,343.9993013499975
fhn_ude,neural_ode,30,10738784.576120552,512.9978187999964
fhn_ude,tv_fhn,30,1780.1897736289193,504.1208857000004
fhn_ude,ude_fhn,30,670.9730566987902,696.0808242499988
