scenario,seed,method,mse,log_score,coverage90,mean_width90,within_variance,between_variance,weight_sir,weight_tv_sir,weight_ude_sir_h2,weight_neural_ode_h2
early_seir_infected_only,0,equal,0.00014443818555785303,1.9544018711809423,1.0,0.18595286974701983,0.0020708733770348356,0.0013699423149747087,0.25,0.25,0.25,0.25
early_seir_infected_only,0,aic,6.564166611099753e-05,2.2768070638709004,1.0,0.14001018519792416,0.0019334091268279092,6.718197300694018e-05,0.7240802663941643,0.2757499803085124,0.0001660520127380505,3.701284585302734e-06
early_seir_infected_only,0,bic,7.830590342247725e-05,2.3212716004200025,1.0,0.13312036943861252,0.0017659977768674333,4.274209083760029e-05,0.8504272278744266,0.14956670151344115,6.028440849779151e-06,4.217128262902934e-08
early_seir_infected_only,0,gic_evid,0.00021916115968725054,2.204319452628934,1.0,0.14853014957354602,0.0022271605581905933,8.880770845855597e-05,0.5762185480149064,0.08213928424725558,0.3416384651085866,3.702629251331765e-06
early_seir_infected_only,0,stacking,1.1932386229852815e-05,2.2449543052931773,1.0,0.14336360552790353,0.0014845561969729524,0.0005434311372701487,0.9098432483779286,4.31769262154464e-29,1.9931818361284513e-06,0.0901547584402353
early_seir_infected_only,0,hard_gic_pred,0.000672551183948112,2.0280316008626573,1.0,0.1709756929265005,0.003179201474469059,0.0,0.0,0.0,1.0,0.0
early_seir_infected_only,1,equal,0.00036656233875351864,1.9057694827246985,1.0,0.18574712288077266,0.0021460502310521657,0.001311537067736421,0.25,0.25,0.25,0.25
early_seir_infected_only,1,aic,6.382768859255094e-05,2.266450978476762,1.0,0.13792069280211797,0.0018614049604746003,7.023358871953881e-05,0.6182616102442625,0.3814736836608401,0.0002578019174843037,6.904177413056442e-06
early_seir_infected_only,1,bic,2.8654289876267982e-05,2.339661726941167,1.0,0.13006047351876618,0.0016579301536670792,5.124464092886367e-05,0.7782354582382501,0.221754426661017,1.0030793552930135e-05,8.430718010610297e-08
early_seir_infected_only,1,gic_evid,5.88045239772589e-05,2.2006200981387853,1.0,0.1539300805683516,0.0023487167402617623,0.00014286240654899692,0.5514129733683296,0.13486783062334168,0.31371381826611033,5.377742218327011e-06
early_seir_infected_only,1,stacking,0.0006879278271523763,1.7258157034319017,1.0,0.21632820191961247,0.002406973569814321,0.00228810551678726,1.1174981005605596e-07,7.611150702015713e-33,0.5382462253342946,0.46175366291589537
early_seir_infected_only,1,hard_gic_pred,0.00048662594612265713,1.9925261480463705,1.0,0.1887700773164177,0.003930077023667528,0.0,0.0,0.0,1.0,0.0
early_seir_infected_only,2,equal,5.970788891177986e-05,1.911642674039132,1.0,0.19935115763018274,0.002462628216297561,0.0015181375286985972,0.25,0.25,0.25,0.25
early_seir_infected_only,2,aic,5.726454294146183e-05,2.178428218963651,1.0,0.1557102506237805,0.0023742901990575055,0.00014067419330713902,0.5164846403916302,0.4832923674474649,0.0002153032202633132,7.688940641632573e-06
early_seir_infected_only,2,bic,0.00013528792343619437,2.2238839584180203,1.0,0.1454059633892634,0.0020646623308601306,0.00011858120708980092,0.6982508405769918,0.3017400612247142,8.997357919034658e-06,1.0084037489807063e-07
early_seir_infected_only,2,gic_evid,0.000353206744911346,2.0977116971422523,1.0,0.1624086427044013,0.0026834126085089785,0.00012741608195233838,0.5422316527794919,0.14944949418404446,0.30831144267106025,7.410365403312098e-06
early_seir_infected_only,2,stacking,0.001734645958171927,1.6463483242492198,1.0,0.1968855975594265,0.001739937890339844,0.002077391082390092,3.3616719350376036e-07,2.5667683456823754e-74,0.29122606733251205,0.7087735965002944
early_seir_infected_only,2,hard_gic_pred,0.0009298613746739087,1.8739855240963588,1.0,0.1989224887487329,0.004398831329209054,0.0,0.0,0.0,1.0,0.0
early_seir_infected_only,3,equal,0.004318520982841003,1.3060064617956677,1.0,0.14981981209025783,0.0017684987868592777,0.00037829420288715444,0.25,0.25,0.25,0.25
early_seir_infected_only,3,aic,0.003072793341020347,1.6292618256893474,1.0,0.14086195339248045,0.001971830836528623,6.604863853066126e-06,0.833854851138631,0.1660405562756534,0.00010290348224921345,1.6891034662949038e-06
early_seir_infected_only,3,bic,0.0030382207590067376,1.6252655124430841,1.0,0.13714546918727297,0.0018787823459206264,3.6767823588116836e-06,0.9157823572487043,0.08421413140385775,3.4933516050495264e-06,1.7995832940256282e-08
early_seir_infected_only,3,gic_evid,0.0030193495435134783,1.6223743779418767,1.0,0.13515412291097417,0.001830723501602602,1.8374159427058165e-06,0.4869463462376785,0.03946494301625172,0.47357393748203397,1.4773264035719176e-05
early_seir_infected_only,3,stacking,0.0030026773153034383,1.6192436127528322,1.0,0.13338603321546136,0.0017890268105658514,8.593381419423911e-13,1.4336149256380526e-08,8.650751021310728e-11,0.9999999851475458,4.297971927966535e-10
early_seir_infected_only,3,hard_gic_pred,0.0030033132902545587,1.6182294689362655,1.0,0.13317941227657382,0.0017830172368136679,0.0,1.0,0.0,0.0,0.0
early_seir_infected_only,4,equal,0.0002822125272579443,1.9764543112676167,1.0,0.18027536121972002,0.0019605752878530144,0.0012020192488951791,0.25,0.25,0.25,0.25
early_seir_infected_only,4,aic,6.979985764344917e-05,2.1782450261287827,1.0,0.1531410560730998,0.0023561203346234376,9.132528417407297e-05,0.7165628728586463,0.2833476870162984,8.856053037404281e-05,8.795946812296969e-07
early_seir_infected_only,4,bic,7.174938001254661e-05,2.212732235379134,1.0,0.1476140089820945,0.0022239103814820876,5.871974621732683e-05,0.8455816180053769,0.15441514155843514,3.230366924470982e-06,1.0069263650191553e-08
early_seir_infected_only,4,gic_evid,8.446239054077716e-05,2.2404671403188723,1.0,0.14298411478724674,0.00212371944942127,2.3411900686492267e-05,0.4778122063607547,0.05463548527460172,0.4675517929583789,5.154062647893193e-07
early_seir_infected_only,4,stacking,0.0016590560498610685,1.7566783246914726,1.0,0.1796199851646305,0.0018819834628692716,0.001155550622616159,6.399571027628111e-11,0.5115845032460838,6.4063179309988e-11,0.4884154966258573
early_seir_infected_only,4,hard_gic_pred,9.6162065097061e-05,2.2559083013480383,1.0,0.14031059658439746,0.0020701171926931212,0.0,0.0,0.0,1.0,0.0
