study,seed,criterion,truth,selected,correct
biochemical_haldane,17,gic_vol_050,haldane,ude_mm,0
biochemical_haldane,17,ogic_e,haldane,haldane,1
biochemical_haldane,18,aic,haldane,haldane,1
biochemical_haldane,18,aicc,haldane,haldane,1
biochemical_haldane,18,bic,haldane,haldane,1
biochemical_haldane,18,gic_eff,haldane,ude_mm,0
biochemical_haldane,18,gic_vol_050,haldane,haldane,1
biochemical_haldane,18,ogic_e,haldane,haldane,1
biochemical_haldane,19,aic,haldane,haldane,1
biochemical_haldane,19,aicc,haldane,haldane,1
biochemical_haldane,19,bic,haldane,haldane,1
biochemical_haldane,19,gic_eff,haldane,ude_mm,0
biochemical_haldane,19,gic_vol_050,haldane,haldane,1
biochemical_haldane,19,ogic_e,haldane,haldane,1
biochemical_haldane,20,aic,haldane,haldane,1
biochemical_haldane,20,aicc,haldane,haldane,1
biochemical_haldane,20,bic,haldane,haldane,1
biochemical_haldane,20,gic_eff,haldane,haldane,1
biochemical_haldane,20,gic_vol_050,haldane,haldane,1
biochemical_haldane,20,ogic_e,haldane,haldane,1
biochemical_haldane,21,aic,haldane,haldane,1
biochemical_haldane,21,aicc,haldane,haldane,1
biochemical_haldane,21,bic,haldane,haldane,1
biochemical_haldane,21,gic_eff,haldane,haldane,1
biochemical_haldane,21,gic_vol_050,haldane,haldane,1
biochemical_haldane,21,ogic_e,haldane,haldane,1
biochemical_haldane,22,aic,haldane,haldane,1
biochemical_haldane,22,aicc,haldane,haldane,1
biochemical_haldane,22,bic,haldane,haldane,1
biochemical_haldane,22,gic_eff,haldane,haldane,1
biochemical_haldane,22,gic_vol_050,haldane,haldane,1
biochemical_haldane,22,ogic_e,haldane,haldane,1
biochemical_haldane,23,aic,haldane,haldane,1
biochemical_haldane,23,aicc,haldane,haldane,1
biochemical_haldane,23,bic,haldane,haldane,1
biochemical_haldane,23,gic_eff,haldane,haldane,1
biochemical_haldane,23,gic_vol_050,haldane,haldane,1
biochemical_haldane,23,ogic_e,haldane,haldane,1
biochemical_haldane,24,aic,haldane,haldane,1
biochemical_haldane,24,aicc,haldane,haldane,1
biochemical_haldane,24,bic,haldane,haldane,1
biochemical_haldane,24,gic_eff,haldane,haldane,1
biochemical_haldane,24,gic_vol_050,haldane,haldane,1
biochemical_haldane,24,ogic_e,haldane,haldane,1
biochemical_haldane,25,aic,haldane,haldane,1
biochemical_haldane,25,aicc,haldane,haldane,1
biochemical_haldane,25,bic,haldane,haldane,1
