n_times,noise,trajectories,seed,criterion,selected,correct
10,0.005,2,5,gic_eff,ude_sir_h2,1
10,0.005,2,5,gic_vol_050,ude_sir_h2,1
10,0.005,2,5,ogic_e,ude_sir_h2,1
10,0.005,2,6,aic,ude_sir_h2,1
10,0.005,2,6,bic,ude_sir_h2,1
10,0.005,2,6,gic_eff,ude_sir_h2,1
10,0.005,2,6,gic_vol_050,ude_sir_h2,1
10,0.005,2,6,ogic_e,ude_sir_h2,1
10,0.005,2,7,aic,ude_sir_h2,1
10,0.005,2,7,bic,ude_sir_h2,1
10,0.005,2,7,gic_eff,ude_sir_h2,1
10,0.005,2,7,gic_vol_050,ude_sir_h2,1
10,0.005,2,7,ogic_e,ude_sir_h2,1
10,0.005,2,8,aic,ude_sir_h2,1
10,0.005,2,8,bic,ude_sir_h2,1
10,0.005,2,8,gic_eff,ude_sir_h2,1
10,0.005,2,8,gic_vol_050,ude_sir_h2,1
10,0.005,2,8,ogic_e,ude_sir_h2,1
10,0.005,2,9,aic,ude_sir_h2,1
10,0.005,2,9,bic,ude_sir_h2,1
10,0.005,2,9,gic_eff,ude_sir_h2,1
10,0.005,2,9,gic_vol_050,ude_sir_h2,1
10,0.005,2,9,ogic_e,ude_sir_h2,1
10,0.005,2,10,aic,ude_sir_h2,1
10,0.005,2,10,bic,ude_sir_h2,1
10,0.005,2,10,gic_eff,ude_sir_h2,1
10,0.005,2,10,gic_vol_050,ude_sir_h2,1
10,0.005,2,10,ogic_e,ude_sir_h2,1
10,0.005,2,11,aic,ude_sir_h2,1
10,0.005,2,11,bic,ude_sir_h2,1
10,0.005,2,11,gic_eff,ude_sir_h2,1
10,0.005,2,11,gic_vol_050,ude_sir_h2,1
10,0.005,2,11,ogic_e,ude_sir_h2,1
10,0.005,2,12,aic,ude_sir_h2,1
10,0.005,2,12,bic,ude_sir_h2,1
10,0.005,2,12,gic_eff,ude_sir_h2,1
10,0.005,2,12,gic_vol_050,ude_sir_h2,1
10,0.005,2,12,ogic_e,ude_sir_h2,1
10,0.005,2,13,aic,ude_sir_h2,1
10,0.005,2,13,bic,ude_sir_h2,1
10,0.005,2,13,gic_eff,ude_sir_h2,1
10,0.005,2,13,gic_vol_050,ude_sir_h2,1
10,0.005,2,13,ogic_e,ude_sir_h2,1
10,0.005,2,14,aic,ude_sir_h2,1
10,0.005,2,14,bic,tv_sir,0
10,0.005,2,14,gic_eff,ude_sir_h2,1
10,0.005,2,14,gic_vol_050,ude_sir_h2,1
10,0.005,2,14,ogic_e,tv_sir,0
