schema_version,protocol_hash,status,scenario,candidate,truth,seed,draws,waic_laplace,p_waic
2.0,e81aa89071ee0452,ok,early_seir_infected_only,sir,seir,7,512,-40.81704305193583,23.175103676067422
2.0,18c25522eab8072c,ok,early_seir_infected_only,sir,seir,8,512,15.943471789992467,50.5552063166148
2.0,ce064009b8c1e699,ok,early_seir_infected_only,sir,seir,9,512,-51.349620696680816,14.091576800182034
2.0,28ef60c02547e7a1,ok,early_seir_infected_only,sir,seir,10,512,10.120103114528092,45.147755302470614
2.0,8ee9efda1c0f0e9d,ok,early_seir_infected_only,sir,seir,11,512,11.870552466171567,45.84082968557676
2.0,980dbe8e5868ad19,ok,early_seir_infected_only,sir,seir,12,512,-66.7847879515732,5.367956000899769
2.0,980601514c21f667,ok,early_seir_infected_only,sir,seir,13,512,-62.71491818074714,9.976376141197367
2.0,3dcdf75f6d6eaeb0,ok,early_seir_infected_only,sir,seir,14,512,5.286146698362732,40.604849190443616
2.0,8fb0be3ff961b6c1,ok,early_seir_infected_only,sir,seir,15,512,13.19815745697267,46.79622557620526
2.0,63706ec0d621d0e6,ok,early_seir_infected_only,sir,seir,16,512,-31.767653045464332,20.289929084344934
2.0,9bfcbd1bd5a76b50,ok,early_seir_infected_only,sir,seir,17,512,41.95982934516913,57.634368544498486
2.0,8619b67a85926d18,ok,early_seir_infected_only,sir,seir,18,512,3.5671062072547794,41.293630023991184
2.0,1eb154f06523cbb9,ok,early_seir_infected_only,sir,seir,19,512,20.83716612987059,51.92659470072242
2.0,2243bb0a4178bcd9,ok,early_seir_infected_only,tv_sir,seir,0,512,222.6875110565535,148.3104462974619
2.0,f867a50541dbae23,ok,early_seir_infected_only,tv_sir,seir,1,512,132.1035890327064,105.0691994505826
2.0,d9ad6b2eb9d73de1,ok,early_seir_infected_only,tv_sir,seir,2,512,123.30031465469185,101.33931705596376
2.0,522aa7340d2b36e5,ok,early_seir_infected_only,tv_sir,seir,3,512,-4.383248156731478,36.75315477315784
2.0,16c7608af390c77a,ok,early_seir_infected_only,tv_sir,seir,4,512,60.7142661159291,63.743886550803815
2.0,8eab2d35a4e59017,ok,early_seir_infected_only,tv_sir,seir,5,512,65.69156538079118,70.75334541354992
2.0,b8c07f70eab093e8,ok,early_seir_infected_only,tv_sir,seir,6,512,22.533133998587495,49.26973660078738
2.0,e1a40b0238d01d44,ok,early_seir_infected_only,tv_sir,seir,7,512,-15.32105665069042,34.92891422595171
2.0,18810a43993d12d2,ok,early_seir_infected_only,tv_sir,seir,8,512,52.74155241049597,68.12946455025312
2.0,18aee013b0e6297d,ok,early_seir_infected_only,tv_sir,seir,9,512,-45.65405884531057,17.826382232085255
2.0,9cff0ebc1302984d,ok,early_seir_infected_only,tv_sir,seir,10,512,50.59889366186475,64.8021169005528
2.0,2a4abd92f4553a4d,ok,early_seir_infected_only,tv_sir,seir,11,512,36.19373061372473,57.88871655120442
2.0,e8d47ca28c236b01,ok,early_seir_infected_only,tv_sir,seir,12,512,21.033239337694877,48.152094766107304
2.0,ceb0134a97e1033c,ok,early_seir_infected_only,tv_sir,seir,13,512,65.357474591219,72.43605799279688
2.0,28b0176d8922bab1,ok,early_seir_infected_only,tv_sir,seir,14,512,76.38519293333503,75.73527901186299
2.0,440c1854101a0522,ok,early_seir_infected_only,tv_sir,seir,15,512,47.9112093629234,63.58329215473353
2.0,a303f8c605a9e1f5,ok,early_seir_infected_only,tv_sir,seir,16,512,21.669370485862068,47.05109163830555
2.0,0b733a5b9631bb3d,ok,early_seir_infected_only,tv_sir,seir,17,512,52.51678938113156,62.708804334277104
2.0,1a770ed9cac08b76,ok,early_seir_infected_only,tv_sir,seir,18,512,-7.617511532248894,36.18616183806945
2.0,60f4d2219a01f0d1,ok,early_seir_infected_only,tv_sir,seir,19,512,67.79186955856747,74.48453098050085
2.0,d94a80b3e766092c,ok,early_seir_infected_only,ude_sir_h2,seir,0,512,4562.222411113915,2315.983703049141
2.0,62e00bae579f6792,ok,early_seir_infected_only,ude_sir_h2,seir,1,512,1022.6183321030321,547.6819081526826
2.0,60aaa9de72b38674,ok,early_seir_infected_only,ude_sir_h2,seir,2,512,805.4983534874402,438.8290076540112
2.0,d1ceeaa2459b9601,ok,early_seir_infected_only,ude_sir_h2,seir,3,512,4216.970679972416,2145.963751007883
2.0,bd0f7afc8931872d,ok,early_seir_infected_only,ude_sir_h2,seir,4,512,3428.4797148484945,1744.2840378694116
2.0,526bee473cdd233d,ok,early_seir_infected_only,ude_sir_h2,seir,5,512,3065.292530122097,1568.9862618398802
2.0,3e31084a852e64ae,ok,early_seir_infected_only,ude_sir_h2,seir,6,512,397.0046929851027,234.05725764191698
2.0,0f8434df1e9e5e93,ok,early_seir_infected_only,ude_sir_h2,seir,7,512,1493.6264416442475,787.5252457493892
2.0,4968de86f5911e2e,ok,early_seir_infected_only,ude_sir_h2,seir,8,512,990.4662348599558,534.3541796092929
