study,seed,criterion,truth,selected,correct,selection_gap,support_entropy
biochemical_haldane,11,gic_eff_logn,haldane,haldane,1,0.12342365906212649,0.6927640742630317
biochemical_haldane,12,aic,haldane,haldane,1,14.59835767476548,0.005617217234475108
biochemical_haldane,12,aicc,haldane,haldane,1,33.76319283960065,8.914589181681836e-07
biochemical_haldane,12,bic,haldane,haldane,1,24.349364273711103,6.82862622474698e-05
biochemical_haldane,12,gic_pred,haldane,ude_mm,0,0.535873440635811,0.6846142787992358
biochemical_haldane,12,gic_evid,haldane,haldane,1,6.776116879578382,0.14390680785503993
biochemical_haldane,12,gic_eff_logn,haldane,ude_mm,0,0.008241058955604785,0.6933572103391711
biochemical_haldane,13,aic,haldane,haldane,1,16.144864414392572,0.0029802573176372824
biochemical_haldane,13,aicc,haldane,haldane,1,33.483441982773655,1.3521770648058398e-06
biochemical_haldane,13,bic,haldane,haldane,1,25.895871013338194,3.824683501158211e-05
biochemical_haldane,13,gic_pred,haldane,haldane,1,1.9440832294204995,0.5953160632684711
biochemical_haldane,13,gic_evid,haldane,haldane,1,10.095062165440993,0.03862885841535791
biochemical_haldane,13,gic_eff_logn,haldane,haldane,1,3.040595388063281,0.4750466586896928
biochemical_haldane,14,aic,haldane,haldane,1,14.503962698008195,0.005846227644738522
biochemical_haldane,14,aicc,haldane,haldane,1,33.66879786284338,8.792299689423769e-07
biochemical_haldane,14,bic,haldane,haldane,1,24.254969296953817,7.10464458458443e-05
biochemical_haldane,14,gic_pred,haldane,ude_mm,0,0.6319975047979938,0.6808721358378822
biochemical_haldane,14,gic_evid,haldane,haldane,1,6.725836837673484,0.14662036470218295
biochemical_haldane,14,gic_eff_logn,haldane,ude_mm,0,0.10541889453625686,0.6928310558038402
biochemical_haldane,15,aic,haldane,haldane,1,14.136443524165912,0.006929090234275102
biochemical_haldane,15,aicc,haldane,haldane,1,33.30127868900108,1.4233890063367965e-06
biochemical_haldane,15,bic,haldane,haldane,1,23.887450123111535,8.619345927818034e-05
biochemical_haldane,15,gic_pred,haldane,ude_mm,0,0.12414970395602154,0.6950841737911506
biochemical_haldane,15,gic_evid,haldane,haldane,1,8.14928477816811,0.08495974368761187
biochemical_haldane,15,gic_eff_logn,haldane,haldane,1,0.9359107279711054,0.6680978649861882
biochemical_haldane,16,aic,haldane,haldane,1,15.640414405293939,0.0035403115780629642
biochemical_haldane,16,aicc,haldane,haldane,1,34.80524957012911,5.093494539057105e-07
biochemical_haldane,16,bic,haldane,haldane,1,25.39142100423956,4.1966840109522535e-05
biochemical_haldane,16,gic_pred,haldane,haldane,1,0.8605396128419329,0.6705303935231413
biochemical_haldane,16,gic_evid,haldane,haldane,1,8.365261309692528,0.07800382646265062
biochemical_haldane,16,gic_eff_logn,haldane,haldane,1,1.6041301722381718,0.6187673703230591
biochemical_haldane,17,aic,haldane,haldane,1,13.505331580301771,0.00905947246780318
biochemical_haldane,17,aicc,haldane,haldane,1,32.67016674513694,1.4921307264503589e-06
biochemical_haldane,17,bic,haldane,haldane,1,23.256338179247393,0.00011305396694056111
biochemical_haldane,17,gic_pred,haldane,ude_mm,0,1.4385677363417244,0.6328969785969418
biochemical_haldane,17,gic_evid,haldane,haldane,1,5.224520434452131,0.24935906593677348
biochemical_haldane,17,gic_eff_logn,haldane,ude_mm,0,0.7949399405567306,0.6740761634460495
biochemical_haldane,18,aic,haldane,haldane,1,14.863151282776585,0.004991209279971952
biochemical_haldane,18,aicc,haldane,haldane,1,34.02798644761174,7.374369441232404e-07
biochemical_haldane,18,bic,haldane,haldane,1,24.614157881722207,6.015397788231066e-05
biochemical_haldane,18,gic_pred,haldane,ude_mm,0,0.4956976333097032,0.6855432552713976
biochemical_haldane,18,gic_evid,haldane,haldane,1,5.556886408539441,0.22282078686820192
biochemical_haldane,18,gic_eff_logn,haldane,ude_mm,0,0.10495585517440986,0.6928127293241558
biochemical_haldane,19,aic,haldane,haldane,1,13.2614120003484,0.010070011308902416
biochemical_haldane,19,aicc,haldane,haldane,1,32.42624716518357,1.6599617154509524e-06
biochemical_haldane,19,bic,haldane,haldane,1,23.012418599294023,0.0001264117144982869
biochemical_haldane,19,gic_pred,haldane,ude_mm,0,1.2142891724073763,0.6496174746145389
biochemical_haldane,19,gic_evid,haldane,haldane,1,6.79066396991503,0.14312980906079414
biochemical_haldane,19,gic_eff_logn,haldane,ude_mm,0,0.28532367720592333,0.6909600123304541
biochemical_haldane,20,aic,haldane,haldane,1,16.0510808462231,0.003155020334474484
biochemical_haldane,20,aicc,haldane,haldane,1,32.811407168409204,1.724954612012333e-06
biochemical_haldane,20,bic,haldane,haldane,1,25.802087445168723,4.1586833472551634e-05
biochemical_haldane,20,gic_pred,haldane,haldane,1,1.5280470207383132,0.6339462160006801
biochemical_haldane,20,gic_evid,haldane,haldane,1,9.01924488742371,0.060020175447074886
biochemical_haldane,20,gic_eff_logn,haldane,haldane,1,2.4281662028706137,0.5429277416218924
biochemical_haldane,21,aic,haldane,haldane,1,17.151821795907665,0.0018388207552313416
biochemical_haldane,21,aicc,haldane,haldane,1,36.31665696074283,4.5142763437544927e-07
biochemical_haldane,21,bic,haldane,haldane,1,26.902828394853287,2.1880183715850845e-05
biochemical_haldane,21,gic_pred,haldane,haldane,1,2.3187615970338413,0.5515790529663392
biochemical_haldane,21,gic_evid,haldane,haldane,1,9.18398810839659,0.05614390163403553
biochemical_haldane,21,gic_eff_logn,haldane,haldane,1,3.029938953368429,0.47275920078680844
biochemical_haldane,22,aic,haldane,haldane,1,16.25210969958451,0.0026985269502060993
biochemical_haldane,22,aicc,haldane,haldane,1,35.416944864419676,3.8368980142783865e-07
biochemical_haldane,22,bic,haldane,haldane,1,26.00311629853013,3.161143187285419e-05
biochemical_haldane,22,gic_pred,haldane,haldane,1,1.1002980870756573,0.65672221358443
biochemical_haldane,22,gic_evid,haldane,haldane,1,7.963181567478898,0.09140397254107255
biochemical_haldane,22,gic_eff_logn,haldane,haldane,1,1.6172162472990976,0.6176554467892968
biochemical_haldane,23,aic,haldane,haldane,1,15.338617720483711,0.004054247982580572
biochemical_haldane,23,aicc,haldane,haldane,1,34.50345288531888,6.347853958897834e-07
biochemical_haldane,23,bic,haldane,haldane,1,25.089624319429333,4.851942339942606e-05
biochemical_haldane,23,gic_pred,haldane,haldane,1,0.27226623738897615,0.6912105035329912
biochemical_haldane,23,gic_evid,haldane,haldane,1,6.852212513666672,0.13988217951669302
biochemical_haldane,23,gic_eff_logn,haldane,haldane,1,0.8412670404789537,0.6717332949798491
biochemical_haldane,24,aic,haldane,haldane,1,16.493671643110417,0.002422870502357762
biochemical_haldane,24,aicc,haldane,haldane,1,35.658506807945585,3.4016272570374243e-07
biochemical_haldane,24,bic,haldane,haldane,1,26.24467824205604,2.8245308871979613e-05
biochemical_haldane,24,gic_pred,haldane,haldane,1,1.5562573532475312,0.6228278932310636
biochemical_haldane,24,gic_evid,haldane,haldane,1,8.635912143593316,0.07002805095693299
biochemical_haldane,24,gic_eff_logn,haldane,haldane,1,2.20383737021578,0.5616536000324782
biochemical_haldane,25,aic,haldane,haldane,1,16.28387200686774,0.0026709570852470415
biochemical_haldane,25,aicc,haldane,haldane,1,35.44870717170291,4.3959214282848724e-07
biochemical_haldane,25,bic,haldane,haldane,1,26.03487860581336,3.14798022578928e-05
biochemical_haldane,25,gic_pred,haldane,haldane,1,1.7867451709825843,0.6031886547729776
biochemical_haldane,25,gic_evid,haldane,haldane,1,9.92019832030445,0.04152693274976124
biochemical_haldane,25,gic_eff_logn,haldane,haldane,1,2.702653054773947,0.5085443976453236
biochemical_haldane,26,aic,haldane,haldane,1,16.04869355681845,0.003944749232322598
biochemical_haldane,26,aicc,haldane,haldane,1,29.342181151510687,7.08068807495828e-06
biochemical_haldane,26,bic,haldane,haldane,1,25.798293243577035,6.947780662303573e-05
biochemical_haldane,26,gic_pred,haldane,haldane,1,1.567664946724335,0.657424099285061
