scenario,seed,criterion,interpretation,candidate,weight
early_seir_infected_only,6,gic_pred,predictive_support,ude_sir_h2,0.15457052852698056
early_seir_infected_only,6,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,9.085429383923804e-07
early_seir_infected_only,6,gic_evid,equal_prior_posterior_approximation,seir,0.7177407860899273
early_seir_infected_only,6,gic_evid,equal_prior_posterior_approximation,sir,0.1547317291853711
early_seir_infected_only,6,gic_evid,equal_prior_posterior_approximation,tv_sir,0.039697532534955775
early_seir_infected_only,6,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.08782904364680734
early_seir_infected_only,7,gic_pred,predictive_support,neural_ode_h2,0.031514597898120424
early_seir_infected_only,7,gic_pred,predictive_support,seir,0.2831272818491147
early_seir_infected_only,7,gic_pred,predictive_support,sir,0.3018020311896019
early_seir_infected_only,7,gic_pred,predictive_support,tv_sir,0.08159152612909687
early_seir_infected_only,7,gic_pred,predictive_support,ude_sir_h2,0.3019645629340662
early_seir_infected_only,7,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.6255462705667367e-06
early_seir_infected_only,7,gic_evid,equal_prior_posterior_approximation,seir,0.41083746230550033
early_seir_infected_only,7,gic_evid,equal_prior_posterior_approximation,sir,0.2871037923293233
early_seir_infected_only,7,gic_evid,equal_prior_posterior_approximation,tv_sir,0.020647284687770384
early_seir_infected_only,7,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.28140983513113527
early_seir_infected_only,8,gic_pred,predictive_support,neural_ode_h2,0.03107903095244714
early_seir_infected_only,8,gic_pred,predictive_support,seir,0.3217353615186823
early_seir_infected_only,8,gic_pred,predictive_support,sir,0.2752939639699568
early_seir_infected_only,8,gic_pred,predictive_support,tv_sir,0.09628832217630061
early_seir_infected_only,8,gic_pred,predictive_support,ude_sir_h2,0.2756033213826131
early_seir_infected_only,8,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.1438216002499564e-06
early_seir_infected_only,8,gic_evid,equal_prior_posterior_approximation,seir,0.4490450150255685
early_seir_infected_only,8,gic_evid,equal_prior_posterior_approximation,sir,0.26937246132381243
early_seir_infected_only,8,gic_evid,equal_prior_posterior_approximation,tv_sir,0.017885494910392728
early_seir_infected_only,8,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.2636958849186262
early_seir_infected_only,9,gic_pred,predictive_support,neural_ode_h2,0.013043258610561206
early_seir_infected_only,9,gic_pred,predictive_support,seir,0.296614104765021
early_seir_infected_only,9,gic_pred,predictive_support,sir,0.218152927825879
early_seir_infected_only,9,gic_pred,predictive_support,tv_sir,0.25485073845597145
early_seir_infected_only,9,gic_pred,predictive_support,ude_sir_h2,0.21733897034256727
early_seir_infected_only,9,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.0763123391960722e-06
early_seir_infected_only,9,gic_evid,equal_prior_posterior_approximation,seir,0.31590590748317715
early_seir_infected_only,9,gic_evid,equal_prior_posterior_approximation,sir,0.3220915168054255
early_seir_infected_only,9,gic_evid,equal_prior_posterior_approximation,tv_sir,0.047851502658221
early_seir_infected_only,9,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.31414999674083705
early_seir_infected_only,10,gic_pred,predictive_support,neural_ode_h2,0.03511726214626144
early_seir_infected_only,10,gic_pred,predictive_support,seir,0.3007018337615073
early_seir_infected_only,10,gic_pred,predictive_support,sir,0.292892817492621
early_seir_infected_only,10,gic_pred,predictive_support,tv_sir,0.07789843003485938
early_seir_infected_only,10,gic_pred,predictive_support,ude_sir_h2,0.29338965656475097
early_seir_infected_only,10,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.5020803058214098e-06
early_seir_infected_only,10,gic_evid,equal_prior_posterior_approximation,seir,0.4353455519577534
