scenario,candidate,n,median_relative_ess,minimum_relative_ess,median_absolute_gic_error,mean_gic_error
early_seir_infected_only,seir,20,0.06449391890001749,0.0186305823112899,1.190308693269806,-1.20012385319359
early_seir_infected_only,sir,20,0.17691441187759357,0.0029857142435884476,0.6727217225750373,-0.5029948776018802
early_seir_infected_only,tv_sir,20,0.09129494149940409,0.003329155823598153,0.6158636340538806,-0.3388421829435426
missing_time_varying_transmission,seir,20,0.29317260913362597,0.2643068822992718,3.091894051561198,-3.064695537724225
missing_time_varying_transmission,sir,20,0.9761593176175363,0.9702561155720985,0.27836901740874964,-0.2776300432672464
missing_time_varying_transmission,tv_sir,20,0.875723953261514,0.3927440434377446,0.06964094646377816,0.04345936974172417
regular_sir_full,seir,20,0.9146418056133931,0.7342615905239005,0.1560903016420241,-0.144712212080492
regular_sir_full,sir,20,0.9998188641747199,0.9994408135240379,0.0066656646267233555,0.0015952401424044638
regular_sir_full,tv_sir,20,0.9978847208357504,0.9959888710734939,0.003069139899281481,0.0020299115541973834
