schema_version,protocol_hash,status,n_times,noise,trajectories,truth,candidate,seed,dimension,n_observations,objective,deviance,gradient_norm,best_start,wall_seconds,second_best_objective_gap,jacobian_rank,aic,aicc,bic,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,ogic_p,ogic_e,d_obs,c_obs,prior_energy,study_group,effective_dimension,relative_log_volume,gic_pred,gic_evid,gic_eff_logn
2.0,b8f7a030acb2863a,ok,10,0.005,1,ude_sir_h2,neural_ode_h2,0,14,10,-21.86587450958971,-83.83160909705404,0.00012478395999937936,1,206.8759037000127,0.19986834604962667,9,-55.83160909705404,,-51.5954177951374,-71.44390335794284,-64.20518096030027,-56.966458562657685,-42.489013767372526,-73.07178460517957,-14.776859428609104,5.379912245937238,28.954889590570314,40.099860077874624,phase_diagram,5.379912245937238,28.954889590570314,-73.07178460517957,-14.776859428609104,-71.44390335794284
2.0,b8f7a030acb2863a,ok,10,0.005,1,ude_sir_h2,neural_ode_h2,1,14,10,-23.986523425407373,-86.1693288524659,6.377213618727139e-05,1,199.6133159000019,0.12286798367079399,9,-58.169328852465895,,-53.933137550549255,-73.88203092558238,-66.68681873575035,-59.4916065459183,-45.101182166254226,-75.49671747817234,-19.19219809148659,5.3363056871467744,28.78084875932816,38.19628200165115,phase_diagram,5.3363056871467744,28.78084875932816,-75.49671747817234,-19.19219809148659,-73.88203092558238
2.0,b8f7a030acb2863a,ok,10,0.005,1,ude_sir_h2,neural_ode_h2,2,14,10,-22.443805421440068,-83.88909375111733,7.715237799389624e-05,0,205.01489940000465,0.15545729862743585,9,-55.88909375111733,,-51.65290244920069,-72.06964419955992,-65.1065748247815,-58.14350545000309,-44.21736670044626,-73.62285031236684,-17.03533334376648,5.13312171937525,27.852277499113654,39.00148290823719,phase_diagram,5.13312171937525,27.852277499113654,-73.62285031236684,-17.03533334376648,-72.06964419955992
2.0,b8f7a030acb2863a,ok,10,0.005,1,ude_sir_h2,neural_ode_h2,3,14,10,-21.05502956512406,-81.27657733206273,6.835422620288431e-05,2,200.9426251000259,0.1074251754911586,9,-53.27657733206273,,-49.04038603014609,-68.90713035398824,-61.65008117479309,-54.39303199559794,-39.87893363720764,-70.53261219851751,-13.081862413467515,5.371982566772605,29.028196716780602,39.16651820181461,phase_diagram,5.371982566772605,29.028196716780602,-70.53261219851751,-13.081862413467515,-68.90713035398824
2.0,b8f7a030acb2863a,ok,10,0.005,1,ude_sir_h2,neural_ode_h2,4,14,10,-19.570120602552755,-80.3271166416442,0.059418708927834074,1,211.91388750000624,0.35316620301097146,9,-52.327116641644196,,-48.090925339727555,-68.0557337838045,-60.92748177275131,-53.79922976169811,-39.54272573959172,-69.66832892068032,-10.627233160892729,5.3293938604819395,28.513008044212782,41.186875436538685,phase_diagram,5.3293938604819395,28.513008044212782,-69.66832892068032,-10.627233160892729,-68.0557337838045
2.0,b8f7a030acb2863a,ok,10,0.005,1,ude_sir_h2,neural_ode_h2,5,14,10,-21.96227239972635,-81.40178627077907,4.3679010486142506e-05,1,203.76362409998546,0.02561156358150285,9,-53.40178627077907,,-49.16559496886243,-69.04423405169712,-61.79011247626863,-54.53599090084015,-40.02774774998318,-70.66815279362191,-14.908058497738757,5.366816738578576,29.01648630171394,37.47724147132637,phase_diagram,5.366816738578576,29.01648630171394,-70.66815279362191,-14.908058497738757,-69.04423405169712
2.0,b8f7a030acb2863a,ok,10,0.005,1,ude_sir_h2,neural_ode_h2,6,14,10,-20.54913526199542,-81.9299646020647,7.722294390187482e-05,0,203.96595529999468,0.00336990053606101,9,-53.9299646020647,,-49.69377330014806,-69.57540743134575,-62.447178972712805,-55.31895051407986,-41.06249359681397,-71.19893259086172,-12.585356689459061,5.365516005601493,28.51291383453178,40.83169407807386,phase_diagram,5.365516005601493,28.51291383453178,-71.19893259086172,-12.585356689459061,-69.57540743134575
2.0,b8f7a030acb2863a,ok,10,0.005,1,ude_sir_h2,neural_ode_h2,7,14,10,-23.768511287026286,-84.79638168820401,3.094887352231832e-05,1,213.24129970002105,0.03252758219096563,9,-56.79638168820401,,-52.56019038628737,-72.84726844693466,-65.75786551761496,-58.668462588295256,-44.48965672965585,-74.4175137995633,-19.179410856773757,5.1894339443203545,28.357611717278814,37.25935911415144,phase_diagram,5.1894339443203545,28.357611717278814,-74.4175137995633,-19.179410856773757,-72.84726844693466
2.0,b8f7a030acb2863a,ok,10,0.005,1,ude_sir_h2,neural_ode_h2,8,14,10,-24.154681009061925,-85.10128465094388,0.005190169117041965,0,208.02077790000476,0.12627584529353442,9,-57.10128465094388,,-52.86509334902724,-73.34978874825497,-66.29788440584362,-59.24598006343227,-45.14217137860957,-74.89406500165094,-20.10174464847845,5.103609824646468,28.207617369645398,36.79192263282003,phase_diagram,5.103609824646468,28.207617369645398,-74.89406500165094,-20.10174464847845,-73.34978874825497
2.0,b8f7a030acb2863a,ok,10,0.005,1,ude_sir_h2,neural_ode_h2,9,14,10,-20.58715231235601,-82.08119657823346,8.53280054294139e-05,0,203.1614948999777,0.8272012373477367,9,-54.08119657823346,,-49.84500527631682,-69.71482758836706,-62.51853950083759,-55.322251413308116,-40.929675238249175,-71.33990495127652,-12.389152274594142,5.370645813478468,28.78515235011788,40.90689195352144,phase_diagram,5.370645813478468,28.78515235011788,-71.33990495127652,-12.389152274594142,-69.71482758836706
2.0,b8f7a030acb2863a,ok,10,0.005,1,ude_sir_h2,neural_ode_h2,10,14,10,-22.459594228318192,-84.13909107900646,0.000555903986006764,1,188.70873579999898,0.1829766966605746,9,-56.13909107900646,,-51.90289977708982,-71.76463232736685,-64.52054244647047,-57.276452565574075,-42.7882728037813,-73.39077277425349,-15.942828933050826,5.374159152376485,28.976359523585558,39.21990262237008,phase_diagram,5.374159152376485,28.976359523585558,-73.39077277425349,-15.942828933050826,-71.76463232736685
