scenario,seed,criterion,truth,selected,correct,selection_gap,support_entropy
early_seir_infected_only,0,aic,seir,sir,0,0.6715567152510857,1.0308398160402907
early_seir_infected_only,0,aicc,seir,sir,0,1.748479792174166,0.8065680658060939
early_seir_infected_only,0,bic,seir,sir,0,1.4441454374908602,0.902886799399387
early_seir_infected_only,0,gic_pred,seir,seir,1,0.6059052054580434,1.4791872939196566
early_seir_infected_only,0,gic_evid,seir,seir,1,1.8675575997085048,1.0360653831173614
early_seir_infected_only,0,gic_eff_logn,seir,seir,1,0.6875465242138574,1.4100269524545221
early_seir_infected_only,1,aic,seir,seir,1,0.1598122237571431,1.0730032139043324
early_seir_infected_only,1,aicc,seir,sir,0,0.9171108531659371,0.9078704059917679
early_seir_infected_only,1,bic,seir,sir,0,0.6127764984826314,0.99229023018964
early_seir_infected_only,1,gic_pred,seir,seir,1,0.5699359365782612,1.486920722095395
early_seir_infected_only,1,gic_evid,seir,seir,1,2.658936117208711,0.942062556980642
early_seir_infected_only,1,gic_eff_logn,seir,seir,1,0.896421439112288,1.4221236712619363
early_seir_infected_only,2,aic,seir,seir,1,0.5886897830230424,1.08684773890339
early_seir_infected_only,2,aicc,seir,sir,0,0.4882332939000378,0.9691243183270016
early_seir_infected_only,2,bic,seir,sir,0,0.18389893921673206,1.042486630996378
early_seir_infected_only,2,gic_pred,seir,seir,1,1.0969355727062293,1.4847611286619353
early_seir_infected_only,2,gic_evid,seir,seir,1,3.0325815501538074,0.8825926253383692
early_seir_infected_only,2,gic_eff_logn,seir,seir,1,1.4611102759888297,1.4144785639515114
early_seir_infected_only,3,aic,seir,sir,0,2.344042052421031,0.865725271979038
early_seir_infected_only,3,aicc,seir,sir,0,3.4209651293441112,0.5832962429511607
early_seir_infected_only,3,bic,seir,sir,0,3.1166307746608055,0.6846176684394004
early_seir_infected_only,3,gic_pred,seir,sir,0,0.006779898986778221,1.4897801925488239
early_seir_infected_only,3,gic_evid,seir,sir,0,0.05569178723118284,1.193282515526191
early_seir_infected_only,3,gic_eff_logn,seir,sir,0,0.009381055385560444,1.440060600904289
early_seir_infected_only,4,aic,seir,seir,1,0.5180608817936729,1.0020289769849189
early_seir_infected_only,4,aicc,seir,sir,0,0.5588621951294073,0.8584521613141948
early_seir_infected_only,4,bic,seir,sir,0,0.25452784044610866,0.9290628817553822
early_seir_infected_only,4,gic_pred,seir,seir,1,1.89787313112258,1.305396084862082
early_seir_infected_only,4,gic_evid,seir,seir,1,2.1148146321802557,1.045634666435708
early_seir_infected_only,4,gic_eff_logn,seir,seir,1,1.6594299464444546,1.2682215977130287
early_seir_infected_only,5,aic,seir,sir,0,1.6961726068141445,0.9103154285978838
early_seir_infected_only,5,aicc,seir,sir,0,2.7730956837372247,0.648058980890384
early_seir_infected_only,5,bic,seir,sir,0,2.468761329053919,0.7444577493147085
early_seir_infected_only,5,gic_pred,seir,ude_sir_h2,0,0.0033690574932734307,1.4894040419063543
