scenario,truth,candidate,seed,training_deviance,mean_new_deviance,mc_se_new_deviance,empirical_optimism,predicted_optimism,calibration_residual,effective_dimension,new_response_draws
early_seir_infected_only,seir,neural_ode_h2,0,-78.04246652716633,-77.7356688832911,0.4289271857708496,0.30679764387522823,4.6644353305466995,-4.357637686671471,2.3322176652733497,200
early_seir_infected_only,seir,neural_ode_h2,1,-82.63954696975829,-79.02755509610287,0.46990181579766177,3.6119918736554126,4.633041372942128,-1.0210494992867156,2.316520686471064,200
early_seir_infected_only,seir,neural_ode_h2,2,-82.33883190055619,-76.05814254003344,0.5170208255236358,6.280689360522743,4.798875573209539,1.4818137873132038,2.3994377866047696,200
early_seir_infected_only,seir,neural_ode_h2,3,-77.42602468708758,-74.9893352526184,0.4698509200387038,2.436689434469173,4.544871721842279,-2.108182287373106,2.2724358609211395,200
early_seir_infected_only,seir,neural_ode_h2,4,-64.36086581057512,-78.16108660274395,0.44230168052522284,-13.80022079216883,4.683218973632314,-18.483439765801144,2.341609486816157,200
early_seir_infected_only,seir,neural_ode_h2,5,-78.35042606658622,-77.01067058639968,0.46552088891539406,1.3397554801865397,4.554000706460765,-3.214245226274225,2.2770003532303824,200
early_seir_infected_only,seir,neural_ode_h2,6,-74.19270491993832,-78.84109010240525,0.402868286125483,-4.6483851824669244,4.589643229593598,-9.238028412060522,2.294821614796799,200
early_seir_infected_only,seir,neural_ode_h2,7,-88.80338332015937,-73.71926607924323,0.4922453161727431,15.084117240916143,4.3409201141355,10.743197126780643,2.17046005706775,200
early_seir_infected_only,seir,neural_ode_h2,8,-87.77641734789813,-78.84909361744818,0.4037877808535404,8.927323730449956,4.615105228817351,4.312218501632605,2.3075526144086753,200
early_seir_infected_only,seir,neural_ode_h2,9,-76.89028239985532,-70.37488076350434,0.6374139094254152,6.515401636350987,4.264151323564688,2.251250312786299,2.132075661782344,200
early_seir_infected_only,seir,neural_ode_h2,10,-82.2245317895329,-77.34889918649344,0.4714880119543738,4.875632603039463,4.453815641611909,0.4218169614275542,2.2269078208059545,200
early_seir_infected_only,seir,neural_ode_h2,11,-82.38179022338822,-77.86241640788302,0.44807006111564857,4.519373815505205,4.731317094562059,-0.21194327905685473,2.3656585472810296,200
early_seir_infected_only,seir,neural_ode_h2,12,-76.53051485213618,-71.47315773254267,0.6278620645449525,5.0573571195935045,4.936371741580014,0.12098537801349085,2.468185870790007,200
early_seir_infected_only,seir,neural_ode_h2,13,-86.44605250708466,-69.96839612088048,0.6432023151152658,16.477656386204174,4.620464640208327,11.857191745995847,2.3102323201041637,200
early_seir_infected_only,seir,neural_ode_h2,14,-75.96893436995813,-74.85666296018385,0.5008883581492125,1.11227140977428,4.860712042660833,-3.7484406328865525,2.4303560213304163,200
early_seir_infected_only,seir,neural_ode_h2,15,-84.7852034566093,-76.12838054547586,0.46308479916233597,8.656822911133432,4.809056674565516,3.8477662365679155,2.404528337282758,200
early_seir_infected_only,seir,neural_ode_h2,16,-77.07432675791617,-73.03508982353247,0.538649198876373,4.039236934383695,4.534845923020495,-0.4956089886368007,2.2674229615102477,200
early_seir_infected_only,seir,neural_ode_h2,17,-76.12923413666772,-74.97251508492172,0.517347626919665,1.1567190517459949,4.389230654737696,-3.2325116029917007,2.194615327368848,200
early_seir_infected_only,seir,neural_ode_h2,18,-81.59517903022713,-78.36582180469598,0.42101940387428105,3.229357225531146,4.487808254514333,-1.2584510289831874,2.2439041272571667,200
