truth,loss,seed,theta_hat_log_amplitude,theta_hat_location,training_deviance,mean_new_deviance,empirical_optimism,matched_metric,mismatched_metric,matched_predicted_optimism,mismatched_predicted_optimism,matched_residual,mismatched_residual,new_response_draws
amplitude_change,fisher_trajectory,0,0.29645912652069084,0.49971691508726546,-263.40448355529156,-254.59153871923337,8.812944836058193,fisher_trajectory,wasserstein_quantile,3.9999130636643554,1.999992975634427,4.813031772393838,6.812951860423766,200
amplitude_change,fisher_trajectory,1,0.2883715669566804,0.5002679880136295,-254.2061803024365,-250.94079712005413,3.2653831823823793,fisher_trajectory,wasserstein_quantile,3.999911646075456,1.999992975634427,-0.7345284636930764,1.2653902067479523,200
amplitude_change,fisher_trajectory,2,0.3007073005253809,0.5001282081139458,-275.10968884344607,-254.30497462740584,20.804714216040225,fisher_trajectory,wasserstein_quantile,3.999913799150881,1.999992975634427,16.804800416889343,18.804721240405797,200
amplitude_change,fisher_trajectory,3,0.29679235565575973,0.4996374045312018,-264.29761544791376,-254.57455109588707,9.723064352026682,fisher_trajectory,wasserstein_quantile,3.999913121582443,1.999992975634427,5.723151230444239,7.723071376392255,200
amplitude_change,fisher_trajectory,4,0.29945470883690134,0.49869755143053573,-261.42515853376625,-254.31194452163368,7.113214012132573,fisher_trajectory,wasserstein_quantile,3.9999135829388335,1.999992975634427,3.11330042919374,5.113221036498146,200
amplitude_change,fisher_trajectory,5,0.29317642826208723,0.500448184391253,-263.32236681220587,-253.79667043481325,9.52569637739262,fisher_trajectory,wasserstein_quantile,3.9999124910354764,1.999992975634427,5.525783886357144,7.525703401758193,200
amplitude_change,fisher_trajectory,6,0.3030700460929859,0.4999170280646194,-267.4806309350031,-253.14875963333415,14.33187130166894,fisher_trajectory,wasserstein_quantile,3.999914205517097,1.999992975634427,10.331957096151843,12.331878326034513,200
amplitude_change,fisher_trajectory,7,0.3006987025459052,0.4994200387568252,-265.18284430778994,-255.35270988203635,9.830134425753585,fisher_trajectory,wasserstein_quantile,3.9999137976686137,1.999992975634427,5.830220628084971,7.830141450119157,200
amplitude_change,fisher_trajectory,8,0.2978442967845864,0.5007670757010898,-267.96653378192775,-253.83850193151463,14.128031850413123,fisher_trajectory,wasserstein_quantile,3.9999133041658133,1.999992975634427,10.12811854624731,12.128038874778696,200
amplitude_change,fisher_trajectory,9,0.3066924460073303,0.5015560852428447,-252.37039585031653,-250.9096695317095,1.4607263186070156,fisher_trajectory,wasserstein_quantile,3.999914824813333,1.999992975634427,-2.5391885062063175,-0.5392666570274114,200
amplitude_change,fisher_trajectory,10,0.298713850883066,0.49954664245628316,-247.39410769344872,-253.87669400958342,-6.4825863161347,fisher_trajectory,wasserstein_quantile,3.9999134548029094,1.999992975634427,-10.48249977093761,-8.482579291769127,200
amplitude_change,fisher_trajectory,11,0.3010411270536377,0.4995690383369547,-258.6974328449348,-255.53960589782258,3.1578269471121985,fisher_trajectory,wasserstein_quantile,3.999913856681914,1.999992975634427,-0.8420869095697157,1.1578339714777715,200
amplitude_change,fisher_trajectory,12,0.30144307271723775,0.4983630224556705,-261.08237679654854,-251.9866779021603,9.09569889438825,fisher_trajectory,wasserstein_quantile,3.999913925901521,1.999992975634427,5.095784968486728,7.095705918753822,200
amplitude_change,fisher_trajectory,13,0.29765674445138746,0.4998572751425718,-247.350849569969,-253.54484060686067,-6.193991036891674,fisher_trajectory,wasserstein_quantile,3.999913271640852,1.999992975634427,-10.193904308532526,-8.193984012526101,200
amplitude_change,fisher_trajectory,14,0.29393587145590055,0.4997594846894547,-268.0880229532358,-253.82482646499088,14.263196488244915,fisher_trajectory,wasserstein_quantile,3.999912623846033,1.999992975634427,10.263283864398883,12.263203512610488,200
amplitude_change,fisher_trajectory,15,0.30204241633755186,0.49996074776845356,-265.98036650691176,-253.88899040558928,12.091376101322481,fisher_trajectory,wasserstein_quantile,3.9999140290120256,1.999992975634427,8.091462072310456,10.091383125688054,200
amplitude_change,fisher_trajectory,16,0.3019203581353668,0.5007563098286612,-271.1699623913579,-254.22250027917784,16.947462112180062,fisher_trajectory,wasserstein_quantile,3.9999140080232696,1.999992975634427,12.947548104156793,14.947469136545635,200
