status,scenario,truth,candidate,seed,dimension,draws,finite_draws,invalid_draws,importance_ess,relative_ess,maximum_normalized_weight,minus2_log_evidence_is,gic_evid,bic,gic_evid_error
ok,early_seir_infected_only,seir,seir,0,3,512,512,0,49.460290529759476,0.09660212994093648,0.09155400663921426,-70.35709056140185,-72.04475540475897,-71.42109881678746,-1.6876648433571262
ok,early_seir_infected_only,seir,seir,2,3,512,512,0,34.92952925595488,0.06822173682803688,0.10763211023591904,-73.67068947446889,-75.26687968414723,-74.8397911430991,-1.5961902096783405
ok,early_seir_infected_only,seir,seir,6,3,512,512,0,46.186081330894346,0.09020719009940302,0.11921968781428516,-67.25100882176534,-68.84977640832352,-68.31448482904102,-1.598767586558182
ok,early_seir_infected_only,seir,seir,1,3,512,512,0,40.87181587117515,0.07982776537338897,0.09609686118277326,-74.39618637168138,-75.99140405947624,-75.28667365444079,-1.5952176877948574
ok,early_seir_infected_only,seir,seir,8,3,512,512,0,9.538858143380429,0.0186305823112899,0.3164176409583575,-81.94221632926049,-83.00396684660332,-82.66695146660415,-1.0617505173428299
ok,early_seir_infected_only,seir,seir,7,3,512,512,0,52.07265973473761,0.1017044135444094,0.07274076185196471,-83.35252175183744,-84.4110753687011,-83.5330461658229,-1.0585536168636622
ok,early_seir_infected_only,seir,seir,4,3,512,512,0,52.473609738853284,0.10248751902119782,0.07606820237620521,-59.717211816955945,-61.266326879216024,-61.782191204655966,-1.5491150622600784
ok,early_seir_infected_only,seir,seir,5,3,512,512,0,50.69141825181594,0.099006676273078,0.08768193499859903,-70.51029483129406,-71.71549029294825,-70.90077562801861,-1.205195461654185
ok,early_seir_infected_only,seir,seir,3,3,512,512,0,23.197208105611807,0.04530704708127306,0.18569891150812856,-69.17342434534389,-69.96763714067808,-70.98344993181752,-0.7942127953341895
ok,early_seir_infected_only,seir,seir,12,3,512,512,0,28.631615407125146,0.0559211238420413,0.1645486904734099,-66.34906981230925,-66.88316833964721,-70.07384132055674,-0.5340985273379601
ok,early_seir_infected_only,seir,seir,10,3,512,512,0,86.71974250271408,0.16937449707561344,0.05255563040072045,-76.01079371984746,-77.53037977205702,-76.73720277085397,-1.5195860522095614
ok,early_seir_infected_only,seir,seir,13,3,512,512,0,11.130594576162757,0.021739442531567885,0.2832842028662762,-74.46859989854742,-75.40355907675774,-76.39984578087552,-0.9349591782103204
ok,early_seir_infected_only,seir,seir,14,3,512,512,0,17.41651415456895,0.03401662920814248,0.22451643271228902,-68.85802763048686,-69.87623971591367,-70.76495926026017,-1.0182120854268106
ok,early_seir_infected_only,seir,seir,15,3,512,512,0,24.294472015770857,0.047450140655802456,0.18021317172229104,-74.54567342106813,-75.7635907927883,-75.29336663795932,-1.2179173717201763
ok,early_seir_infected_only,seir,seir,9,3,512,512,0,53.22552286983955,0.10395609935515537,0.08628635808909892,-72.10916548126292,-72.72312259024399,-74.35086726043366,-0.6139571089810687
ok,early_seir_infected_only,seir,seir,11,3,512,512,0,31.112243697663025,0.0607661009719981,0.13802821564366025,-74.32420800426138,-75.59215155113498,-75.14193399735498,-1.267943546873596
ok,early_seir_infected_only,seir,seir,17,3,512,512,0,22.287935017032407,0.04353112308014142,0.19899957100530638,-70.18993668272266,-71.36535860760809,-70.30666765639259,-1.175421924885427
ok,early_seir_infected_only,seir,seir,16,3,512,512,0,24.69363127943243,0.048229748592641467,0.182112464092784,-67.09943087584692,-68.0930854585877,-67.6496866623745,-0.9936545827407741
ok,early_seir_infected_only,seir,sir,0,2,512,512,0,90.33304320911151,0.17643172501779592,0.061081010680857126,-69.22554762907824,-70.17719780505047,-72.86524425427832,-0.9516501759722331
ok,early_seir_infected_only,seir,sir,2,2,512,512,0,14.572960040019211,0.028462812578162522,0.2566231379834977,-71.61500993383065,-72.23429813399342,-75.02369008231584,-0.6192882001627709
ok,early_seir_infected_only,seir,sir,1,2,512,512,0,131.37103939296128,0.2565840613143775,0.04733362517722748,-72.30465196699285,-73.33246794226753,-75.89945015292342,-1.0278159752746774
ok,early_seir_infected_only,seir,sir,3,2,512,512,0,110.58288733605326,0.21598220182822903,0.0747797515115266,-69.96459818290924,-70.24829538523184,-74.10008070647832,-0.28369720232259965
ok,early_seir_infected_only,seir,sir,4,2,512,512,0,40.843809369625816,0.07977306517505042,0.14104533257954296,-58.444750775992894,-59.15151224703577,-62.036719045102075,-0.7067614710428742
ok,early_seir_infected_only,seir,sir,5,2,512,512,0,15.810016457899952,0.030878938394335843,0.24567045262625134,-70.47814118235809,-70.94034178019402,-73.36953695707253,-0.46220059783593115
ok,early_seir_infected_only,seir,sir,6,2,512,512,0,139.81427260669622,0.27307475118495356,0.0511754776798097,-64.76628179744382,-65.78094512079478,-68.22427068482737,-1.014663323350959
ok,early_seir_infected_only,seir,seir,18,3,512,512,0,18.559313645939515,0.036248659464725615,0.20465872135608967,-75.86219840063123,-76.84790760677782,-76.1201482160154,-0.9857092061465949
ok,early_seir_infected_only,seir,seir,19,3,512,512,0,84.45083593969355,0.16494303894471396,0.06146391725853203,-77.83174459356523,-79.4260942920613,-78.94240310938554,-1.5943496984960603
ok,early_seir_infected_only,seir,sir,7,2,512,512,0,46.161748692339,0.09015966541472462,0.131441255888461,-83.14456217025452,-83.69436762608828,-86.07571504846673,-0.5498054558337628
ok,early_seir_infected_only,seir,sir,8,2,512,512,0,51.54452604317702,0.10067290242808012,0.12229746282038087,-81.26569108305264,-81.9819106417934,-84.69723068581824,-0.7162195587407609
ok,early_seir_infected_only,seir,sir,10,2,512,512,0,30.63484592863968,0.05983368345437438,0.1659632719077989,-76.07015027892487,-76.61654536500215,-79.04330530167906,-0.5463950860772826
ok,early_seir_infected_only,seir,sir,11,2,512,512,0,57.279339862833616,0.1118737106695969,0.11435938500627649,-73.92200495004552,-74.69112838763013,-77.3850616630085,-0.7691234375846108
ok,early_seir_infected_only,seir,sir,9,2,512,512,0,87.03184867610845,0.16998407944552432,0.08338382420587832,-72.41597082669992,-72.76190521169742,-75.82062474158771,-0.3459343849975056
ok,early_seir_infected_only,seir,sir,12,2,512,512,0,176.62147816362426,0.34496382453832863,0.0522187765367756,-67.87910881485699,-67.99733370921246,-72.87106638941815,-0.11822489435546402
ok,early_seir_infected_only,seir,sir,14,2,512,512,0,90.82731455354431,0.17739709873739123,0.076284360470228,-68.92004471479135,-69.52512152875256,-72.87490591471114,-0.6050768139612188
ok,early_seir_infected_only,seir,sir,15,2,512,512,0,160.90558966207,0.3142687298087305,0.04028110475645442,-74.18466027744863,-75.20692778995031,-77.90786927645253,-1.022267512501685
ok,early_seir_infected_only,seir,sir,13,2,512,512,0,175.6506147873946,0.3430676070066301,0.03374846355858574,-74.28005482614802,-74.52283264985624,-78.52359298481386,-0.24277782370822365
ok,early_seir_infected_only,seir,sir,16,2,512,512,0,116.96682787634039,0.22845083569597732,0.05460120968920558,-67.08559158856914,-67.72427356267634,-70.34879613685425,-0.6386819741072003
