n_times,noise,trajectories,seed,criterion,interpretation,candidate,weight
10,0.005,1,8,gic_pred,predictive_support,neural_ode_h2,0.7014223151959433
10,0.005,1,8,gic_pred,predictive_support,sir,1.8968429311877473e-73
10,0.005,1,8,gic_pred,predictive_support,tv_sir,0.010927010862836678
10,0.005,1,8,gic_pred,predictive_support,ude_sir_h2,0.2876506739412201
10,0.005,1,8,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.0710254935378257e-06
10,0.005,1,8,gic_evid,equal_prior_posterior_approximation,sir,7.835740490888605e-71
10,0.005,1,8,gic_evid,equal_prior_posterior_approximation,tv_sir,0.1220760209373275
10,0.005,1,8,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.8779229080371789
10,0.005,1,9,gic_pred,predictive_support,neural_ode_h2,0.09783470175031854
10,0.005,1,9,gic_pred,predictive_support,sir,1.4714267200966482e-102
10,0.005,1,9,gic_pred,predictive_support,tv_sir,0.21279309083459738
10,0.005,1,9,gic_pred,predictive_support,ude_sir_h2,0.6893722074150841
10,0.005,1,9,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,4.117648472522608e-09
10,0.005,1,9,gic_evid,equal_prior_posterior_approximation,sir,1.3905958239489227e-100
10,0.005,1,9,gic_evid,equal_prior_posterior_approximation,tv_sir,0.5736655317697774
10,0.005,1,9,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.42633446411257414
10,0.005,1,10,gic_pred,predictive_support,neural_ode_h2,0.6281359281051655
10,0.005,1,10,gic_pred,predictive_support,sir,1.9692498420780374e-84
10,0.005,1,10,gic_pred,predictive_support,tv_sir,0.005431620514413666
10,0.005,1,10,gic_pred,predictive_support,ude_sir_h2,0.3664324513804209
10,0.005,1,10,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.7271361598137295e-07
10,0.005,1,10,gic_evid,equal_prior_posterior_approximation,sir,8.746081146069865e-82
10,0.005,1,10,gic_evid,equal_prior_posterior_approximation,tv_sir,0.08649123427739826
10,0.005,1,10,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9135084930089858
