scenario,seed,criterion,truth,selected,correct
missing_time_varying_transmission,14,bic,tv_sir,tv_sir,1
missing_time_varying_transmission,15,minus2_log_evidence_is,tv_sir,tv_sir,1
missing_time_varying_transmission,15,gic_evid,tv_sir,tv_sir,1
missing_time_varying_transmission,15,bic,tv_sir,tv_sir,1
missing_time_varying_transmission,16,minus2_log_evidence_is,tv_sir,tv_sir,1
missing_time_varying_transmission,16,gic_evid,tv_sir,tv_sir,1
missing_time_varying_transmission,16,bic,tv_sir,tv_sir,1
missing_time_varying_transmission,17,minus2_log_evidence_is,tv_sir,tv_sir,1
missing_time_varying_transmission,17,gic_evid,tv_sir,tv_sir,1
missing_time_varying_transmission,17,bic,tv_sir,tv_sir,1
missing_time_varying_transmission,18,minus2_log_evidence_is,tv_sir,tv_sir,1
missing_time_varying_transmission,18,gic_evid,tv_sir,tv_sir,1
missing_time_varying_transmission,18,bic,tv_sir,tv_sir,1
missing_time_varying_transmission,19,minus2_log_evidence_is,tv_sir,tv_sir,1
missing_time_varying_transmission,19,gic_evid,tv_sir,tv_sir,1
missing_time_varying_transmission,19,bic,tv_sir,tv_sir,1
regular_sir_full,0,minus2_log_evidence_is,sir,sir,1
regular_sir_full,0,gic_evid,sir,sir,1
regular_sir_full,0,bic,sir,sir,1
regular_sir_full,1,minus2_log_evidence_is,sir,sir,1
regular_sir_full,1,gic_evid,sir,sir,1
regular_sir_full,1,bic,sir,sir,1
regular_sir_full,2,minus2_log_evidence_is,sir,sir,1
regular_sir_full,2,gic_evid,sir,sir,1
regular_sir_full,2,bic,sir,sir,1
regular_sir_full,3,minus2_log_evidence_is,sir,sir,1
regular_sir_full,3,gic_evid,sir,sir,1
regular_sir_full,3,bic,sir,sir,1
regular_sir_full,4,minus2_log_evidence_is,sir,sir,1
regular_sir_full,4,gic_evid,sir,sir,1
regular_sir_full,4,bic,sir,sir,1
regular_sir_full,5,minus2_log_evidence_is,sir,sir,1
regular_sir_full,5,gic_evid,sir,sir,1
regular_sir_full,5,bic,sir,sir,1
regular_sir_full,6,minus2_log_evidence_is,sir,sir,1
regular_sir_full,6,gic_evid,sir,sir,1
regular_sir_full,6,bic,sir,sir,1
regular_sir_full,7,minus2_log_evidence_is,sir,sir,1
regular_sir_full,7,gic_evid,sir,sir,1
regular_sir_full,7,bic,sir,sir,1
regular_sir_full,8,minus2_log_evidence_is,sir,sir,1
regular_sir_full,8,gic_evid,sir,sir,1
regular_sir_full,8,bic,sir,sir,1
regular_sir_full,9,minus2_log_evidence_is,sir,sir,1
regular_sir_full,9,gic_evid,sir,sir,1
regular_sir_full,9,bic,sir,tv_sir,0
regular_sir_full,10,minus2_log_evidence_is,sir,sir,1
regular_sir_full,10,gic_evid,sir,sir,1
regular_sir_full,10,bic,sir,sir,1
regular_sir_full,11,minus2_log_evidence_is,sir,sir,1
regular_sir_full,11,gic_evid,sir,sir,1
regular_sir_full,11,bic,sir,sir,1
regular_sir_full,12,minus2_log_evidence_is,sir,sir,1
regular_sir_full,12,gic_evid,sir,sir,1
regular_sir_full,12,bic,sir,sir,1
regular_sir_full,13,minus2_log_evidence_is,sir,sir,1
regular_sir_full,13,gic_evid,sir,sir,1
regular_sir_full,13,bic,sir,sir,1
regular_sir_full,14,minus2_log_evidence_is,sir,sir,1
regular_sir_full,14,gic_evid,sir,sir,1
regular_sir_full,14,bic,sir,sir,1
regular_sir_full,15,minus2_log_evidence_is,sir,sir,1
regular_sir_full,15,gic_evid,sir,sir,1
regular_sir_full,15,bic,sir,sir,1
regular_sir_full,16,minus2_log_evidence_is,sir,sir,1
regular_sir_full,16,gic_evid,sir,sir,1
regular_sir_full,16,bic,sir,sir,1
regular_sir_full,17,minus2_log_evidence_is,sir,sir,1
regular_sir_full,17,gic_evid,sir,sir,1
regular_sir_full,17,bic,sir,sir,1
regular_sir_full,18,minus2_log_evidence_is,sir,sir,1
regular_sir_full,18,gic_evid,sir,sir,1
regular_sir_full,18,bic,sir,sir,1
regular_sir_full,19,minus2_log_evidence_is,sir,sir,1
regular_sir_full,19,gic_evid,sir,sir,1
regular_sir_full,19,bic,sir,sir,1
