study,criterion,recovery_rate,n,recovery_ci_low,recovery_ci_high,modal_selection,modal_frequency,mean_selection_gap,mean_support_entropy
biochemical_haldane,aic,1.0,30,0.8864866068260312,0.9999999999999999,haldane,1.0,15.14148906918789,0.01255178157776833
biochemical_haldane,aicc,1.0,30,0.8864866068260312,0.9999999999999999,haldane,1.0,33.536415545310945,8.811726997537926e-05
biochemical_haldane,bic,1.0,30,0.8864866068260312,0.9999999999999999,haldane,1.0,24.81119038273606,0.00047395909319972255
biochemical_haldane,gic_eff_logn,0.7333333333333333,30,0.555520383048111,0.8581733668040368,haldane,0.7333333333333333,1.65743812247514,0.6081170584627978
biochemical_haldane,gic_evid,1.0,30,0.8864866068260312,0.9999999999999999,haldane,1.0,8.178027089257352,0.09711792438701054
biochemical_haldane,gic_pred,0.6666666666666666,30,0.4878005164454384,0.8076950191632386,haldane,0.6666666666666666,1.2788454215512501,0.6465623803936782
biochemical_ude,aic,0.0,30,0.0,0.11351339317396876,mm,0.9666666666666667,3.7347643167666718,0.4638844985717901
biochemical_ude,aicc,0.0,30,0.0,0.11351339317396876,mm,1.0,4.637738916528917,0.3115225668613648
biochemical_ude,bic,0.0,30,0.0,0.11351339317396876,mm,1.0,5.245320171379652,0.26392078033141525
biochemical_ude,gic_eff_logn,0.5333333333333333,30,0.36142299619873297,0.6976761109230025,ude_mm,0.5333333333333333,2.7964715993622775,0.7563526600578635
biochemical_ude,gic_evid,0.36666666666666664,30,0.21873920806100708,0.5448643634520511,mm,0.6333333333333333,1.7073015231225468,0.6202846803833431
biochemical_ude,gic_pred,0.6666666666666666,30,0.4878005164454384,0.8076950191632386,ude_mm,0.6666666666666666,3.3606867022455855,0.7232438155037361
ecology_rm,aic,1.0,30,0.8864866068260312,0.9999999999999999,rm,1.0,14.762795258734856,0.009405887361276283
ecology_rm,aicc,1.0,30,0.8864866068260312,0.9999999999999999,rm,1.0,22.09930423521599,0.00037621073735308335
ecology_rm,bic,1.0,30,0.8864866068260312,0.9999999999999999,rm,1.0,31.655861996375997,4.6477717144834765e-06
ecology_rm,gic_eff_logn,1.0,30,0.8864866068260312,0.9999999999999999,rm,1.0,4.8965738604294495,0.3533807377112001
ecology_rm,gic_evid,1.0,30,0.8864866068260312,0.9999999999999999,rm,1.0,14.946651360239787,0.008086137678252557
ecology_rm,gic_pred,0.9,30,0.7437891742081593,0.9654001112526658,rm,0.9,2.3971652007184465,0.5966949479155286
fhn_standard,aic,0.9666666666666667,30,0.8332960900859082,0.9940914096183874,fhn,0.9666666666666667,2.4067708339510734,0.5271551665977809
fhn_standard,aicc,1.0,30,0.8864866068260312,0.9999999999999999,fhn,1.0,2.7824443065381104,0.48966123300376024
fhn_standard,bic,1.0,30,0.8864866068260312,0.9999999999999999,fhn,1.0,7.982010878675315,0.09987444870138835
fhn_standard,gic_eff_logn,1.0,30,0.8864866068260312,0.9999999999999999,fhn,1.0,1.8865741244744223,0.683567575552368
fhn_standard,gic_evid,1.0,30,0.8864866068260312,0.9999999999999999,fhn,1.0,0.6648468963554971,0.7374137316779688
fhn_standard,gic_pred,0.8333333333333334,30,0.6643564949358398,0.9266345762815145,fhn,0.8333333333333334,0.528584074697062,1.0174812939710507
fhn_ude,aic,0.8666666666666667,30,0.703186733179637,0.9469034451594526,ude_fhn,0.8666666666666667,16.323909694549297,0.12504754869788248
fhn_ude,aicc,0.8,30,0.6269430358685175,0.9049489282271013,ude_fhn,0.8,14.675833950628688,0.1363463487672787
fhn_ude,bic,0.3333333333333333,30,0.19230498083676134,0.5121994835545616,tv_fhn,0.6333333333333333,8.104183568027098,0.2339010871526965
fhn_ude,gic_eff_logn,0.9666666666666667,30,0.8332960900859082,0.9940914096183874,ude_fhn,0.9666666666666667,25.88863862688244,0.02486277349884325
fhn_ude,gic_evid,0.9333333333333333,30,0.7867654163738308,0.9815229762087295,ude_fhn,0.9333333333333333,21.47311602315899,0.03328685383206972
fhn_ude,gic_pred,0.9666666666666667,30,0.8332960900859082,0.9940914096183874,ude_fhn,0.9666666666666667,27.2674676976855,0.028404158916968507
