candidate,dimension,d_obs_mean,d_obs_std,c_obs_mean,trajectory_mse_median,ogic_e_mean,n
ude_sir_h2,11,3.8330658111316227,0.07982624323018933,26.443524460248124,2.5009301364631974e-05,-179.10715171354258,20
ude_sir_h4,19,3.7647939322022124,0.14256141212714069,26.415449989735304,2.5115146239202737e-05,-179.37725819131498,20
ude_sir_h8,35,3.739316651731844,0.17218162796540668,26.496124044503045,2.8425310326579276e-05,-179.25027066506576,20
