model,train_fit,test_fit,d_eff,aic,bic,gic_eff,cv
Duplicate-UDE,5.2236356521614615,5.531661321535367,0.0,5.223635652161462,5.223635652161463,5.223635652161462,0.6146290357261519
Redundant-SIR,5.363973977702944,5.577439440042345,0.0,5.363973977702944,5.363973977702947,5.363973977702945,0.6197154933380385
SIR,5.363973977702948,5.577439440042365,0.0,5.363973977702948,5.363973977702947,5.363973977702947,0.6197154933380405
TV-SIR,5.026396628777633,5.582570032468102,0.0,5.026396628777632,5.026396628777633,5.026396628777632,0.6202855591631224
