seed,criterion,candidate,weight,selected
6,gic_vol,ude_appearance,0.004623358844836542,0
6,gic_vol,neural_ode,0.5583646039793464,1
7,aic,minimal_fixed,0.20442340397504122,0
7,aic,minimal_gamma,0.0679074305954522,0
7,aic,ude_appearance,3.9730908124825136e-05,0
7,aic,neural_ode,0.7276294345213816,1
7,bic,minimal_fixed,0.054146357282667514,0
7,bic,minimal_gamma,0.02658121858647964,0
7,bic,ude_appearance,4.12889157902089e-05,0
7,bic,neural_ode,0.9192311352150627,1
7,gic_eff,minimal_fixed,6.977502227398477e-05,0
7,gic_eff,minimal_gamma,7.482053855343667e-05,0
7,gic_eff,ude_appearance,9.574626731092471e-06,0
7,gic_eff,neural_ode,0.9998458298124416,1
7,gic_vol,minimal_fixed,1.6843676701268708e-05,0
7,gic_vol,minimal_gamma,4.814434971205143e-06,0
7,gic_vol,ude_appearance,1.5883571909475038e-06,0
7,gic_vol,neural_ode,0.9999767535311366,1
8,aic,minimal_fixed,0.7860042528623159,1
8,aic,minimal_gamma,0.2127730840692488,0
8,aic,ude_appearance,9.046768900822015e-06,0
8,aic,neural_ode,0.001213616299534419,0
8,bic,minimal_fixed,0.7105016697049384,1
8,bic,minimal_gamma,0.28423388750710143,0
8,bic,ude_appearance,3.208485356768859e-05,0
8,bic,neural_ode,0.005232357934392462,0
8,gic_eff,minimal_fixed,0.14339125832041405,0
8,gic_eff,minimal_gamma,0.15335307890875846,0
8,gic_eff,ude_appearance,0.000910668410092853,0
8,gic_eff,neural_ode,0.7023449943607346,1
8,gic_vol,minimal_fixed,0.1920230221994312,0
8,gic_vol,minimal_gamma,0.08972989928761763,0
8,gic_vol,ude_appearance,0.00022150380020615645,0
8,gic_vol,neural_ode,0.7180255747127451,1
9,aic,minimal_fixed,0.00406001567053273,0
9,aic,minimal_gamma,0.9076551792180938,1
9,aic,ude_appearance,1.709292584235487e-05,0
9,aic,neural_ode,0.08826771218553119,0
9,bic,minimal_fixed,0.002298383356835015,0
9,bic,minimal_gamma,0.7593370800820229,1
9,bic,ude_appearance,3.7964486049146194e-05,0
9,bic,neural_ode,0.23832657207509306,0
9,gic_eff,minimal_fixed,9.71598559985842e-06,0
9,gic_eff,minimal_gamma,0.005436761542312534,0
9,gic_eff,ude_appearance,2.64274727738986e-05,0
9,gic_eff,neural_ode,0.9945270949993137,1
9,gic_vol,minimal_fixed,1.1947686001868502e-06,0
9,gic_vol,minimal_gamma,0.00018612896162789914,0
9,gic_vol,ude_appearance,2.6630016172840334e-06,0
9,gic_vol,neural_ode,0.9998100132681547,1
10,aic,minimal_fixed,0.006722302821956073,0
10,aic,minimal_gamma,0.03166115859393024,0
10,aic,ude_appearance,7.199161668178545e-05,0
10,aic,neural_ode,0.9615445469674319,1
10,bic,minimal_fixed,0.001448799572169256,0
10,bic,minimal_gamma,0.010084073427111472,0
10,bic,ude_appearance,6.087493650466104e-05,0
10,bic,neural_ode,0.9884062520642145,1
10,gic_eff,minimal_fixed,1.4858741312331978e-06,0
10,gic_eff,minimal_gamma,2.1872439310396336e-05,0
10,gic_eff,ude_appearance,1.0649348916444512e-05,0
10,gic_eff,neural_ode,0.9999659923376418,1
10,gic_vol,minimal_fixed,1.8756269006789047e-07,0
10,gic_vol,minimal_gamma,7.976652624329372e-07,0
10,gic_vol,ude_appearance,1.0236357091093931e-06,0
10,gic_vol,neural_ode,0.9999979911363385,1
11,aic,minimal_fixed,0.5901222150908406,1
11,aic,minimal_gamma,0.34608516502163794,0
11,aic,ude_appearance,0.0068210979785981035,0
11,aic,neural_ode,0.05697152190892324,0
11,bic,minimal_fixed,0.4214976759803321,1
11,bic,minimal_gamma,0.36530461898603533,0
11,bic,ude_appearance,0.01911498081288909,0
11,bic,neural_ode,0.19408272422074352,0
11,gic_eff,minimal_fixed,0.00190828055692496,0
11,gic_eff,minimal_gamma,0.003644154230637497,0
11,gic_eff,ude_appearance,0.014794111999036798,0
11,gic_eff,neural_ode,0.9796534532134008,1
11,gic_vol,minimal_fixed,0.00018144007150809152,0
11,gic_vol,minimal_gamma,0.00011948742572010267,0
11,gic_vol,ude_appearance,0.001066841051120433,0
11,gic_vol,neural_ode,0.9986322314516514,1
12,aic,minimal_fixed,0.8409633016994164,1
12,aic,minimal_gamma,0.15819124738449752,0
12,aic,ude_appearance,0.00019394801091725196,0
12,aic,neural_ode,0.0006515029051688944,0
12,bic,minimal_fixed,0.7796743423793994,1
12,bic,minimal_gamma,0.21673927106620464,0
12,bic,ude_appearance,0.0007054851660238929,0
12,bic,neural_ode,0.002880901388371833,0
12,gic_eff,minimal_fixed,0.23377057147944036,0
12,gic_eff,minimal_gamma,0.15612588047936934,0
