scenario,candidate,seed,resolution,d_obs,c_obs
early_seir_infected_only,neural_ode_h2,0,0.01,3.931284997324613,23.44393019696234
early_seir_infected_only,neural_ode_h2,0,0.014677992676220698,3.809680432584651,21.95844259329623
early_seir_infected_only,neural_ode_h2,0,0.021544346900318832,3.682770966986507,20.52058043459059
early_seir_infected_only,neural_ode_h2,0,0.03162277660168379,3.549860549161415,19.13258916536947
early_seir_infected_only,neural_ode_h2,0,0.046415888336127774,3.4124592146471637,17.796541377584653
early_seir_infected_only,neural_ode_h2,0,0.06812920690579612,3.273205464314638,16.51366453786466
early_seir_infected_only,neural_ode_h2,0,0.1,3.134269853672201,15.284215729619392
early_seir_infected_only,neural_ode_h2,0,0.1467799267622069,2.996377166064623,14.107884750305399
early_seir_infected_only,neural_ode_h2,0,0.21544346900318834,2.85912556849595,12.98433000638327
early_seir_infected_only,neural_ode_h2,0,0.31622776601683794,2.7222797817838322,11.913379394936324
early_seir_infected_only,neural_ode_h2,0,0.46415888336127775,2.5869914591776246,10.894711109291281
early_seir_infected_only,neural_ode_h2,0,0.6812920690579611,2.4559457902114326,9.927249307258776
early_seir_infected_only,neural_ode_h2,0,1.0,2.3322156754817316,9.008761348038819
early_seir_infected_only,neural_ode_h2,0,1.4677992676220697,2.2175687418961565,8.13603456604282
early_seir_infected_only,neural_ode_h2,0,2.1544346900318843,2.1113113263978485,7.305630039094224
early_seir_infected_only,neural_ode_h2,0,3.1622776601683795,2.0102421801760335,6.514872501390739
early_seir_infected_only,neural_ode_h2,0,4.641588833612779,1.9095637881347303,5.762661298840781
early_seir_infected_only,neural_ode_h2,0,6.812920690579615,1.8042821993243,5.049822508975706
early_seir_infected_only,neural_ode_h2,0,10.0,1.6906596197131738,4.378900956146335
early_seir_infected_only,neural_ode_h2,0,14.677992676220699,1.5673025762262685,3.753450237166055
early_seir_infected_only,neural_ode_h2,0,21.544346900318846,1.4354162267781807,3.177050772752503
early_seir_infected_only,neural_ode_h2,0,31.622776601683793,1.2979659412731184,2.652440117289565
early_seir_infected_only,neural_ode_h2,0,46.4158883361278,1.1581474314755693,2.1811232150259796
early_seir_infected_only,neural_ode_h2,0,68.12920690579611,1.0181848651577332,1.763542664081425
early_seir_infected_only,neural_ode_h2,0,100.0,0.8793062511124526,1.3994989932301707
early_seir_infected_only,neural_ode_h2,1,0.01,3.887831897383287,23.098089325789775
early_seir_infected_only,neural_ode_h2,1,0.014677992676220698,3.764999092036322,21.629501378873172
early_seir_infected_only,neural_ode_h2,1,0.021544346900318832,3.6369536543097967,20.209023183367332
early_seir_infected_only,neural_ode_h2,1,0.03162277660168379,3.5039950902975567,18.83867359571782
early_seir_infected_only,neural_ode_h2,1,0.046415888336127774,3.368346384668477,17.51995368952486
early_seir_infected_only,neural_ode_h2,1,0.06812920690579612,3.2326836814231767,16.253368645314985
early_seir_infected_only,neural_ode_h2,1,0.1,3.0985604460034284,15.038572230843313
early_seir_infected_only,neural_ode_h2,1,0.1467799267622069,2.965807600484659,13.874955697747126
early_seir_infected_only,neural_ode_h2,1,0.21544346900318834,2.833273674939165,12.762205146403382
early_seir_infected_only,neural_ode_h2,1,0.31622776601683794,2.7003223338453504,11.700399070626673
early_seir_infected_only,neural_ode_h2,1,0.46415888336127775,2.5680073521195173,10.689557583153661
early_seir_infected_only,neural_ode_h2,1,0.6812920690579611,2.4390462026563657,9.72895335500814
early_seir_infected_only,neural_ode_h2,1,1.0,2.316518438281836,8.81669118324059
early_seir_infected_only,neural_ode_h2,1,1.4677992676220697,2.202117252848281,7.949908872838791
early_seir_infected_only,neural_ode_h2,1,2.1544346900318843,2.0950366756370653,7.12555630153635
early_seir_infected_only,neural_ode_h2,1,3.1622776601683795,1.992018798694926,6.341382729211746
early_seir_infected_only,neural_ode_h2,1,4.641588833612779,1.888367020694158,5.5967066480664736
early_seir_infected_only,neural_ode_h2,1,6.812920690579615,1.7794266893245336,4.892690664880618
early_seir_infected_only,neural_ode_h2,1,10.0,1.6620484016928012,4.232036627843432
early_seir_infected_only,neural_ode_h2,1,14.677992676220699,1.535549969359811,3.6181991232783504
early_seir_infected_only,neural_ode_h2,1,21.544346900318846,1.4017041145846485,3.0544044275233655
early_seir_infected_only,neural_ode_h2,1,31.622776601683793,1.2636388729663095,2.5428899570216386
early_seir_infected_only,neural_ode_h2,1,46.4158883361278,1.124271546336386,2.0846866245154203
early_seir_infected_only,neural_ode_h2,1,68.12920690579611,0.9853585968352448,1.679917429441519
early_seir_infected_only,neural_ode_h2,1,100.0,0.8478177694216528,1.328222202024136
early_seir_infected_only,neural_ode_h2,2,0.01,4.0349838734002486,23.919400844960094
early_seir_infected_only,neural_ode_h2,2,0.014677992676220698,3.910924613167791,22.394698513526606
early_seir_infected_only,neural_ode_h2,2,0.021544346900318832,3.7843000687105426,20.91798875405269
early_seir_infected_only,neural_ode_h2,2,0.03162277660168379,3.6525576947554734,19.490805606026694
early_seir_infected_only,neural_ode_h2,2,0.046415888336127774,3.515348859723015,18.115255766613842
early_seir_infected_only,neural_ode_h2,2,0.06812920690579612,3.374371678334415,16.793161149757452
early_seir_infected_only,neural_ode_h2,2,0.1,3.2321002144675353,15.52549174088437
early_seir_infected_only,neural_ode_h2,2,0.1467799267622069,3.090278451268417,14.312368451209638
early_seir_infected_only,neural_ode_h2,2,0.21544346900318834,2.9492813899423758,13.153506396769602
early_seir_infected_only,neural_ode_h2,2,0.31622776601683794,2.8087587944408896,12.048653436464129
early_seir_infected_only,neural_ode_h2,2,0.46415888336127775,2.6689563718274734,10.997619187735454
early_seir_infected_only,neural_ode_h2,2,0.6812920690579611,2.531583277080739,9.99984820145629
early_seir_infected_only,neural_ode_h2,2,1.0,2.3994328236628912,9.053887578026274
early_seir_infected_only,neural_ode_h2,2,1.4677992676220697,2.274925427971122,8.157229048124657
early_seir_infected_only,neural_ode_h2,2,2.1544346900318843,2.1585642796544375,7.306764074799659
early_seir_infected_only,neural_ode_h2,2,3.1622776601683795,2.048275076005216,6.499683712377237
early_seir_infected_only,neural_ode_h2,2,4.641588833612779,1.9399021844049402,5.734406265658369
early_seir_infected_only,neural_ode_h2,2,6.812920690579615,1.8285107580867699,5.011143391407744
early_seir_infected_only,neural_ode_h2,2,10.0,1.709954393583964,4.331898262089959
early_seir_infected_only,neural_ode_h2,2,14.677992676220699,1.5821748331167123,3.699896411580754
early_seir_infected_only,neural_ode_h2,2,21.544346900318846,1.4457073132647928,3.118654541019146
early_seir_infected_only,neural_ode_h2,2,31.622776601683793,1.303081746729649,2.5910653176946106
early_seir_infected_only,neural_ode_h2,2,46.4158883361278,1.1574460577975019,2.1188843693722657
early_seir_infected_only,neural_ode_h2,2,68.12920690579611,1.0113846958378456,1.7027435866531815
early_seir_infected_only,neural_ode_h2,2,100.0,0.8667982151460684,1.3424300501893955
early_seir_infected_only,neural_ode_h2,3,0.01,3.9621936771934982,22.734032835400942
early_seir_infected_only,neural_ode_h2,3,0.014677992676220698,3.839389166030081,21.23688757489425
early_seir_infected_only,neural_ode_h2,3,0.021544346900318832,3.710031857774828,19.78803806626049
early_seir_infected_only,neural_ode_h2,3,0.03162277660168379,3.5723271305671704,18.390411004948476
early_seir_infected_only,neural_ode_h2,3,0.046415888336127774,3.4267403887036423,17.047192031232267
early_seir_infected_only,neural_ode_h2,3,0.06812920690579612,3.275528864747135,15.761012342465467
early_seir_infected_only,neural_ode_h2,3,0.1,3.1215130529964816,14.533487073825452
early_seir_infected_only,neural_ode_h2,3,0.1467799267622069,2.96709695125065,13.365211567234702
early_seir_infected_only,neural_ode_h2,3,0.21544346900318834,2.8142774187494544,12.255953323573124
early_seir_infected_only,neural_ode_h2,3,0.31622776601683794,2.665374705379597,11.204676637228443
early_seir_infected_only,neural_ode_h2,3,0.46415888336127775,2.523468825870427,10.209308747097662
early_seir_infected_only,neural_ode_h2,3,0.6812920690579611,2.391804750375263,9.26652736961809
early_seir_infected_only,neural_ode_h2,3,1.0,2.2724311075562396,8.371947899023839
early_seir_infected_only,neural_ode_h2,3,1.4677992676220697,2.165020305305792,7.520829870995678
early_seir_infected_only,neural_ode_h2,3,2.1544346900318843,2.066575498601654,6.709077377736274
early_seir_infected_only,neural_ode_h2,3,3.1622776601683795,1.9720250541897801,5.9341721081647805
early_seir_infected_only,neural_ode_h2,3,4.641588833612779,1.8753090631402025,5.1957703366367864
early_seir_infected_only,neural_ode_h2,3,6.812920690579615,1.7706253057789108,4.495844893667937
early_seir_infected_only,neural_ode_h2,3,10.0,1.6536560039808759,3.8383476146520668
early_seir_infected_only,neural_ode_h2,3,14.677992676220699,1.5225500131036507,3.228437942497681
early_seir_infected_only,neural_ode_h2,3,21.544346900318846,1.3782832531981353,2.671441030651004
early_seir_infected_only,neural_ode_h2,3,31.622776601683793,1.2241417025863774,2.1718347098755753
early_seir_infected_only,neural_ode_h2,3,46.4158883361278,1.0646289467493442,1.7325656184917388
early_seir_infected_only,neural_ode_h2,3,68.12920690579611,0.9045785839468359,1.354770909025377
early_seir_infected_only,neural_ode_h2,3,100.0,0.7489478182673995,1.037711724675868
early_seir_infected_only,neural_ode_h2,4,0.01,3.9508928470783307,23.487666453901134
early_seir_infected_only,neural_ode_h2,4,0.014677992676220698,3.8270787553046453,21.99510496474265
early_seir_infected_only,neural_ode_h2,4,0.021544346900318832,3.6986674529783885,20.55087194669627
early_seir_infected_only,neural_ode_h2,4,0.03162277660168379,3.5646457244832432,19.157000725998074
early_seir_infected_only,neural_ode_h2,4,0.046415888336127774,3.4262383844943125,17.81547207207506
early_seir_infected_only,neural_ode_h2,4,0.06812920690579612,3.2859484818538855,16.52750483307447
early_seir_infected_only,neural_ode_h2,4,0.1,3.1459807475483306,15.293365673656242
early_seir_infected_only,neural_ode_h2,4,0.1467799267622069,3.007182686062646,14.112720267494648
early_seir_infected_only,neural_ode_h2,4,0.21544346900318834,2.8692542782666766,12.98515679065796
early_seir_infected_only,neural_ode_h2,4,0.31622776601683794,2.7319840263861215,11.910408298306205
early_seir_infected_only,neural_ode_h2,4,0.46415888336127775,2.596492496672365,10.888061388355391
early_seir_infected_only,neural_ode_h2,4,0.6812920690579611,2.4654511459335327,9.916959712149964
early_seir_infected_only,neural_ode_h2,4,1.0,2.3419964419614545,8.994781683554631
early_seir_infected_only,neural_ode_h2,4,1.4677992676220697,2.2280371128068235,8.118185308620328
early_seir_infected_only,neural_ode_h2,4,2.1544346900318843,2.1230359009495303,7.283542524317427
early_seir_infected_only,neural_ode_h2,4,3.1622776601683795,2.023866624413927,6.487941157273089
early_seir_infected_only,neural_ode_h2,4,4.641588833612779,1.9256186058242446,5.730047528338242
early_seir_infected_only,neural_ode_h2,4,6.812920690579615,1.8228982505725435,5.010550421067903
early_seir_infected_only,neural_ode_h2,4,10.0,1.7112391303848011,4.33207421328742
early_seir_infected_only,neural_ode_h2,4,14.677992676220699,1.5882892253447125,3.6985820888323833
early_seir_infected_only,neural_ode_h2,4,21.544346900318846,1.4543606727106577,3.1144315631451853
early_seir_infected_only,neural_ode_h2,4,31.622776601683793,1.3119925354994582,2.583402767669274
early_seir_infected_only,neural_ode_h2,4,46.4158883361278,1.1646975990490598,2.108068721925223
early_seir_infected_only,neural_ode_h2,4,68.12920690579611,1.0157418851677724,1.689673865558395
early_seir_infected_only,neural_ode_h2,4,100.0,0.8678448891968377,1.3283230356766593
early_seir_infected_only,neural_ode_h2,5,0.01,3.9133287064421514,22.605855962566693
early_seir_infected_only,neural_ode_h2,5,0.014677992676220698,3.7907913923923986,21.127398872362676
early_seir_infected_only,neural_ode_h2,5,0.021544346900318832,3.661774773870069,19.697154333038352
early_seir_infected_only,neural_ode_h2,5,0.03162277660168379,3.5256905988481386,18.317796765107026
early_seir_infected_only,neural_ode_h2,5,0.046415888336127774,3.384095552451922,16.991796541324472
early_seir_infected_only,neural_ode_h2,5,0.06812920690579612,3.23961563421012,15.720774403618222
early_seir_infected_only,neural_ode_h2,5,0.1,3.0944894336556716,14.50537682476542
early_seir_infected_only,neural_ode_h2,5,0.1467799267622069,2.9498344986958402,13.345602637355308
early_seir_infected_only,neural_ode_h2,5,0.21544346900318834,2.8061421550726644,12.241174642893089
early_seir_infected_only,neural_ode_h2,5,0.31622776601683794,2.6644526554184313,11.19155887397949
early_seir_infected_only,neural_ode_h2,5,0.46415888336127775,2.5270802409701933,10.195583315919299
early_seir_infected_only,neural_ode_h2,5,0.6812920690579611,2.397123266473454,9.25100158596485
early_seir_infected_only,neural_ode_h2,5,1.0,2.2769997129606225,8.354455752399387
early_seir_infected_only,neural_ode_h2,5,1.4677992676220697,2.1670082097268284,7.50203166631068
early_seir_infected_only,neural_ode_h2,5,2.1544346900318843,2.0647785888908814,6.690212927937805
early_seir_infected_only,neural_ode_h2,5,3.1622776601683795,1.9657562736880037,5.916840709514852
early_seir_infected_only,neural_ode_h2,5,4.641588833612779,1.8643476269510821,5.181746012998766
early_seir_infected_only,neural_ode_h2,5,6.812920690579615,1.7553082460640566,4.486884471367757
early_seir_infected_only,neural_ode_h2,5,10.0,1.6350608525712436,3.835942257494893
early_seir_infected_only,neural_ode_h2,5,14.677992676220699,1.502589605250679,3.233504306289742
early_seir_infected_only,neural_ode_h2,5,21.544346900318846,1.3595014789867919,2.6840279127706674
early_seir_infected_only,neural_ode_h2,5,31.622776601683793,1.2091484360855953,2.1909794646866665
early_seir_infected_only,neural_ode_h2,5,46.4158883361278,1.0553734297783484,1.7564084418634804
early_seir_infected_only,neural_ode_h2,5,68.12920690579611,0.9018019860186193,1.3809241787957027
early_seir_infected_only,neural_ode_h2,5,100.0,0.7520572106762864,1.0637629669247806
early_seir_infected_only,neural_ode_h2,6,0.01,3.8592227277386018,22.719442336930662
early_seir_infected_only,neural_ode_h2,6,0.014677992676220698,3.734845721405124,21.262123955449237
early_seir_infected_only,neural_ode_h2,6,0.021544346900318832,3.6053755868755233,19.853504666798365
early_seir_infected_only,neural_ode_h2,6,0.03162277660168379,3.471681014806662,18.49544379045786
early_seir_infected_only,neural_ode_h2,6,0.046415888336127774,3.336261587669684,17.189111590464567
early_seir_infected_only,neural_ode_h2,6,0.06812920690579612,3.2016248832122938,15.934661524604106
early_seir_infected_only,neural_ode_h2,6,0.1,3.0688543676488296,14.731526991526971
early_seir_infected_only,neural_ode_h2,6,0.1467799267622069,2.9373364397783615,13.579065291350602
early_seir_infected_only,neural_ode_h2,6,0.21544346900318834,2.805770567500268,12.477048054159411
early_seir_infected_only,neural_ode_h2,6,0.31622776601683794,2.6737131241096512,11.425628290629735
