train_fit,test_fit,d,d_eff,logdet,cond,aic,bic,gic_eff,gic_aic,cv,model,seed,scenario,true_model
13.264131550375627,5.174324578595664,2,1.9896720707827682,11.900029675408963,13.635487917951675,17.264131550375627,19.353176425822472,19.321732813585392,17.243475691941164,0.574924953177296,SIR,0,redundant_parameterization,SIR
13.264131550375621,5.174324578595602,6,1.9692244044510816,10.311441796344887,891.846976414521,25.264131550375623,31.53126617671616,19.259479434639484,17.202580359277786,0.5749249531772891,Redundant-SIR,0,redundant_parameterization,SIR
12.982300328690583,5.3427744776211465,10,2.3180113099309074,12.31339384709786,1430.4662723543538,32.982300328690584,43.42752470592481,20.039537772671892,17.618322948552397,0.5936416086245718,Duplicate-UDE,0,redundant_parameterization,SIR
12.957613319952893,5.4152303021799675,4,3.8508058156277762,18.125730672422755,166.50018214882752,20.95761331995289,25.135703070846585,24.681478028947502,20.659224951208444,0.6016922557977742,TV-SIR,0,redundant_parameterization,SIR
28.713404208716334,11.40798111315031,2,1.9896720707827682,11.900029675408963,13.635487917951675,32.713404208716334,34.80244908416318,34.771005471926095,32.69274835028187,1.267553457016701,SIR,1,redundant_parameterization,SIR
28.713404208716323,11.407981113150358,6,1.9692244044510816,10.311441796344887,891.846976414521,40.71340420871633,46.98053883505686,34.708752092980184,32.651853017618485,1.2675534570167064,Redundant-SIR,1,redundant_parameterization,SIR
26.9950253302101,15.79699916776395,10,2.3180113099309074,12.31339384709786,1430.4662723543538,46.9950253302101,57.44024970744433,34.05226277419141,31.631047950071917,1.75522212975155,Duplicate-UDE,1,redundant_parameterization,SIR
26.96151983542437,15.795874630187479,4,3.8508058156277762,18.125730672422755,166.50018214882752,34.96151983542437,39.13960958631806,38.68538454441898,34.66313146667992,1.755097181131942,TV-SIR,1,redundant_parameterization,SIR
31.42638562803622,13.944676747758047,2,1.9896720707827682,11.900029675408963,13.635487917951675,35.426385628036215,37.51543050348307,37.48398689124598,35.405729769601756,1.549408527528672,SIR,2,redundant_parameterization,SIR
31.426385628036208,13.944676747758129,6,1.9692244044510816,10.311441796344887,891.846976414521,43.42638562803621,49.69352025437675,37.42173351230007,35.364834436938374,1.5494085275286809,Redundant-SIR,2,redundant_parameterization,SIR
25.859671996998422,13.37256308051165,10,2.3180113099309074,12.31339384709786,1430.4662723543538,45.85967199699842,56.304896374232655,32.91690944097974,30.495694616860238,1.4858403422790722,Duplicate-UDE,2,redundant_parameterization,SIR
25.676146922402765,13.290041891805384,4,3.8508058156277762,18.125730672422755,166.50018214882752,33.676146922402765,37.854236673296455,37.400011631397376,33.37775855365832,1.4766713213117093,TV-SIR,2,redundant_parameterization,SIR
17.315572090678575,6.340694618188362,2,1.9896720707827682,11.900029675408963,13.635487917951675,21.315572090678575,23.40461696612542,23.37317335388834,21.294916232244113,0.7045216242431513,SIR,3,redundant_parameterization,SIR
17.31557209067857,6.340694618188404,6,1.9692244044510816,10.311441796344887,891.846976414521,29.31557209067857,35.58270671701911,23.310919974942436,21.254020899580734,0.704521624243156,Redundant-SIR,3,redundant_parameterization,SIR
17.109538229880187,6.725764173175715,10,2.3180113099309074,12.31339384709786,1430.4662723543538,37.10953822988019,47.55476260711441,24.166775673861498,21.745560849742002,0.7473071303528572,Duplicate-UDE,3,redundant_parameterization,SIR
16.298611015837594,7.037294284036698,4,3.8508058156277762,18.125730672422755,166.50018214882752,24.298611015837594,28.476700766731284,28.022475724832205,24.000222647093146,0.7819215871151887,TV-SIR,3,redundant_parameterization,SIR
14.507260923348715,11.852655696191471,2,1.9896720707827682,11.900029675408963,13.635487917951675,18.507260923348717,20.596305798795562,20.56486218655848,18.48660506491425,1.3169617440212746,SIR,4,redundant_parameterization,SIR
14.507260923348714,11.852655696191343,6,1.9692244044510816,10.311441796344887,891.846976414521,26.507260923348714,32.77439554968925,20.502608807612575,18.445709732250876,1.3169617440212604,Redundant-SIR,4,redundant_parameterization,SIR
14.01868817705339,11.214904851487514,10,2.3180113099309074,12.31339384709786,1430.4662723543538,34.01868817705339,44.46391255428762,21.0759256210347,18.654710796915204,1.2461005390541682,Duplicate-UDE,4,redundant_parameterization,SIR
13.883623745230766,11.452646266426592,4,3.8508058156277762,18.125730672422755,166.50018214882752,21.883623745230764,26.061713496124458,25.607488454225376,21.585235376486317,1.272516251825177,TV-SIR,4,redundant_parameterization,SIR
15.301371178959743,20.782705225671883,2,1.9896720707827682,11.900029675408963,13.635487917951675,19.30137117895974,21.39041605440659,21.358972442169506,19.280715320525278,2.309189469519098,SIR,5,redundant_parameterization,SIR
15.30137117895974,20.78270522567179,6,1.9692244044510816,10.311441796344887,891.846976414521,27.30137117895974,33.568505805300276,21.296719063223605,19.239819987861903,2.309189469519088,Redundant-SIR,5,redundant_parameterization,SIR
14.976034842708104,21.444195877124933,10,2.3180113099309074,12.31339384709786,1430.4662723543538,34.9760348427081,45.421259219942336,22.033272286689417,19.61205746256992,2.382688430791659,Duplicate-UDE,5,redundant_parameterization,SIR
13.62009805677877,20.969483288196,4,3.8508058156277762,18.125730672422755,166.50018214882752,21.620098056778772,25.798187807672463,25.343962765773384,21.321709688034325,2.3299425875773334,TV-SIR,5,redundant_parameterization,SIR
26.431342066488803,8.42729649401076,2,1.9896720707827682,11.900029675408963,13.635487917951675,30.431342066488803,32.52038694193565,32.488943329698564,30.41068620805434,0.9363662771123066,SIR,6,redundant_parameterization,SIR
26.43134206648877,8.42729649401083,6,1.9692244044510816,10.311441796344887,891.846976414521,38.43134206648877,44.69847669282931,32.42668995075263,30.369790875390933,0.9363662771123145,Redundant-SIR,6,redundant_parameterization,SIR
26.13276672850838,9.16770602887475,10,2.3180113099309074,12.31339384709786,1430.4662723543538,46.13276672850838,56.57799110574261,33.190004172489694,30.768789348370195,1.0186340032083057,Duplicate-UDE,6,redundant_parameterization,SIR
25.375430615351465,9.025174047369498,4,3.8508058156277762,18.125730672422755,166.50018214882752,33.37543061535146,37.55352036624516,37.09929532434607,33.07704224660702,1.0027971163743887,TV-SIR,6,redundant_parameterization,SIR
23.723449963760416,10.805973756492806,2,1.9896720707827682,11.900029675408963,13.635487917951675,27.723449963760416,29.81249483920726,29.78105122697018,27.702794105325953,1.2006637507214228,SIR,7,redundant_parameterization,SIR
23.723449963760423,10.80597375649278,6,1.9692244044510816,10.311441796344887,891.846976414521,35.72344996376042,41.990584590100966,29.718797848024288,27.661898772662585,1.20066375072142,Redundant-SIR,7,redundant_parameterization,SIR
23.721829556860566,10.735670857487838,10,2.3180113099309074,12.31339384709786,1430.4662723543538,43.72182955686057,54.167053934094795,30.779067000841877,28.357852176722382,1.1928523174986487,Duplicate-UDE,7,redundant_parameterization,SIR
23.56248502005313,10.713562391784887,4,3.8508058156277762,18.125730672422755,166.50018214882752,31.56248502005313,35.74057477094682,35.28634972904774,31.264096651308684,1.190395821309432,TV-SIR,7,redundant_parameterization,SIR
28.938311127489072,23.939531506856348,2,1.9896720707827682,11.900029675408963,13.635487917951675,32.93831112748907,35.02735600293592,34.995912390698834,32.917655269054606,2.6599479452062607,SIR,8,redundant_parameterization,SIR
28.938311127489072,23.939531506856433,6,1.9692244044510816,10.311441796344887,891.846976414521,40.93831112748907,47.20544575382961,34.93365901175294,32.87675993639124,2.6599479452062704,Redundant-SIR,8,redundant_parameterization,SIR
27.85883774954599,23.019190899618902,10,2.3180113099309074,12.31339384709786,1430.4662723543538,47.85883774954599,58.304062126780224,34.916075193527305,32.4948603694078,2.5576878777354337,Duplicate-UDE,8,redundant_parameterization,SIR
27.20923268499049,23.53720990490611,4,3.8508058156277762,18.125730672422755,166.50018214882752,35.20923268499049,39.38732243588418,38.9330973939851,34.91084431624604,2.615245544989568,TV-SIR,8,redundant_parameterization,SIR
9.53206526835391,6.467869804748159,2,1.9896720707827682,11.900029675408963,13.635487917951675,13.53206526835391,15.621110143800756,15.589666531563676,13.511409409919448,0.7186522005275733,SIR,9,redundant_parameterization,SIR
9.532065268353906,6.467869804748161,6,1.9692244044510816,10.311441796344887,891.846976414521,21.532065268353904,27.799199894694446,15.527413152617768,13.47051407725607,0.7186522005275734,Redundant-SIR,9,redundant_parameterization,SIR
9.379927740891743,7.168264432342442,10,2.3180113099309074,12.31339384709786,1430.4662723543538,29.379927740891745,39.82515211812597,16.437165184873052,14.015950360753557,0.7964738258158268,Duplicate-UDE,9,redundant_parameterization,SIR
8.936852245776418,7.628972689791822,4,3.8508058156277762,18.125730672422755,166.50018214882752,16.936852245776418,21.11494199667011,20.66071695477103,16.63846387703197,0.8476636321990914,TV-SIR,9,redundant_parameterization,SIR
14.579559162078345,17.50664033201276,2,1.9896720707827682,11.900029675408963,13.635487917951675,18.579559162078347,20.668604037525192,20.63716042528811,18.55890330364388,1.945182259112529,SIR,10,redundant_parameterization,SIR
14.579559162078368,17.506640332012736,6,1.9692244044510816,10.311441796344887,891.846976414521,26.579559162078368,32.846693788418904,20.574907046342233,18.51800797098053,1.9451822591125263,Redundant-SIR,10,redundant_parameterization,SIR
13.788315478499385,15.996047066865343,10,2.3180113099309074,12.31339384709786,1430.4662723543538,33.788315478499385,44.23353985573361,20.845552922480696,18.4243380983612,1.777338562985038,Duplicate-UDE,10,redundant_parameterization,SIR
13.061242003968363,17.034186906975584,4,3.8508058156277762,18.125730672422755,166.50018214882752,21.061242003968363,25.239331754862057,24.785106712962975,20.762853635223916,1.8926874341083983,TV-SIR,10,redundant_parameterization,SIR
20.388055856101076,6.311110544142576,2,1.9896720707827682,11.900029675408963,13.635487917951675,24.388055856101076,26.47710073154792,26.44565711931084,24.367399997666613,0.7012345049047306,SIR,11,redundant_parameterization,SIR
20.388055856101083,6.311110544142551,6,1.9692244044510816,10.311441796344887,891.846976414521,32.38805585610108,38.655190482441625,26.383403740364948,24.326504665003245,0.7012345049047278,Redundant-SIR,11,redundant_parameterization,SIR
18.448345360023325,6.716196153757644,10,2.3180113099309074,12.31339384709786,1430.4662723543538,38.448345360023325,48.89356973725755,25.505582804004636,23.08436797988514,0.7462440170841826,Duplicate-UDE,11,redundant_parameterization,SIR
17.869048028363377,6.906987806668537,4,3.8508058156277762,18.125730672422755,166.50018214882752,25.869048028363377,30.04713777925707,29.592912737357988,25.57065965961893,0.7674430896298374,TV-SIR,11,redundant_parameterization,SIR
10.48211373304029,15.334019449313667,2,1.9896720707827682,11.900029675408963,13.635487917951675,14.48211373304029,16.571158608487135,16.539714996250055,14.461457874605827,1.7037799388126296,SIR,12,redundant_parameterization,SIR
10.482113733040293,15.334019449313653,6,1.9692244044510816,10.311441796344887,891.846976414521,22.482113733040293,28.749248359380832,16.477461617304158,14.420562541942456,1.703779938812628,Redundant-SIR,12,redundant_parameterization,SIR
10.430672412688017,15.284631370763046,10,2.3180113099309074,12.31339384709786,1430.4662723543538,30.43067241268802,40.875896789922244,17.487909856669326,15.06669503254983,1.6982923745292273,Duplicate-UDE,12,redundant_parameterization,SIR
8.922649789839921,15.123130424635692,4,3.8508058156277762,18.125730672422755,166.50018214882752,16.922649789839923,21.100739540733613,20.646514498834534,16.624261421095476,1.6803478249595214,TV-SIR,12,redundant_parameterization,SIR
21.175702483524347,5.532616805334338,2,1.9896720707827682,11.900029675408963,13.635487917951675,25.175702483524347,27.264747358971192,27.233303746734112,25.155046625089884,0.6147352005927043,SIR,13,redundant_parameterization,SIR
21.175702483524358,5.532616805334343,6,1.9692244044510816,10.311441796344887,891.846976414521,33.17570248352436,39.4428371098649,27.17105036778822,25.11415129242652,0.6147352005927048,Redundant-SIR,13,redundant_parameterization,SIR
20.993694291219526,5.098753065718502,10,2.3180113099309074,12.31339384709786,1430.4662723543538,40.993694291219526,51.43891866845375,28.050931735200837,25.629716911081342,0.5665281184131669,Duplicate-UDE,13,redundant_parameterization,SIR
20.384191077565045,5.169352763180152,4,3.8508058156277762,18.125730672422755,166.50018214882752,28.384191077565045,32.56228082845874,32.10805578655966,28.085802708820598,0.5743725292422391,TV-SIR,13,redundant_parameterization,SIR
