schema_version,protocol_hash,scenario,seed,sample,dimension,rank,statistic,log_information_volume,objective,parameter_error,wall_seconds
2.0,70c7d5be4c9850c2,regular_sir_full,0,calibration,2,2,0.04138769443525424,22.018746640906393,-284.0124916628081,0.0010258966181278632,6.970921300002374
2.0,70c7d5be4c9850c2,regular_sir_full,1,calibration,2,2,0.6646023028246658,22.020553886879625,-282.3429454853341,0.005675979072972932,6.9750797000015154
2.0,70c7d5be4c9850c2,regular_sir_full,2,calibration,2,2,4.0684000004111285,22.019992746179927,-280.5065281063879,0.014203133988699936,6.9204634000052465
2.0,70c7d5be4c9850c2,regular_sir_full,3,calibration,2,2,5.287855040705072,22.025418378942938,-272.1653568228833,0.015779764536538135,6.845976199998404
2.0,70c7d5be4c9850c2,regular_sir_full,4,calibration,2,2,5.1225848096602045,22.008980501276923,-277.59642392217444,0.010606131598505864,6.920279300000402
2.0,70c7d5be4c9850c2,regular_sir_full,5,calibration,2,2,1.557184105506429,22.022328094333666,-281.68547628995367,0.008126599189046343,6.945084999999381
2.0,70c7d5be4c9850c2,regular_sir_full,6,calibration,2,2,4.999809560596706,22.009119120180053,-280.83648511106986,0.011056102216679856,6.8487354000099
2.0,70c7d5be4c9850c2,regular_sir_full,7,calibration,2,2,0.3422700144169526,22.015816912468928,-280.00767413384557,0.003674843002015172,6.834070800003246
2.0,70c7d5be4c9850c2,regular_sir_full,8,calibration,2,2,2.469338054851563,22.022635430693967,-273.811733275026,0.011198507653818827,2.552527199994074
2.0,70c7d5be4c9850c2,regular_sir_full,9,calibration,2,2,1.7408152607183853,22.013765129729542,-270.303315510944,0.003007244129637346,2.6679767000023276
2.0,70c7d5be4c9850c2,regular_sir_full,10,calibration,2,2,0.906073509669714,22.01694819035661,-275.15565878534215,0.004932894665221022,2.619747099990491
2.0,70c7d5be4c9850c2,regular_sir_full,11,calibration,2,2,0.31139394362713496,22.0200544545001,-282.38457934883326,0.0032702446596067996,2.606697199997143
2.0,70c7d5be4c9850c2,regular_sir_full,12,calibration,2,2,0.35455843598483666,22.020120253564667,-281.42627504659714,0.0015453985555663036,2.643224500003271
2.0,70c7d5be4c9850c2,regular_sir_full,13,calibration,2,2,0.693431366398571,22.01784575893849,-271.1608547789704,0.005383927160966504,2.625538399996003
2.0,70c7d5be4c9850c2,regular_sir_full,14,calibration,2,2,0.2337483900828305,22.016041045804005,-293.2148763759904,0.0022549145536859354,2.6113596000068355
2.0,70c7d5be4c9850c2,regular_sir_full,15,calibration,2,2,0.003597953269995793,22.01776918247033,-281.99766848241524,0.0004291004244073214,2.6531460999976844
2.0,70c7d5be4c9850c2,regular_sir_full,16,calibration,2,2,2.971728917888767,22.024668981550803,-281.3242158696637,0.006554531627418139,2.698019099989324
2.0,70c7d5be4c9850c2,regular_sir_full,17,calibration,2,2,0.6973329020555031,22.014891773278762,-270.30826170555395,0.002178072612326054,2.737646900000982
2.0,70c7d5be4c9850c2,regular_sir_full,18,calibration,2,2,3.444477090479407,22.012967884863805,-273.6719601449798,0.01370205568335623,2.7589576999889687
