status,scenario,truth,candidate,candidate_label,seed,observation,noise,n_observations,dimension,objective,deviance,converged,iterations,wall_seconds,forecast_mse,blocked_validation,condition_information,jacobian_rank,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,d_obs,c_obs,prior_energy,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),0,infected,0.02,16,14,-27.63776191079114,-78.04247805719481,True,168,10.622886500001187,0.005078117509145306,-10.197176051347917,9319210696864.697,8,-50.04247805719481,369.9575219428052,-39.22623594583788,465.70721837139934,266.7808393140203,-73.37804670623134,-46.266762473543466,2.3322156754817316,9.008761348038819,22.76695423561253,-71.57620317752333,-69.32401284051362,-67.07182250350391,-62.56744182948451
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),1,infected,0.02,16,14,-29.536621024538597,-82.63952518300442,True,168,10.63128049999068,0.005877939578740776,20.655091851527217,8625486194450.278,8,-54.63952518300442,365.3604748169956,-43.82328307164749,156.03351932664947,114.5262475366585,-78.00648830644076,-50.2565508658366,2.316518438281836,8.81669118324059,23.56628313392723,-76.21677228616369,-74.01259949035354,-71.8084266945434,-67.4000811029231
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),2,infected,0.02,16,14,-29.44350889661301,-82.33884533217739,True,169,21.117318599994178,0.004996240894171965,-0.9934970541375208,8457522287807.9375,8,-54.338845332177385,365.66115466782264,-43.52260322082045,992.3658381057688,534.0561275375871,-77.5399796848516,-49.833130215199745,2.3994328236628912,9.053887578026274,23.451827538951363,-75.6862049455177,-73.42273305101114,-71.15926115650457,-66.63231736749142
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),3,infected,0.02,16,14,-28.90702019294661,-77.42593690341616,True,167,10.480751099996269,0.009319771535057421,-21.238216367716767,5255270467363.607,8,-49.42593690341616,370.5740630965838,-38.60969479205922,822.6778655605356,446.3259613975204,-72.88107468830368,-49.442092486869385,2.2724311075562396,8.371947899023839,19.61189651752294,-71.12542004253888,-69.03243306778292,-66.93944609302696,-62.75347214351504
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),4,infected,0.02,16,14,-20.33359376760373,-64.3657246560492,True,168,4.37342930000159,0.00541678328335652,1.2230676861833096,8133403035929.834,9,-36.365724656049196,383.6342753439508,-25.54948254469226,94.0116137773693,75.55605190637591,-59.681731772126284,-31.67240585165283,2.3419964419614545,8.994781683554631,23.698537120841735,-57.87233173354117,-55.623636312652515,-53.374940891763856,-48.87755004998654
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),5,infected,0.02,16,14,-28.675515113857276,-78.35030768815773,True,169,7.238759600004414,0.008860782137015705,-8.671611981535058,5684884864550.456,8,-50.35030768815773,369.6496923118423,-39.53406557680079,6.198650210649776,39.96930900623349,-73.79630826223648,-48.996574475315164,2.2769997129606225,8.354455752399387,20.999277460443174,-72.03712396345989,-69.94851002536005,-67.8598960872602,-63.6826682110605
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),6,infected,0.02,16,14,-25.13016995109374,-74.19270596193736,True,165,10.420805599991581,0.007076846891825402,14.404138568852701,7182943143988.295,8,-46.192705961937364,373.80729403806265,-35.37646385058043,48.98307756364015,58.435223819369305,-69.6030611795661,-41.690226063416965,2.2948223911856336,8.570113838770517,23.932366059749878,-67.83010728059276,-65.68757882090013,-63.5450503612075,-59.25999344182224
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),7,infected,0.02,16,14,-33.78273948096654,-88.80339256037085,True,166,10.497575200002757,0.010236999893749573,-27.932230509804466,5547009943202.444,8,-60.80339256037085,359.19660743962913,-49.98715044901392,1960.9890509539637,1019.090828262676,-84.4624740235444,-59.53085449004122,2.1704592684132247,8.03462447189186,21.23791359843777,-82.78560167068754,-80.77694555271458,-78.7682894347416,-74.75097719879568
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),8,infected,0.02,16,14,-32.98179336235401,-87.7763525632221,True,167,21.142321300008916,0.00683494762363782,-28.86399589991348,7109714907702.642,8,-59.776352563222105,360.2236474367779,-48.96011045186517,220.48728491380996,147.6527766535367,-83.16123184047112,-57.24287423267822,2.3075603613754967,8.720712492029804,21.81276583851409,-81.37843672938484,-79.1982586063774,-77.01808048336994,-72.65772423735504
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),9,infected,0.02,16,14,-27.68206465412323,-76.89053354333316,True,168,10.543085500001325,0.011554625283978168,-12.322970675563202,4877017557580.579,9,-48.89053354333316,371.10946645666684,-38.07429143197623,303.9086949934505,186.3272759469047,-72.62632502695588,-47.543793458945935,2.13210425818864,7.8203358493005295,21.5264042350867,-70.97908532243993,-69.0240013601148,-67.06891739778966,-63.1587494731394
