status,candidate,candidate_label,truth,seed,dimension,deviance,intervention_validation,held_out_mse,jacobian_rank,wall_seconds,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,d_obs,c_obs,prior_energy
ok,neural_ode_h2,NeuralODE(2),ude_sir_h2,0,14,-574.4460427109751,-207.56221117052874,3.275896571276288e-05,14,31.944259700001567,-546.4460427109751,-542.0710427109751,-508.51261989260246,67892.87570629113,34168.08083410218,-559.6377538126836,-410.5132567995311,-539.5760008128442,-529.1577072142862,-518.7394136157282,-497.90282641861216,7.404144449145732,41.673174394232014,122.259611517212
ok,neural_ode_h2,NeuralODE(2),ude_sir_h2,1,14,-522.9502360664669,-183.00012864141243,0.00020920539534446277,14,63.38755939999828,-494.9502360664669,-490.5752360664669,-457.01681324809425,93060.80285317107,46756.71041828072,-507.6513921447428,-399.0081904665292,-486.9250523192051,-475.6917309811141,-464.4584096430232,-441.9917669668412,7.6494219608620835,44.93328535236392,79.0087602475738
ok,neural_ode_h2,NeuralODE(2),ude_sir_h2,2,14,-586.9645308915207,-217.52598692603812,3.768022371422664e-05,14,32.238089699996635,-558.9645308915207,-554.5895308915207,-521.031108073148,24645.747731750384,12577.568749755697,-572.4358369853562,-389.95167136055613,-552.7528695231688,-542.7475744866651,-532.7422794501614,-512.731689377154,7.264346953082201,40.02118014601477,156.99167938494972
ok,neural_ode_h2,NeuralODE(2),ude_sir_h2,3,14,-536.5037668811168,-192.18610316874287,7.609486224664859e-05,14,64.83123830000113,-508.5037668811168,-504.1287668811168,-470.57034406274414,47448.32238657036,23947.468168956162,-521.3454675148189,-412.75591415870196,-500.80953254805996,-489.71431997694657,-478.6191074058332,-456.42868226360645,7.579149683148961,44.38085028445354,79.36700243796133
ok,neural_ode_h2,NeuralODE(2),ude_sir_h2,4,14,-576.1371352877272,-190.60144979175624,4.1314459903176954e-05,14,40.67305299999134,-548.1371352877272,-543.7621352877272,-510.20371246935457,54072.82068194441,27276.47127709193,-561.3925683525304,-394.02719936241135,-541.4171436444368,-531.2836867075201,-521.1502297706035,-500.88331589677006,7.372283467598431,40.53382774766676,141.57610817764913
ok,neural_ode_h2,NeuralODE(2),ude_sir_h2,5,14,-467.2113391324808,-194.64084447162412,0.00017001216896341358,14,63.404231200009235,-439.2113391324808,-434.8363391324808,-401.27791631410815,37819.77755393533,19114.218987221982,-451.9813178048731,-344.5226148601023,-431.34821642798096,-420.32432649531637,-409.3004365626518,-387.25265669732255,7.615010663803876,44.09555973065838,78.5931645417202
ok,neural_ode_h2,NeuralODE(2),ude_sir_h2,6,14,-546.4319055539977,-192.8043884153171,6.625151946809973e-05,14,37.36619950000022,-518.4319055539977,-514.0569055539977,-480.49848273562503,139389.78470852293,69914.55070063227,-531.1756481491657,-383.66633470906015,-510.507003050472,-500.10824531831344,-489.70948758615486,-468.9119721218377,7.62812870241602,41.5950309286343,121.17053991630328
ok,neural_ode_h2,NeuralODE(2),ude_sir_h2,7,14,-492.72027210529234,-175.46539990288093,0.00012929602785031322,14,81.0823939999973,-464.72027210529234,-460.34527210529234,-426.7868492869197,220534.48832505013,110488.55796246073,-477.3742744069625,-367.4637865922105,-456.58405229051544,-445.5116750178637,-434.4392977452119,-412.29454319990833,7.672998849164907,44.2895090906071,80.96697642247473
ok,neural_ode_h2,NeuralODE(2),ude_sir_h2,8,14,-484.53120280516873,-188.88958375174792,0.00019002828787421667,14,81.5253997999971,-456.53120280516873,-452.15620280516873,-418.59777998679607,119869.44974344733,60158.73652965817,-469.35176581286095,-362.47993006920257,-448.78719432807316,-437.4464680918735,-426.1057418556738,-403.4242893832744,7.589718496153896,45.36290494479873,76.68836779116744
ok,neural_ode_h2,NeuralODE(2),ude_sir_h2,9,14,-444.5995606235622,-186.60166099205458,0.00012707357101024525,14,37.94911049999064,-416.5995606235622,-412.2245606235622,-378.6661378051895,265864.8228773117,133113.22020379154,-430.2814844305045,-301.54424304101013,-410.8838544956142,-400.6047801233054,-390.3257057509965,-369.76755700637887,7.159038096528818,41.11629748923529,101.93902009331676
ok,seir,SEIR,ude_sir_h2,0,3,-381.76290022865004,-84.97760260507488,0.0005099385439609891,3,35.774153899998055,-375.76290022865004,-375.5386011632295,-367.634309624713,-128.74717504002362,140.19874951395568,-376.00008496305264,-359.88998817451034,-368.1928239596927,-362.7761639158035,-357.3595038719144,-346.5261837841361,2.88140763279869,21.666640175556623,0.20627187858308885
