scenario,model,train_fit,test_fit,full_fit,d,d_eff,cond,aic,aicc,bic,gic_eff,gic_aic,gic_vol,cv,waic_like,wall,nfev
early_partial_seir_medium_noise,SEIR,6.436106584541881,2.992465583689486,9.428572168231367,3.0,1.6755302313632878,699.9140215041257,12.43610658454188,18.43610658454188,12.674431209581387,9.920273751979128,9.787167047268456,10.311270957878039,0.9974885278964952,9.787167047268456,0.10518413782119751,19.083333333333332
early_partial_seir_medium_noise,SIR,7.21167195443608,2.622693038987481,9.834364993423561,2.0,1.4431560306527762,733.6888117469085,11.21167195443608,13.611671954436082,11.370555037795752,10.21263055570124,10.097984015741632,10.629028003385006,0.8742310129958271,10.097984015741632,0.056844095389048256,13.0
early_partial_seir_medium_noise,TV-SIR,4.831129433947701,4.32586874443335,9.156998178381052,4.0,2.44537514904887,2560.204469920713,12.8311294339477,26.164462767281034,13.148895600667045,9.91614410387144,9.721879732045439,10.546960789976364,1.4419562481444501,9.721879732045439,0.23410379886627197,19.5
early_partial_seir_medium_noise,UDE-SIR,5.9658265895664515,3.1106287411997933,9.076455330766246,5.0,2.2932218460002787,6835.22905040925,15.965826589566452,45.965826589566454,16.36303429796563,10.734447360427149,10.55227028156701,11.369598711181718,1.0368762470665978,10.55227028156701,0.11506730318069458,8.0
regular_full_long_low_noise,SEIR,68.14080343898938,28.661584663175603,96.80238810216498,3.0,2.9804423544470353,1464.0990423215583,74.1408034389894,74.72616929264792,79.56079090830035,79.48634155258566,74.10168814788345,80.69485928050821,1.592310259065311,74.10168814788345,0.163585364818573,14.416666666666666
regular_full_long_low_noise,SIR,40.39513078925121,15.597913987539842,55.993044776791045,2.0,1.9998688749655937,11.607730125802178,44.395130789251205,44.6808450749655,48.008455768791855,48.00795662004191,44.3948685391824,49.03273880956035,0.8665507770855468,44.3948685391824,0.04532519976298014,5.0
regular_full_long_low_noise,TV-SIR,37.99713770379426,16.184997944481196,54.18213564827545,4.0,3.98074482849688,3290.5327102362567,45.99713770379426,46.99713770379426,53.22378766287554,53.15048972378051,45.95862736078802,54.795039090865025,0.8991665524711775,45.95862736078802,0.15077084302902222,6.0
regular_full_long_low_noise,UDE-SIR,37.890697250382765,16.177659054072397,54.06835630445516,5.0,4.026154627936286,159207.04638007682,47.890697250382765,49.4291587888443,56.924009699234354,53.216909050563004,45.94300650625534,54.88400290429951,0.8987588363373553,45.94300650625534,0.2143909732500712,8.0
ude_overfit_noisy_sir,SEIR,11.759705309020527,5.127212373602698,16.886917682623224,3.0,2.258401934765398,307.19854541233894,17.75970530902053,19.94152349083871,19.883855912327153,17.875571122631584,16.276509178551322,18.46335130031919,0.8545353956004497,16.276509178551322,0.14981011549631754,14.416666666666666
ude_overfit_noisy_sir,SIR,13.065162683066498,4.897038713707815,17.962201396774315,2.0,1.9943534412599313,2.6648783249246013,17.0651626830665,18.0651626830665,18.48126308527092,18.465971920739342,17.053869565586364,19.064616555968204,0.8161731189513025,17.053869565586364,0.05748802423477173,6.583333333333333
ude_overfit_noisy_sir,TV-SIR,10.13394634659632,6.3198400711321625,16.453786417728484,4.0,2.967305494218753,1252.3039997035414,18.13394634659632,22.133946346596318,20.96614715100516,18.169558586947108,16.068557335033827,18.92072869361672,1.0533066785220273,16.068557335033827,0.37120052178700763,14.5
ude_overfit_noisy_sir,UDE-SIR,10.808509180926576,6.192251221216174,17.00076040214275,5.0,3.0180868723657794,1754.7680960071477,20.808509180926574,27.475175847593245,24.348760186437627,18.981639942580664,16.844682925658134,19.774479672149372,1.0320418702026957,16.844682925658134,0.19455589850743613,8.0
