candidate,seed,train_deviance,blocked_standardized_mse,observable_dimension,observable_complexity,aic,bic,gic_eff,gic_vol
minimal_fixed,1,11.30236974988526,0.0939991149150934,1.3702827930931476,2.5582073899292412,17.30236974988526,16.13068348718756,13.507754827845464,14.786858522810084
minimal_gamma,1,11.424147056925758,0.2604280188794446,2.1290793714744924,5.854178777111511,21.424147056925758,19.47133661909626,14.850768115958171,17.77785750451393
ude_appearance,1,19.67104629593816,3.1415914939987584,2.1550959585096607,9.424946922619377,39.67104629593816,35.765425420279165,23.139539436497117,27.852012897806805
neural_ode,1,10.11412188971635,61.755482951907524,1.1788635257221882,3.163654753478548,32.11412188971635,27.81793892649145,12.011429541599371,13.593256918338646
minimal_fixed,0,11.333192378810676,2.296351033171317,1.4087177766592147,3.11242576409706,17.333192378810676,16.161506116112974,13.60043617648589,15.15664905853442
minimal_gamma,0,11.307819930288115,4.310153228010107,2.4120080202264704,6.883548569553438,21.307819930288115,19.355009492458617,15.189797083135712,18.631571367912432
ude_appearance,0,17.72253492164169,8.086595297870195,2.232162651952859,10.429007241932652,37.72253492164169,33.81691404598269,21.315062120414062,26.529565741380388
neural_ode,0,10.984630732218573,41.36278078751208,1.2987495091152275,3.0747638562914372,32.98463073221858,28.688447768993676,13.074887430943797,14.612269359089515
minimal_fixed,2,15.409131417477262,0.5543328804341909,1.4317045032205877,2.8667890015313513,21.409131417477262,20.237445154779564,17.713370924363105,19.14676542512878
minimal_gamma,2,22.490694743345884,20.454647450221074,2.749398935003727,15.20675000270365,32.490694743345884,30.537884305516386,26.91568162574682,34.51905662709865
ude_appearance,2,20.278742643546725,20.460726928285,2.3130924485196633,10.82317759104486,40.27874264354672,36.373121767887724,24.001521325159292,29.413110120681722
neural_ode,2,10.418523256176538,78.98834225565176,1.317403135711877,3.219940526749899,32.41852325617654,28.12234029295164,12.538801808750799,14.148772072125748
minimal_fixed,3,15.517456086044449,22.17260027662775,1.6691930501945942,10.377937574023495,21.517456086044447,20.34576982334675,18.203918664199144,23.39288745121089
minimal_gamma,3,13.65603363828849,21.450230894377228,2.5902349731073513,14.490604391262716,23.65603363828849,21.703223200458993,17.824856006120182,25.07015820175154
ude_appearance,3,15.711743253539943,44.26664686702688,1.9210414283674804,10.859641378781692,35.71174325353994,31.806122377880946,18.803540159711122,24.23336084910197
neural_ode,3,10.108393524272536,4.119102950878215,0.9786237710949621,2.363277381030164,32.108393524272536,27.81221056104764,11.683427723481998,12.86506641399708
minimal_fixed,6,32.98163633460207,258.6324064750148,1.7264939122493121,9.624386770799545,38.98163633460207,37.809950071904375,35.76032109256279,40.572514477962564
minimal_gamma,6,11.119950350562,0.8704674163156243,2.437247372661275,6.988305754700127,21.119950350562,19.1671399127325,15.042548674103458,18.536701551453522
ude_appearance,6,18.073171275662048,4.963643405101547,2.349993331766853,11.55801531115263,38.07317127566205,34.16755040000305,21.855339637774946,27.63434729335126
neural_ode,6,15.079457774680558,12.192549661163001,1.1569134079913304,2.21025564682288,37.079457774680556,32.78327481145566,16.941438074905143,18.046565898316583
minimal_fixed,5,27.804931783259313,25.778193545026447,1.6477489599206032,10.92410400623873,33.80493178325931,32.633245520561616,30.45688142952939,35.91893343264876
minimal_gamma,5,22.85382829088083,22.67263863571367,2.7012204501470505,16.4116160988826,32.85382829088083,30.901017853051332,27.2012748931898,35.4070829426311
ude_appearance,5,21.892735702516006,11.781708146059819,2.2050595445263963,12.629860233702356,41.892735702516006,37.98711482685701,25.44164213265146,31.75657224950264
neural_ode,5,15.592759721544848,19.297907838315105,1.00846236152739,2.1551512290407704,37.59275972154485,33.29657675831995,17.215817279449855,18.29339289397024
minimal_fixed,4,26.742739033300033,28.97849349064018,1.6271807841862336,10.84117913884024,32.74273903330003,31.571052770602336,29.361585477753607,34.78217504717372
minimal_gamma,4,19.013432375371963,54.469103744004016,2.6303028207711043,14.599067748331375,29.013432375371963,27.060621937542464,23.246741456303333,30.546275330469022
ude_appearance,4,21.03098974796722,19.69901079631039,2.2005553426721853,11.380360711375063,41.03098974796722,37.12536887230822,24.57264694487325,30.26282730056078
neural_ode,4,11.121795554059833,18.90004440059272,1.1433862166162785,2.5554178702982675,33.12179555405983,28.825612590834936,12.96200467963666,14.239713614785794
minimal_fixed,7,31.124156878739974,3097.9992087174464,1.690850537255789,9.06130448599747,37.124156878739974,35.95247061604228,33.84547583765901,38.37612808065774
minimal_gamma,7,29.32825265805714,66.16944105004475,2.7199499212207168,14.349996301608595,39.32825265805714,37.37544222022764,33.7058431811919,40.8808413319962
ude_appearance,7,34.215795288019805,14.948259340764315,2.2380482141558016,10.561766484055402,54.215795288019805,50.31017441236081,37.81779493373759,43.098678175765286
neural_ode,7,12.584959783825969,154.3848920716902,1.317450945429819,3.375577615719321,34.584959783825965,30.288776820601072,14.705315283172869,16.39310409103253
minimal_fixed,8,12.681420476318456,1.2547067832869347,1.403597845847205,2.8248000323779485,18.681420476318458,17.509734213620757,14.940424063235781,16.352824079424757
minimal_gamma,8,11.294892353018914,1.808066619601794,2.181631039914905,6.136708972497512,21.294892353018916,19.342081915189418,14.806092059600994,17.87444654584975
ude_appearance,8,21.42604010778678,7.886146340200702,2.2571176712087504,9.647909657880769,41.426040107786775,37.52041923212778,25.058730860655107,29.88268568959549
neural_ode,8,9.62813572329541,158.88262864170375,1.3262970875218234,3.904631417990512,31.628135723295408,27.331952760070514,11.76272853910396,13.715044248099217
minimal_fixed,9,33.615279295971895,22.93237671194235,1.6526939893353583,10.574737312130596,39.615279295971895,38.4435930332742,36.275187660060176,41.56255631612547
minimal_gamma,9,18.7959238668498,92.46052095569821,2.997898271360637,15.68945363174931,28.7959238668498,26.843113429020303,23.62085500239826,31.465581818272916
ude_appearance,9,30.555834151654125,1.8924678799897028,2.310179429019052,11.371258063660003,50.555834151654125,46.65021327599513,34.27392450924275,39.95955354107275
