status,candidate,candidate_label,truth,seed,dimension,deviance,trajectory_mse,jacobian_rank,wall_seconds,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,d_obs,c_obs,prior_energy
ok,lv,Lotka--Volterra,rm,0,4,2888.339339361989,0.03050392578967418,4,17.937579099991126,2896.339339361989,2897.0410937479537,2904.8478769021694,3077.172879704385,157.79247826736312,2895.7762260917075,2938.276940559052,2903.6858548319424,2912.844906929661,2922.0039590273805,2940.322063222818,3.7184433648592927,36.636208390875865,13.301392806187224
ok,lv,Lotka--Volterra,rm,1,4,199.62695313351566,0.004834183207522236,4,18.787183000007644,207.62695313351566,208.32870751948056,216.135490673696,1801.5565630288013,857.0585394212768,206.09407706646067,285.25022840618567,212.97229791151833,221.15654620028488,229.34079448905143,245.70929106658454,3.2335619664725,32.736993155066216,52.88628211760381
ok,lv,Lotka--Volterra,rm,2,4,117.00046515790876,0.0043105871114154535,4,20.28239360000589,125.00046515790876,125.70221954387368,133.50900269808912,275442.3174157232,137728.4652130489,123.34776829151595,211.90053853826808,130.0985516654161,137.97980650786124,145.8610613503064,161.62357103519668,3.173651566803594,31.525019369780573,63.375054010578744
ok,lv,Lotka--Volterra,rm,3,4,89.06711461593767,0.004059843230984681,4,6.861615200003143,97.06711461593767,97.76886900190259,105.57565215611804,35222.59596602487,17623.803528725384,95.49936031835115,179.53971043330708,102.34048582168226,110.04148667250675,117.74248752333122,133.1444892249802,3.216122851206739,30.80400340329792,59.66859241407151
ok,lv,Lotka--Volterra,rm,4,4,2549.25639748533,0.03055309113423644,4,15.652806099998998,2557.25639748533,2557.958151871295,2565.7649350255106,2697.131678340877,122.68812935023934,2556.9241607369013,2594.769201907868,2565.079342171303,2574.206860981989,2583.334379792675,2601.589417414047,3.833881625785679,36.510075242744215,9.002729179793873
ok,lv,Lotka--Volterra,rm,5,4,143.03600152038126,0.003914074228515437,4,29.507558500015875,151.03600152038126,151.73775590634617,159.54453906056162,1424448.8868106587,712224.5148164411,149.62087718036577,221.3744378952122,156.62433489916555,163.8133919115726,171.00244892397967,185.38056294879377,3.292437829992254,28.75622804962823,49.58220832520273
ok,lv,Lotka--Volterra,rm,6,4,2676.8622124453555,0.030516665068938884,4,30.548102900007507,2684.8622124453555,2685.56396683132,2693.370749985536,2829.516706343611,118.1179778211954,2684.544464065084,2721.97098722164,2692.7150548525306,2701.8341053074346,2710.9531557623386,2729.1912566721467,3.8411258098643097,36.47620181961599,8.63257295666818
ok,lv,Lotka--Volterra,rm,7,4,101.33547771290552,0.0044014429743691585,4,15.114572400023462,109.33547771290552,110.03723209887043,117.84401525308589,7120.624412400555,3531.0412113664956,107.47193963911874,204.96353763939192,113.99847922200283,122.17592935577167,130.35337948954052,146.70827975707817,3.068230963106613,32.70980053507536,70.91825939141101
ok,lv,Lotka--Volterra,rm,8,4,59.94479772320909,0.003807250020568628,4,33.50899699999718,67.94479772320909,68.64655210917401,76.45333526338946,50697.90599002481,25372.39100555303,66.39166230960879,145.61500281040026,73.24833597833894,80.52167448337778,87.7950129884166,102.34168999849427,3.2234322931998483,29.093354020155324,56.57685106703585
ok,lv,Lotka--Volterra,rm,9,4,191.66311974485626,0.00424719146142971,4,16.685082099982537,199.66311974485626,200.36487413082116,208.17165728503662,14750.866285297387,7364.149364678789,197.7457578492564,302.0020538792279,204.21505218108388,212.36897687427867,220.52290156747347,236.83075095386303,3.041319052200063,32.615698772779155,77.72323536159246
ok,lv,Lotka--Volterra,rm,10,4,2681.029937872305,0.030687201779393283,4,12.423259100003634,2689.029937872305,2689.7316922582695,2697.5384754124852,2797.5636182782746,98.1324631063092,2688.789177451631,2724.122804721395,2697.041650107125,2706.125145925358,2715.2086417435908,2733.3756333800566,3.8796197896631304,36.33398327293166,6.7588835761582855
ok,lv,Lotka--Volterra,rm,11,4,62.320132098366855,0.003743298791674308,4,12.953228300000774,70.32013209836686,71.02188648433177,78.82866963854723,36192.20451223203,18110.20190769618,68.35475561917562,165.16789179217085,74.77298321513271,82.2607123381358,89.7484414611389,104.72389970714507,3.017311760404379,29.950916492012354,72.89684320179163
ok,lv,Lotka--Volterra,rm,12,4,129.28218819263094,0.003910733948527031,4,21.24751230000402,137.28218819263094,137.98394257859584,145.7907257328113,170445.64772953483,85217.00667298696,135.86133921721614,208.92924817770015,142.85870840161604,150.07671292997838,157.29471745834073,171.7307265150654,3.2895755122926,28.87201811344937,50.77504187161983
ok,lv,Lotka--Volterra,rm,13,4,2782.1662009699894,0.030529295179768372,4,28.628962900023907,2790.1662009699894,2790.867955355954,2798.67473851017,2938.704657659975,131.97113696646156,2789.8227489313713,2827.893801701686,2797.9660021510726,2807.094842811275,2816.223683471478,2834.4813647918836,3.8282739806909767,36.51536264081092,9.212238090885407
ok,lv,Lotka--Volterra,rm,14,4,75.19947949442923,0.0037941439366468567,4,30.02798599997186,83.19947949442923,83.90123388039414,91.7080170346096,249356.72115715308,124695.87614735443,81.56956120462252,158.25450966196422,88.34457112527201,95.46046762308443,102.57636412089684,116.80815711652166,3.1850408550966463,28.463585991249644,54.59144417628532
ok,lv,Lotka--Volterra,rm,15,4,94.07452074458087,0.004477527875268111,4,11.865413499996066,102.07452074458087,102.77627513054578,110.58305828476124,5429.204607836529,2717.5925873992337,100.5493494757435,181.59676495820133,107.43576489141046,115.45361490502029,123.4714649186301,139.50716494584975,3.2374143655813157,32.071400054439295,55.450844159181166
ok,lv,Lotka--Volterra,rm,16,4,120.06991485600815,0.0036546938627276143,4,26.621534900012193,128.06991485600815,128.77166924197306,136.5784523961885,301795.8865759147,150904.4333627945,125.99855224183607,216.4500585540038,132.30405646176524,139.4108457817628,146.51763510176033,160.73121374175543,2.964318692913954,28.42715727999019,67.95298641800545
ok,lv,Lotka--Volterra,rm,17,4,123.19886035621658,0.004374610781456671,4,25.645898299990222,131.19886035621658,131.9006147421815,139.70739789639694,18889.639285726487,9424.621536704415,129.59330891364382,213.26931353638105,136.39423461359658,144.34199542812183,152.2897562426471,168.18527787169756,3.197224278713624,31.791043258100995,58.27940992206348
ok,lv,Lotka--Volterra,rm,18,4,82.15874425956889,0.004302653282540642,4,10.501481399987824,90.15874425956889,90.86049864553381,98.66728179974926,7676.0820239422255,3859.626959757127,88.89375964168313,162.4900227075103,96.05690104323455,103.83781638698457,111.6187317307346,127.18056241823466,3.3675076910571224,31.123661375000108,49.207617072941304
ok,lv,Lotka--Volterra,rm,19,4,124.99279371008504,0.003742967361227061,4,13.791098599991528,132.99279371008504,133.69454809604994,141.5013312502654,1788364.3159801387,894221.3197181514,131.2700232231484,214.1267228874632,137.94627859317688,145.14517164815487,152.34406470313286,166.7418508130888,3.138614756531683,28.795572219911925,60.338356957466225
ok,neural_ode,Neural ODE,rm,0,14,-284.7673552630366,4.2661784196306074e-05,14,22.490936300018802,-256.7673552630366,-247.83118505027068,-226.98747387240533,7.3517627556652e+28,3.6758813778326e+28,-272.7252753220669,-235.977014713804,-259.9177141671177,-248.5879909283582,-237.2582676895987,-214.5988212120797,6.021039970484847,45.31889295503799,3.471447594194636
ok,neural_ode,Neural ODE,rm,1,14,-302.25478503397886,8.823008479165593e-05,13,24.843168899999,-274.25478503397886,-265.3186148212129,-244.47490364334757,3.4134204022042486e+32,1.7067102011021243e+32,-289.94401438147935,-252.09916420300226,-276.8506826008115,-265.1453732977582,-253.4400639947049,-230.02944538859828,6.155385326249752,46.821237212213234,3.33438361876333
ok,neural_ode,Neural ODE,rm,2,14,-272.2002849450864,0.0001818541726504012,13,19.14005499999621,-244.20028494508642,-235.26411473232048,-214.42040355445513,3.0654695589709464e+29,1.5327347794854732e+29,-260.4134502019849,-222.8540602069641,-247.8773594655373,-236.39001790248005,-224.90267633942278,-201.92799321330827,5.893417371550743,45.94936625222902,3.3968584858932966
ok,neural_ode,Neural ODE,rm,3,14,-281.221516916075,1.6426736555318586e-05,13,30.677329500002088,-253.22151691607502,-244.28534670330907,-223.44163552544373,1.912998356037498e+30,9.56499178018749e+29,-269.5065909830885,-233.1000663290051,-257.0469800979324,-245.882919616678,-234.7188591354236,-212.39073817291475,5.857462966493266,44.65624192501767,3.4652086620522526
ok,neural_ode,Neural ODE,rm,4,14,-291.01463892383214,2.131434248881712e-05,13,29.719243800005643,-263.01463892383214,-254.0784687110662,-233.23475753320085,7.018246429356195e+30,3.5091232146780976e+30,-277.8809852502408,-238.09908715605985,-263.9124620850559,-251.70345570336997,-239.49444932168407,-215.07643655831225,6.566826836795652,48.836025526743654,4.079526241028674
ok,neural_ode,Neural ODE,rm,5,14,-275.67722954212934,8.580238028091456e-05,14,29.49973029998364,-247.67722954212934,-238.7410593293634,-217.89734815149805,3.064138528767924e+26,1.532069264383962e+26,-263.7709633528479,-226.24929391122694,-251.10784924848775,-239.88643567150174,-228.66502209451573,-206.2221949405437,5.953133094640711,44.885654307944066,4.542281322958322
ok,neural_ode,Neural ODE,rm,6,14,-278.9168150563346,5.602873638679805e-05,13,32.14008929999545,-250.9168150563346,-241.98064484356865,-221.1369336657033,6.873505543234087e+25,3.4367527716170433e+25,-267.2425915613319,-231.50732025146178,-254.82627045387113,-243.79459952811007,-232.762928602349,-210.6995867508269,5.837111747501347,44.12668370304423,3.282811101828586
ok,neural_ode,Neural ODE,rm,7,14,-283.5990854189016,5.206090147326236e-05,14,31.162595999980113,-255.5990854189016,-246.66291520613566,-225.81920402827032,1.52914969282287e+31,7.64574846411435e+30,-271.6257664357274,-234.91951483467324,-258.891337179616,-247.46774597804443,-236.04415477647285,-213.1969723733297,5.9866594915870825,45.694364806286316,2.985205777942051
ok,neural_ode,Neural ODE,rm,8,14,-289.49833101707407,2.639524086351823e-05,13,37.90292529997532,-261.49833101707407,-252.56216080430812,-231.71844962644278,1.967326728729747e+32,9.836633643648734e+31,-277.87907632107635,-242.01454193443357,-265.52121822484963,-254.36162128225286,-243.20202433965608,-220.88283045446252,5.809627347998868,44.6383877703871,2.845401312253393
ok,neural_ode,Neural ODE,rm,9,14,-294.14869246037495,5.069915573380285e-05,14,35.85115780000342,-266.14869246037495,-257.212522247609,-236.36881106974366,6.548968537974854e+25,3.274484268987427e+25,-282.3256460964416,-246.59196743993436,-269.75104186808903,-258.67553110040797,-247.60002033272687,-225.4489987973647,5.91152318196669,44.30204307072433,3.254681949716247
ok,neural_ode,Neural ODE,rm,10,14,-277.3228553205259,3.4635354975503015e-05,14,62.31026880000718,-249.3228553205259,-240.38668510775994,-219.5429739298946,2.0179436263187333e+23,1.0089718131593667e+23,-265.25486039484787,-225.71154268037446,-252.41973691236814,-240.82821073097136,-229.2366845495746,-206.05363218678104,6.033997462839018,46.3661047255871,5.245207914564345
ok,neural_ode,Neural ODE,rm,11,14,-291.3654779881786,7.318492756072465e-05,13,31.512146299995948,-263.3654779881786,-254.42930777541267,-233.58559659754732,9.386875292096447e+28,4.693437646048223e+28,-279.1562197413615,-241.16367501960246,-266.1708532250115,-254.44699505489314,-242.72313688477476,-219.275420544538,6.104629123408553,46.89543268047352,3.30637028810264
