scenario,seed,criterion,mode,forecast_mse,log_score,coverage_90,mean_width_90,between_fraction,selected
early_seir_infected_only,0,aic,hard,0.00010720685420720865,-2.3791181718234324,1.0,0.12364691028580031,0.0,sir
early_seir_infected_only,0,aic,average,0.0001733860389203542,-2.2652760464609387,1.0,0.13808114586210524,0.0901373928210197,sir
early_seir_infected_only,0,bic,hard,0.00010720685420720865,-2.3791181718234324,1.0,0.12364691028580031,0.0,sir
early_seir_infected_only,0,bic,average,0.00017450521204817943,-2.2970190107257533,1.0,0.13302877020542767,0.06654416281398044,sir
early_seir_infected_only,0,gic_eff,hard,0.0005796290214765713,-2.220781725236567,1.0,0.12570123555066792,0.0,seir
early_seir_infected_only,0,gic_eff,average,0.00022085801469677133,-2.145302940877797,1.0,0.15598482311051207,0.2168860402180537,seir
early_seir_infected_only,0,gic_vol_050,hard,0.0005796290214765713,-2.220781725236567,1.0,0.12570123555066792,0.0,seir
early_seir_infected_only,0,gic_vol_050,average,0.00027099054513126823,-2.1787499545707907,1.0,0.1482856508209913,0.188917236371373,seir
early_seir_infected_only,0,ogic_p,hard,0.0005796290214765713,-2.220781725236567,1.0,0.12570123555066792,0.0,seir
early_seir_infected_only,0,ogic_p,average,0.00017375783776123871,-2.119265941408225,1.0,0.16157385917069986,0.25442224837589394,seir
early_seir_infected_only,1,aic,hard,0.00020157616346125717,-2.380241401158865,1.0,0.12064800015654874,0.0,seir
early_seir_infected_only,1,aic,average,3.6615346929787335e-05,-2.309968044577118,1.0,0.13489670877568105,0.10525130312386842,seir
early_seir_infected_only,1,bic,hard,4.9151226547583765e-06,-2.4617909374141846,1.0,0.11675868306761478,0.0,sir
early_seir_infected_only,1,bic,average,2.992638362641018e-05,-2.3545418810076515,1.0,0.129397974270335,0.08301156869269895,sir
early_seir_infected_only,1,gic_eff,hard,0.00020157616346125717,-2.380241401158865,1.0,0.12064800015654874,0.0,seir
early_seir_infected_only,1,gic_eff,average,5.650585583318767e-05,-2.126622824748148,1.0,0.16327678486569797,0.2545101310403179,seir
early_seir_infected_only,1,gic_vol_050,hard,0.00020157616346125717,-2.380241401158865,1.0,0.12064800015654874,0.0,seir
early_seir_infected_only,1,gic_vol_050,average,6.0945751548821304e-05,-2.1928224212418734,1.0,0.1524621933297661,0.23935902615166885,seir
early_seir_infected_only,1,ogic_p,hard,0.00020157616346125717,-2.380241401158865,1.0,0.12064800015654874,0.0,seir
early_seir_infected_only,1,ogic_p,average,4.998830596326451e-05,-2.085017747808235,1.0,0.1695260643929841,0.28973047810166896,seir
early_seir_infected_only,2,aic,hard,0.0009049304161095831,-2.072648078696767,1.0,0.13167290860791145,0.0,seir
early_seir_infected_only,2,aic,average,0.0002789291768344507,-2.157293748033371,1.0,0.15083542969341188,0.10677751815150517,seir
early_seir_infected_only,2,bic,hard,0.00034705170844097046,-2.3009697662220536,1.0,0.12302242768375908,0.0,sir
early_seir_infected_only,2,bic,average,0.00035322774682572546,-2.181467798148216,1.0,0.14329924366685148,0.08725669750580439,sir
early_seir_infected_only,2,gic_eff,hard,0.0009049304161095831,-2.072648078696767,1.0,0.13167290860791145,0.0,seir
early_seir_infected_only,2,gic_eff,average,0.0002952953180126614,-2.026560760816708,1.0,0.1744195646099469,0.2769491536199346,seir
early_seir_infected_only,2,gic_vol_050,hard,0.0009049304161095831,-2.072648078696767,1.0,0.13167290860791145,0.0,seir
early_seir_infected_only,2,gic_vol_050,average,0.00044063208300914046,-2.0594803835260422,1.0,0.16230796757771662,0.2656487118125927,seir
early_seir_infected_only,2,ogic_p,hard,0.0009049304161095831,-2.072648078696767,1.0,0.13167290860791145,0.0,seir
early_seir_infected_only,2,ogic_p,average,0.00018178371095900825,-2.004231744138593,1.0,0.18179236127468834,0.3112513848025312,seir
early_seir_infected_only,3,aic,hard,0.00300322271455716,-1.6182533911025123,1.0,0.13317988814702633,0.0,sir
early_seir_infected_only,3,aic,average,0.0027105122754072365,-1.7146277092726827,1.0,0.14327393788077936,0.01990604710511843,sir
early_seir_infected_only,3,bic,hard,0.00300322271455716,-1.6182533911025123,1.0,0.13317988814702633,0.0,sir
early_seir_infected_only,3,bic,average,0.0027580432802345816,-1.697273186143902,1.0,0.13972197288993743,0.016642174207698496,sir
early_seir_infected_only,3,gic_eff,hard,0.00300322271455716,-1.6182533911025123,1.0,0.13317988814702633,0.0,sir
early_seir_infected_only,3,gic_eff,average,0.0028666662905120033,-1.6620412793138744,1.0,0.14476396697230717,0.09166457717244979,sir
early_seir_infected_only,3,gic_vol_050,hard,0.00300322271455716,-1.6182533911025123,1.0,0.13317988814702633,0.0,sir
early_seir_infected_only,3,gic_vol_050,average,0.002810736380126509,-1.6637336273508394,1.0,0.14302862487486168,0.11689868194866586,sir
early_seir_infected_only,3,ogic_p,hard,0.00300322271455716,-1.6182533911025123,1.0,0.13317988814702633,0.0,sir
early_seir_infected_only,3,ogic_p,average,0.002924802695926609,-1.6512403248248149,1.0,0.14683477760856467,0.09844464637041021,sir
early_seir_infected_only,4,aic,hard,0.0001242236585933052,-2.1064866265423183,1.0,0.16418875042407163,0.0,seir
early_seir_infected_only,4,aic,average,9.375660605275361e-05,-2.1426922922453167,1.0,0.1587399125330556,0.011252058864463127,seir
early_seir_infected_only,4,bic,hard,9.375282249046685e-05,-2.257306205661689,1.0,0.1401825902696814,0.0,sir
early_seir_infected_only,4,bic,average,8.800384879435969e-05,-2.1648452293320815,1.0,0.15515886222587055,0.00951780319942049,sir
early_seir_infected_only,4,gic_eff,hard,0.0001242236585933052,-2.1064866265423183,1.0,0.16418875042407163,0.0,seir
early_seir_infected_only,4,gic_eff,average,8.136034030575137e-05,-2.146958898531799,1.0,0.15854981271006888,0.04976456249428496,seir
early_seir_infected_only,4,gic_vol_050,hard,0.0001242236585933052,-2.1064866265423183,1.0,0.16418875042407163,0.0,seir
early_seir_infected_only,4,gic_vol_050,average,8.321187552596476e-05,-2.1587035337295943,1.0,0.15655321013124843,0.04352208538291153,seir
early_seir_infected_only,4,ogic_p,hard,0.0001242236585933052,-2.1064866265423183,1.0,0.16418875042407163,0.0,seir
early_seir_infected_only,4,ogic_p,average,8.232995716888151e-05,-2.1332439591673094,1.0,0.16087825311030754,0.06054422674749984,seir
early_seir_infected_only,5,aic,hard,0.0007741987861498833,-2.1394941096127895,1.0,0.12647577719608588,0.0,sir
early_seir_infected_only,5,aic,average,0.0006347131693259969,-2.1526956490284324,1.0,0.1323714423067072,0.040618159667918326,sir
early_seir_infected_only,5,bic,hard,0.0007741987861498833,-2.1394941096127895,1.0,0.12647577719608588,0.0,sir
early_seir_infected_only,5,bic,average,0.0006405582863114025,-2.1626796639350805,1.0,0.12991110905281303,0.03060672164005183,sir
early_seir_infected_only,5,gic_eff,hard,0.0007650247274859412,-2.14161464074811,1.0,0.12657814612292007,0.0,ude_sir_h2
early_seir_infected_only,5,gic_eff,average,0.0007904357667611897,-2.06991945690578,1.0,0.13861010020100584,0.19702337383619217,ude_sir_h2
early_seir_infected_only,5,gic_vol_050,hard,0.0007741987861498833,-2.1394941096127895,1.0,0.12647577719608588,0.0,sir
early_seir_infected_only,5,gic_vol_050,average,0.0007037295856508392,-2.1034106575639284,1.0,0.13612696262292504,0.18909995242122593,sir
early_seir_infected_only,5,ogic_p,hard,0.0007650247274859412,-2.14161464074811,1.0,0.12657814612292007,0.0,ude_sir_h2
early_seir_infected_only,5,ogic_p,average,0.000896367304668033,-2.02492589431265,1.0,0.14250395395013274,0.23537844128089405,ude_sir_h2
early_seir_infected_only,6,aic,hard,2.2406415890847558e-07,-2.376111094074903,1.0,0.130160316405602,0.0,seir
early_seir_infected_only,6,aic,average,0.000202414476706879,-2.2103556807433384,1.0,0.14568901897386696,0.0950504906358461,seir
early_seir_infected_only,6,bic,hard,2.2406415890847558e-07,-2.376111094074903,1.0,0.130160316405602,0.0,seir
early_seir_infected_only,6,bic,average,0.0001327602424607018,-2.263924040613702,1.0,0.13947249024812805,0.08027516759181354,seir
early_seir_infected_only,6,gic_eff,hard,2.2406415890847558e-07,-2.376111094074903,1.0,0.130160316405602,0.0,seir
early_seir_infected_only,6,gic_eff,average,0.00011778501728093166,-2.182540599814312,1.0,0.1516281561584878,0.18356664164524947,seir
early_seir_infected_only,6,gic_vol_050,hard,2.2406415890847558e-07,-2.376111094074903,1.0,0.130160316405602,0.0,seir
early_seir_infected_only,6,gic_vol_050,average,4.3108307975158764e-05,-2.2509460484337107,1.0,0.14371214070277252,0.16314918115913837,seir
early_seir_infected_only,6,ogic_p,hard,2.2406415890847558e-07,-2.376111094074903,1.0,0.130160316405602,0.0,seir
early_seir_infected_only,6,ogic_p,average,0.00020191220286005555,-2.133075646633469,1.0,0.15661346756856878,0.20822911406406872,seir
early_seir_infected_only,7,aic,hard,0.0023243349030131095,-1.6182407074215892,1.0,0.12466886782042479,0.0,sir
early_seir_infected_only,7,aic,average,0.0019410470916573868,-1.7392631001689007,1.0,0.12666087207666266,0.0310236460646372,sir
early_seir_infected_only,7,bic,hard,0.0023243349030131095,-1.6182407074215892,1.0,0.12466886782042479,0.0,sir
early_seir_infected_only,7,bic,average,0.002014022990978005,-1.7154551054438574,1.0,0.1259603460246849,0.025877843505078695,sir
early_seir_infected_only,7,gic_eff,hard,0.0023083323257584117,-1.6232103600621846,1.0,0.1248365260854971,0.0,ude_sir_h2
early_seir_infected_only,7,gic_eff,average,0.0020145036850381447,-1.7165455341956444,1.0,0.12855860532253707,0.08939160067139096,ude_sir_h2
early_seir_infected_only,7,gic_vol_050,hard,0.0023243349030131095,-1.6182407074215892,1.0,0.12466886782042479,0.0,sir
early_seir_infected_only,7,gic_vol_050,average,0.0019408879855948985,-1.7355977397840958,1.0,0.12782609008633497,0.09096377981252542,sir
early_seir_infected_only,7,ogic_p,hard,0.0023083323257584117,-1.6232103600621846,1.0,0.1248365260854971,0.0,ude_sir_h2
early_seir_infected_only,7,ogic_p,average,0.0020554755332541324,-1.706682521859645,1.0,0.1297809949218529,0.10494605590368304,ude_sir_h2
early_seir_infected_only,8,aic,hard,0.00011820862625574207,-2.308017677621168,1.0,0.13568487699580065,0.0,sir
early_seir_infected_only,8,aic,average,7.7477006790085e-05,-2.2636776791922717,1.0,0.1437563654081366,0.026566975492347277,sir
early_seir_infected_only,8,bic,hard,0.00011820862625574207,-2.308017677621168,1.0,0.13568487699580065,0.0,sir
early_seir_infected_only,8,bic,average,7.734861167565928e-05,-2.282455574611161,1.0,0.14098284484995335,0.020166148918245985,sir
early_seir_infected_only,8,gic_eff,hard,8.674989201915018e-06,-2.297328708090057,1.0,0.14147187364708255,0.0,seir
early_seir_infected_only,8,gic_eff,average,8.856772990860594e-05,-2.2411002279921983,1.0,0.14577899209068249,0.10160924928471864,seir
early_seir_infected_only,8,gic_vol_050,hard,8.674989201915018e-06,-2.297328708090057,1.0,0.14147187364708255,0.0,seir
early_seir_infected_only,8,gic_vol_050,average,6.668198311081228e-05,-2.261578035890469,1.0,0.14357995775083918,0.09349010660180292,seir
early_seir_infected_only,8,ogic_p,hard,8.674989201915018e-06,-2.297328708090057,1.0,0.14147187364708255,0.0,seir
early_seir_infected_only,8,ogic_p,average,0.0001081307509446402,-2.216567218720454,1.0,0.1485951112133501,0.1242761180339821,seir
early_seir_infected_only,9,aic,hard,0.004985784585963104,-0.8706970876146821,0.16666666666666666,0.12766034318814024,0.0,sir
early_seir_infected_only,9,aic,average,0.005506308099500187,-0.9501584935149731,0.3333333333333333,0.13645813722583397,0.015721860412373393,sir
early_seir_infected_only,9,bic,hard,0.004985784585963104,-0.8706970876146821,0.16666666666666666,0.12766034318814024,0.0,sir
early_seir_infected_only,9,bic,average,0.005335305371302502,-0.9382551411040874,0.3333333333333333,0.1343552074107154,0.012316098561778241,sir
early_seir_infected_only,9,gic_eff,hard,0.005464853332620162,-0.9957527825255824,0.5,0.14028786365135684,0.0,seir
early_seir_infected_only,9,gic_eff,average,0.00545976810159347,-0.9302635506653142,0.3333333333333333,0.1356337792388076,0.02758182096956929,seir
early_seir_infected_only,9,gic_vol_050,hard,0.005464853332620162,-0.9957527825255824,0.5,0.14028786365135684,0.0,seir
early_seir_infected_only,9,gic_vol_050,average,0.005302553684116147,-0.9134993036193956,0.16666666666666666,0.13390723724658685,0.0261965962845294,seir
early_seir_infected_only,9,ogic_p,hard,0.005464853332620162,-0.9957527825255824,0.5,0.14028786365135684,0.0,seir
early_seir_infected_only,9,ogic_p,average,0.005578046643838888,-0.932807722680241,0.3333333333333333,0.13679747218123656,0.030766784669401758,seir
early_seir_infected_only,10,aic,hard,0.0008783184464937052,-2.1053598942311997,1.0,0.1265395471868492,0.0,sir
early_seir_infected_only,10,aic,average,0.000655979481519754,-2.1538681476534496,1.0,0.12984514786813586,0.03173094465504204,sir
early_seir_infected_only,10,bic,hard,0.0008783184464937052,-2.1053598942311997,1.0,0.1265395471868492,0.0,sir
early_seir_infected_only,10,bic,average,0.000692821211146537,-2.149837800094026,1.0,0.12865580283979114,0.025804382640457143,sir
early_seir_infected_only,10,gic_eff,hard,0.000868876109439035,-2.1075426734955016,1.0,0.12664961413052245,0.0,ude_sir_h2
early_seir_infected_only,10,gic_eff,average,0.0007191523374076703,-2.117772261908129,1.0,0.13268653448103843,0.1094594526815751,ude_sir_h2
early_seir_infected_only,10,gic_vol_050,hard,0.00019890690596651835,-2.3352503118873433,1.0,0.12291051841671417,0.0,seir
early_seir_infected_only,10,gic_vol_050,average,0.0006695429493104209,-2.1387998964005908,1.0,0.1313996454940216,0.1038888367624896,seir
early_seir_infected_only,10,ogic_p,hard,0.00019890690596651835,-2.3352503118873433,1.0,0.12291051841671417,0.0,seir
early_seir_infected_only,10,ogic_p,average,0.0007556401547772969,-2.096566409037894,1.0,0.1346795855280731,0.13274105449318283,seir
early_seir_infected_only,11,aic,hard,8.018397641185243e-05,-2.3217439812362493,1.0,0.13483631434468257,0.0,sir
early_seir_infected_only,11,aic,average,9.468940792080393e-05,-2.224595778667368,1.0,0.14903154488834106,0.06016566949958451,sir
early_seir_infected_only,11,bic,hard,8.018397641185243e-05,-2.3217439812362493,1.0,0.13483631434468257,0.0,sir
early_seir_infected_only,11,bic,average,7.073515268995894e-05,-2.2647175133004125,1.0,0.14358147933902302,0.04256534350585719,sir
early_seir_infected_only,11,gic_eff,hard,7.73384474696926e-05,-2.3215810779733834,1.0,0.13496730037417648,0.0,ude_sir_h2
early_seir_infected_only,11,gic_eff,average,0.0001194081019845771,-2.1818827316910596,1.0,0.1526990979198438,0.20218436100544843,ude_sir_h2
early_seir_infected_only,11,gic_vol_050,hard,3.146474298982809e-05,-2.3190405484053898,1.0,0.1366876501018044,0.0,seir
early_seir_infected_only,11,gic_vol_050,average,6.648675894053673e-05,-2.2241160961519424,1.0,0.1477705208118585,0.18926264075469232,seir
early_seir_infected_only,11,ogic_p,hard,3.146474298982809e-05,-2.3190405484053898,1.0,0.1366876501018044,0.0,seir
early_seir_infected_only,11,ogic_p,average,0.00018508639605761934,-2.133653820237338,1.0,0.15816615480271748,0.23837490570310227,seir
early_seir_infected_only,12,aic,hard,0.0025077928122068495,-1.7920694490396256,1.0,0.12747251765485035,0.0,sir
early_seir_infected_only,12,aic,average,0.002552421298459864,-1.7965355041163018,1.0,0.14248593576242466,0.00268917773015896,sir
early_seir_infected_only,12,bic,hard,0.0025077928122068495,-1.7920694490396256,1.0,0.12747251765485035,0.0,sir
early_seir_infected_only,12,bic,average,0.002542013951252411,-1.799729508126293,1.0,0.13680180667564043,0.001921436442758716,sir
early_seir_infected_only,12,gic_eff,hard,0.0025077928122068495,-1.7920694490396256,1.0,0.12747251765485035,0.0,sir
early_seir_infected_only,12,gic_eff,average,0.0027218264563794482,-1.735056419389651,1.0,0.1432714215135334,0.07056917732770938,sir
early_seir_infected_only,12,gic_vol_050,hard,0.0025077928122068495,-1.7920694490396256,1.0,0.12747251765485035,0.0,sir
early_seir_infected_only,12,gic_vol_050,average,0.002810737157845574,-1.7044550264300675,1.0,0.1377668141561592,0.10324561489731965,sir
early_seir_infected_only,12,ogic_p,hard,0.0025077928122068495,-1.7920694490396256,1.0,0.12747251765485035,0.0,sir
early_seir_infected_only,12,ogic_p,average,0.0027529985208721414,-1.7250913946016837,1.0,0.146928173227744,0.07693833458147223,sir
early_seir_infected_only,13,aic,hard,0.002410383058475902,-1.7938228861972327,1.0,0.1343831908848146,0.0,sir
early_seir_infected_only,13,aic,average,0.001603694466895506,-1.9193418271334777,1.0,0.1497879564983873,0.05730444345667041,sir
early_seir_infected_only,13,bic,hard,0.002410383058475902,-1.7938228861972327,1.0,0.1343831908848146,0.0,sir
early_seir_infected_only,13,bic,average,0.0017473277883934101,-1.9126952927173946,1.0,0.14458662111737994,0.05458108334226766,sir
early_seir_infected_only,13,gic_eff,hard,0.000408064665103689,-2.276160593072938,1.0,0.12715261727706872,0.0,seir
early_seir_infected_only,13,gic_eff,average,0.002655377483727441,-1.6463393136570916,1.0,0.15773087214379686,0.35120195416239036,seir
early_seir_infected_only,13,gic_vol_050,hard,0.000408064665103689,-2.276160593072938,1.0,0.12715261727706872,0.0,seir
early_seir_infected_only,13,gic_vol_050,average,0.00260997846829809,-1.6498039112883862,1.0,0.1558439085514364,0.41715174603203814,seir
early_seir_infected_only,13,ogic_p,hard,0.008690273441085675,4.163323353663241,0.0,0.08004863833847199,0.0,neural_ode_h2
early_seir_infected_only,13,ogic_p,average,0.0029003737398462376,-1.5938426813161186,1.0,0.15955553423012367,0.35111338363453326,neural_ode_h2
early_seir_infected_only,14,aic,hard,0.00010459647364196961,-2.2269954679971193,1.0,0.14693351382772488,0.0,sir
early_seir_infected_only,14,aic,average,0.00015830380189304949,-2.1357979125416464,1.0,0.1606191453685957,0.01028566212943722,sir
early_seir_infected_only,14,bic,hard,0.00010459647364196961,-2.2269954679971193,1.0,0.14693351382772488,0.0,sir
early_seir_infected_only,14,bic,average,0.00013657215401382338,-2.165563665040089,1.0,0.1561369664782933,0.006964559178724663,sir
early_seir_infected_only,14,gic_eff,hard,0.00010459647364196961,-2.2269954679971193,1.0,0.14693351382772488,0.0,sir
early_seir_infected_only,14,gic_eff,average,0.00016139401895992852,-2.1263477374382327,1.0,0.16200065861183385,0.08436500263735415,sir
early_seir_infected_only,14,gic_vol_050,hard,0.00010459647364196961,-2.2269954679971193,1.0,0.14693351382772488,0.0,sir
early_seir_infected_only,14,gic_vol_050,average,0.00013844505180516685,-2.1500639625608997,1.0,0.15863714950655047,0.08734777276547935,sir
early_seir_infected_only,14,ogic_p,hard,0.00016122028457604437,-2.110043648312045,1.0,0.16509589277755118,0.0,seir
early_seir_infected_only,14,ogic_p,average,0.0001846347148034938,-2.1030896143241264,1.0,0.16536865329990583,0.09955383581350463,seir
early_seir_infected_only,15,aic,hard,8.46757973320698e-06,-2.3408186239819315,1.0,0.1341139717915966,0.0,sir
