seed,scenario,criterion,model,score,weight,selected
0,redundant_parameterization,aic,SIR,17.264131550375627,0.850013197149751,1
0,redundant_parameterization,aic,Redundant-SIR,25.264131550375623,0.01556853476965328,0
0,redundant_parameterization,aic,Duplicate-UDE,32.982300328690584,0.00032829833904897155,0
0,redundant_parameterization,aic,TV-SIR,20.95761331995289,0.13408996974154658,0
0,redundant_parameterization,bic,SIR,19.353176425822472,0.945376576332787,1
0,redundant_parameterization,bic,Redundant-SIR,31.53126617671616,0.002143711057443967,0
0,redundant_parameterization,bic,Duplicate-UDE,43.42752470592481,5.596629158490802e-06,0
0,redundant_parameterization,bic,TV-SIR,25.135703070846585,0.05247411598061065,0
0,redundant_parameterization,gic_eff,SIR,19.321732813585392,0.35731761862412387,0
0,redundant_parameterization,gic_eff,Redundant-SIR,19.259479434639484,0.36861464053052,1
0,redundant_parameterization,gic_eff,Duplicate-UDE,20.039537772671892,0.24956579671691978,0
0,redundant_parameterization,gic_eff,TV-SIR,24.681478028947502,0.024501944128436298,0
0,redundant_parameterization,gic_aic,SIR,17.243475691941164,0.3299239873531147,0
0,redundant_parameterization,gic_aic,Redundant-SIR,17.202580359277786,0.33673960725219076,1
0,redundant_parameterization,gic_aic,Duplicate-UDE,17.618322948552397,0.27353748202519196,0
0,redundant_parameterization,gic_aic,TV-SIR,20.659224951208444,0.05979892336950265,0
0,redundant_parameterization,cv,SIR,0.574924953177296,0.25142110520746913,1
0,redundant_parameterization,cv,Redundant-SIR,0.5749249531772891,0.25142110520747,1
0,redundant_parameterization,cv,Duplicate-UDE,0.5936416086245718,0.2490791993611546,0
0,redundant_parameterization,cv,TV-SIR,0.6016922557977742,0.24807859022390627,0
1,redundant_parameterization,aic,SIR,32.713404208716334,0.7440109480575866,1
1,redundant_parameterization,aic,Redundant-SIR,40.71340420871633,0.013627035853887567,0
1,redundant_parameterization,aic,Duplicate-UDE,46.9950253302101,0.0005893383506804253,0
1,redundant_parameterization,aic,TV-SIR,34.96151983542437,0.24177267773784542,0
1,redundant_parameterization,bic,SIR,34.80244908416318,0.8955601749102055,1
1,redundant_parameterization,bic,Redundant-SIR,46.98053883505686,0.0020307486959415177,0
1,redundant_parameterization,bic,Duplicate-UDE,57.44024970744433,1.0873236289878269e-05,0
1,redundant_parameterization,bic,TV-SIR,39.13960958631806,0.10239820315756323,0
1,redundant_parameterization,gic_eff,SIR,34.771005471926095,0.27736945301299654,0
1,redundant_parameterization,gic_eff,Redundant-SIR,34.708752092980184,0.28613881848374684,0
1,redundant_parameterization,gic_eff,Duplicate-UDE,34.05226277419141,0.39731194657306707,1
1,redundant_parameterization,gic_eff,TV-SIR,38.68538454441898,0.039179781930189526,0
1,redundant_parameterization,gic_aic,SIR,32.69274835028187,0.24423583847227137,0
1,redundant_parameterization,gic_aic,Redundant-SIR,32.651853017618485,0.24928129956200312,0
1,redundant_parameterization,gic_aic,Duplicate-UDE,31.631047950071917,0.4152930890782676,1
1,redundant_parameterization,gic_aic,TV-SIR,34.66313146667992,0.09118977288745782,0
1,redundant_parameterization,cv,SIR,1.267553457016701,0.28032532462218024,1
1,redundant_parameterization,cv,Redundant-SIR,1.2675534570167064,0.28032532462217946,1
1,redundant_parameterization,cv,Duplicate-UDE,1.75522212975155,0.21966781336595956,0
1,redundant_parameterization,cv,TV-SIR,1.755097181131942,0.21968153738968074,0
2,redundant_parameterization,aic,SIR,35.426385628036215,0.29214969462249196,0
2,redundant_parameterization,aic,Redundant-SIR,43.42638562803621,0.005350908308159548,0
2,redundant_parameterization,aic,Duplicate-UDE,45.85967199699842,0.0015850613912711969,0
2,redundant_parameterization,aic,TV-SIR,33.676146922402765,0.7009143356780774,1
2,redundant_parameterization,bic,SIR,37.51543050348307,0.5415594633552682,1
2,redundant_parameterization,bic,Redundant-SIR,49.69352025437675,0.001228025994002881,0
2,redundant_parameterization,bic,Duplicate-UDE,56.304896374232655,4.503658756010734e-05,0
2,redundant_parameterization,bic,TV-SIR,37.854236673296455,0.45716747406316893,0
2,redundant_parameterization,gic_eff,SIR,37.48398689124598,0.07760458577127452,0
2,redundant_parameterization,gic_eff,Redundant-SIR,37.42173351230007,0.08005814714020655,0
2,redundant_parameterization,gic_eff,Duplicate-UDE,32.91690944097974,0.7614048742079351,1
2,redundant_parameterization,gic_eff,TV-SIR,37.400011631397376,0.08093239288058389,0
2,redundant_parameterization,gic_aic,SIR,35.405729769601756,0.06088701860526571,0
2,redundant_parameterization,gic_aic,Redundant-SIR,35.364834436938374,0.06214483189411079,0
2,redundant_parameterization,gic_aic,Duplicate-UDE,30.495694616860238,0.709129079981706,1
2,redundant_parameterization,gic_aic,TV-SIR,33.37775855365832,0.16783906951891728,0
2,redundant_parameterization,cv,SIR,1.549408527528672,0.24574054034322526,0
2,redundant_parameterization,cv,Redundant-SIR,1.5494085275286809,0.24574054034322418,0
2,redundant_parameterization,cv,Duplicate-UDE,1.4858403422790722,0.253676633098397,0
2,redundant_parameterization,cv,TV-SIR,1.4766713213117093,0.2548422862151536,1
3,redundant_parameterization,aic,SIR,21.315572090678575,0.8040408049115867,1
3,redundant_parameterization,aic,Redundant-SIR,29.31557209067857,0.014726521034567815,0
3,redundant_parameterization,aic,Duplicate-UDE,37.10953822988019,0.00029899361828965017,0
3,redundant_parameterization,aic,TV-SIR,24.298611015837594,0.1809336804355559,0
3,redundant_parameterization,bic,SIR,23.40461696612542,0.9246823540226793,1
3,redundant_parameterization,bic,Redundant-SIR,35.58270671701911,0.002096785383271387,0
3,redundant_parameterization,bic,Duplicate-UDE,47.55476260711441,5.270539535511453e-06,0
3,redundant_parameterization,bic,TV-SIR,28.476700766731284,0.073215590054514,0
3,redundant_parameterization,gic_eff,SIR,23.37317335388834,0.35690048670585833,0
3,redundant_parameterization,gic_eff,Redundant-SIR,23.310919974942436,0.36818432049005423,1
3,redundant_parameterization,gic_eff,Duplicate-UDE,24.166775673861498,0.24000405864319832,0
3,redundant_parameterization,gic_eff,TV-SIR,28.022475724832205,0.034911134160889125,0
3,redundant_parameterization,gic_aic,SIR,21.294916232244113,0.3249421995302346,0
3,redundant_parameterization,gic_aic,Redundant-SIR,21.254020899580734,0.33165490489893357,1
3,redundant_parameterization,gic_aic,Duplicate-UDE,21.745560849742002,0.2593879999880302,0
3,redundant_parameterization,gic_aic,TV-SIR,24.000222647093146,0.0840148955828016,0
3,redundant_parameterization,cv,SIR,0.7045216242431513,0.25375083417343486,1
3,redundant_parameterization,cv,Redundant-SIR,0.704521624243156,0.25375083417343425,1
