status,candidate,seed,dimension,deviance,trajectory_mse,jacobian_rank,wall_seconds,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,d_obs,c_obs,prior_energy
ok,ude_sir_h2,0,11,-194.07884003045805,3.747247352479493e-05,10,25.58479159999115,-172.07884003045805,-161.51884003045805,-154.35874299137157,45383.399387090605,22768.15478780586,-186.15392944184757,-162.83851972139612,-179.7707392301993,-172.9944291310983,-166.21811903199728,-152.66549883379528,3.9624552943052493,27.105240396404024,4.135079912657918
ok,ude_sir_h2,1,11,-211.36481846048736,2.5102138275887452e-05,9,12.560422099995776,-189.36481846048736,-178.80481846048735,-171.6447214214009,25663.17092674298,12907.916340837644,-203.6219575904802,-180.5168764589345,-197.38540095517692,-190.6439280036919,-183.9024550522069,-170.41950914923686,3.8714304350035738,26.96589180594005,3.882050195612805
ok,ude_sir_h2,2,11,-214.1038314155422,2.1130635800060504e-05,10,12.484867499995744,-192.1038314155422,-181.5438314155422,-174.38373437645572,21779.82790756088,10969.781258074323,-206.3815175253398,-183.58659568150063,-200.16151063894563,-193.58384331155193,-187.00617598415823,-173.85084132937084,3.861156945101196,26.310669309574806,4.206566424466793
ok,ude_sir_h2,3,11,-222.3215565641848,2.3586283312877137e-05,9,12.508148900000378,-200.3215565641848,-189.7615565641848,-182.60145952509833,30903.94351192091,15530.056070626852,-214.4873578141127,-191.42933606272635,-208.17723226525962,-201.44264150260958,-194.70805073995956,-181.23886921465947,3.9170993750360497,26.938363050600135,3.9538574508582953
ok,ude_sir_h2,4,11,-219.21980131682088,3.065012279722285e-05,10,24.421395800003665,-197.21980131682088,-186.65980131682088,-179.4997042777344,27954.26498981282,14051.277639782887,-211.37964191628453,-188.4086780107646,-205.06471530812954,-198.3216378442082,-191.5785603802869,-178.09240545244424,3.9200797002681704,26.972309855685307,3.838813450370992
ok,ude_sir_h2,5,11,-201.93420729434933,2.0362515594339046e-05,9,13.576788400008809,-179.93420729434933,-169.37420729434933,-162.21411025526288,28546.293289428027,14353.980263367015,-194.20331882365628,-171.53614237042837,-187.97640546460917,-181.3751119522645,-174.77381843991978,-161.5712314152304,3.865444235346537,26.405174049378772,3.9928908745421836
ok,ude_sir_h2,6,11,-216.48857800894,1.6338081886083714e-05,9,36.163694499991834,-194.48857800894,-183.92857800894,-176.76848096985356,32054.78520840113,16104.790896425338,-208.7553705148478,-187.10579207867463,-202.52658927763395,-195.9613271308342,-189.3960649840345,-176.26554069043505,3.8666037470461045,26.26104858719891,3.121737343066492
ok,ude_sir_h2,7,11,-195.34764358477884,2.8454196958910657e-05,9,12.682651900002384,-173.34764358477884,-162.78764358477883,-155.62754654569238,29949.031610965965,15051.70487495048,-187.6336118440592,-165.91141340683527,-181.42027588914354,-174.83543713190184,-168.25059837466011,-155.08092086017672,3.8570158703598145,26.33935502896683,3.096875148976754
ok,ude_sir_h2,8,11,-203.19472904687967,2.1117934084524845e-05,10,29.077029799998854,-181.19472904687967,-170.63472904687967,-163.47463200779322,13436.469960779932,6797.033825086082,-195.68147554863194,-173.1170912938365,-189.62985822734987,-183.1929038294692,-176.75594943158853,-163.8820406358272,3.756626749123864,25.74781759152266,4.3298201615205025
ok,ude_sir_h2,9,11,-200.12010354917368,1.958282136591782e-05,10,16.731679599994095,-178.12010354917368,-167.56010354917368,-160.40000651008722,16889.120867300007,8522.13121538654,-192.55637248629648,-169.6839533867246,-186.4640975584903,-180.00727673463845,-173.55045591078658,-160.6368142630829,3.7818655314385916,25.827283295407405,4.608866867041689
