metric,amplitude_information,shift_information,cross_information,minimum_eigenvalue,maximum_eigenvalue
Fisher trajectory,69.12569685133491,2045.1359287437408,0.0,69.12569685133491,2045.1359287437408
Wasserstein shape,3.97219432688128e-34,2.1321885046955855,-4.3141331300017404e-18,3.884904930927822e-34,2.1321885046955855
