scenario,seed,criterion,selected,truth,correct
early_seir_infected_only,9,ogic_p,seir,seir,1
early_seir_infected_only,9,gic_eff,seir,seir,1
early_seir_infected_only,9,gic_vol_025,seir,seir,1
early_seir_infected_only,9,gic_vol_050,seir,seir,1
early_seir_infected_only,9,gic_vol_100,seir,seir,1
early_seir_infected_only,9,ogic_e,sir,seir,0
early_seir_infected_only,10,aic,sir,seir,0
early_seir_infected_only,10,aicc,sir,seir,0
early_seir_infected_only,10,bic,sir,seir,0
early_seir_infected_only,10,blocked_validation,seir,seir,1
early_seir_infected_only,10,waic_laplace,seir,seir,1
early_seir_infected_only,10,ogic_p,seir,seir,1
early_seir_infected_only,10,gic_eff,ude_sir_h2,seir,0
early_seir_infected_only,10,gic_vol_025,sir,seir,0
early_seir_infected_only,10,gic_vol_050,seir,seir,1
early_seir_infected_only,10,gic_vol_100,seir,seir,1
early_seir_infected_only,10,ogic_e,seir,seir,1
early_seir_infected_only,11,aic,sir,seir,0
early_seir_infected_only,11,aicc,sir,seir,0
early_seir_infected_only,11,bic,sir,seir,0
early_seir_infected_only,11,blocked_validation,tv_sir,seir,0
early_seir_infected_only,11,waic_laplace,seir,seir,1
early_seir_infected_only,11,ogic_p,seir,seir,1
early_seir_infected_only,11,gic_eff,ude_sir_h2,seir,0
early_seir_infected_only,11,gic_vol_025,seir,seir,1
early_seir_infected_only,11,gic_vol_050,seir,seir,1
early_seir_infected_only,11,gic_vol_100,seir,seir,1
early_seir_infected_only,11,ogic_e,seir,seir,1
early_seir_infected_only,12,aic,sir,seir,0
early_seir_infected_only,12,aicc,sir,seir,0
early_seir_infected_only,12,bic,sir,seir,0
early_seir_infected_only,12,blocked_validation,ude_sir_h2,seir,0
early_seir_infected_only,12,waic_laplace,sir,seir,0
early_seir_infected_only,12,ogic_p,sir,seir,0
early_seir_infected_only,12,gic_eff,sir,seir,0
early_seir_infected_only,12,gic_vol_025,sir,seir,0
early_seir_infected_only,12,gic_vol_050,sir,seir,0
early_seir_infected_only,12,gic_vol_100,sir,seir,0
early_seir_infected_only,12,ogic_e,sir,seir,0
early_seir_infected_only,13,aic,sir,seir,0
early_seir_infected_only,13,aicc,sir,seir,0
early_seir_infected_only,13,bic,sir,seir,0
early_seir_infected_only,13,blocked_validation,ude_sir_h2,seir,0
early_seir_infected_only,13,waic_laplace,sir,seir,0
early_seir_infected_only,13,ogic_p,neural_ode_h2,seir,0
early_seir_infected_only,13,gic_eff,seir,seir,1
early_seir_infected_only,13,gic_vol_025,seir,seir,1
early_seir_infected_only,13,gic_vol_050,seir,seir,1
early_seir_infected_only,13,gic_vol_100,seir,seir,1
early_seir_infected_only,13,ogic_e,seir,seir,1
early_seir_infected_only,14,aic,sir,seir,0
early_seir_infected_only,14,aicc,sir,seir,0
early_seir_infected_only,14,bic,sir,seir,0
early_seir_infected_only,14,blocked_validation,seir,seir,1
early_seir_infected_only,14,waic_laplace,sir,seir,0
early_seir_infected_only,14,ogic_p,seir,seir,1
early_seir_infected_only,14,gic_eff,sir,seir,0
early_seir_infected_only,14,gic_vol_025,sir,seir,0
early_seir_infected_only,14,gic_vol_050,sir,seir,0
early_seir_infected_only,14,gic_vol_100,seir,seir,1
early_seir_infected_only,14,ogic_e,seir,seir,1
early_seir_infected_only,15,aic,sir,seir,0
early_seir_infected_only,15,aicc,sir,seir,0
early_seir_infected_only,15,bic,sir,seir,0
early_seir_infected_only,15,blocked_validation,seir,seir,1
early_seir_infected_only,15,waic_laplace,sir,seir,0
early_seir_infected_only,15,ogic_p,ude_sir_h2,seir,0
early_seir_infected_only,15,gic_eff,ude_sir_h2,seir,0
early_seir_infected_only,15,gic_vol_025,sir,seir,0
early_seir_infected_only,15,gic_vol_050,sir,seir,0
early_seir_infected_only,15,gic_vol_100,sir,seir,0
early_seir_infected_only,15,ogic_e,seir,seir,1
early_seir_infected_only,16,aic,sir,seir,0
early_seir_infected_only,16,aicc,sir,seir,0
early_seir_infected_only,16,bic,sir,seir,0
early_seir_infected_only,16,blocked_validation,seir,seir,1
early_seir_infected_only,16,waic_laplace,seir,seir,1
early_seir_infected_only,16,ogic_p,sir,seir,0
early_seir_infected_only,16,gic_eff,sir,seir,0
early_seir_infected_only,16,gic_vol_025,sir,seir,0
early_seir_infected_only,16,gic_vol_050,seir,seir,1
early_seir_infected_only,16,gic_vol_100,seir,seir,1
early_seir_infected_only,16,ogic_e,seir,seir,1
early_seir_infected_only,17,aic,sir,seir,0
early_seir_infected_only,17,aicc,sir,seir,0
early_seir_infected_only,17,bic,sir,seir,0
early_seir_infected_only,17,blocked_validation,seir,seir,1
early_seir_infected_only,17,waic_laplace,tv_sir,seir,0
early_seir_infected_only,17,ogic_p,seir,seir,1
early_seir_infected_only,17,gic_eff,seir,seir,1
early_seir_infected_only,17,gic_vol_025,seir,seir,1
early_seir_infected_only,17,gic_vol_050,seir,seir,1
early_seir_infected_only,17,gic_vol_100,seir,seir,1
early_seir_infected_only,17,ogic_e,seir,seir,1
early_seir_infected_only,18,aic,sir,seir,0
early_seir_infected_only,18,aicc,sir,seir,0
early_seir_infected_only,18,bic,sir,seir,0
early_seir_infected_only,18,blocked_validation,seir,seir,1
early_seir_infected_only,18,waic_laplace,tv_sir,seir,0
early_seir_infected_only,18,ogic_p,seir,seir,1
early_seir_infected_only,18,gic_eff,seir,seir,1
early_seir_infected_only,18,gic_vol_025,seir,seir,1
early_seir_infected_only,18,gic_vol_050,seir,seir,1
early_seir_infected_only,18,gic_vol_100,seir,seir,1
early_seir_infected_only,18,ogic_e,seir,seir,1
early_seir_infected_only,19,aic,sir,seir,0
early_seir_infected_only,19,aicc,sir,seir,0
early_seir_infected_only,19,bic,sir,seir,0
early_seir_infected_only,19,blocked_validation,seir,seir,1
early_seir_infected_only,19,waic_laplace,neural_ode_h2,seir,0
early_seir_infected_only,19,ogic_p,ude_sir_h2,seir,0
early_seir_infected_only,19,gic_eff,ude_sir_h2,seir,0
early_seir_infected_only,19,gic_vol_025,sir,seir,0
early_seir_infected_only,19,gic_vol_050,sir,seir,0
early_seir_infected_only,19,gic_vol_100,sir,seir,0
early_seir_infected_only,19,ogic_e,seir,seir,1
missing_neural_feedback,0,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,0,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,0,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,0,blocked_validation,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,0,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,0,ogic_p,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,0,gic_eff,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,0,gic_vol_025,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,0,gic_vol_050,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,0,gic_vol_100,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,0,ogic_e,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,1,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,1,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,1,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,1,blocked_validation,tv_sir,ude_sir_h2,0
missing_neural_feedback,1,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,1,ogic_p,tv_sir,ude_sir_h2,0
missing_neural_feedback,1,gic_eff,tv_sir,ude_sir_h2,0
