scenario,seed,criterion,candidate,weight
early_seir_infected_only,1,ogic_p,tv_sir,0.13927657990576472
early_seir_infected_only,1,ogic_p,ude_sir_h2,0.26971786849373175
early_seir_infected_only,1,gic_eff,neural_ode_h2,0.06504573158256148
early_seir_infected_only,1,gic_eff,seir,0.40438662032870903
early_seir_infected_only,1,gic_eff,sir,0.18086911069170625
early_seir_infected_only,1,gic_eff,tv_sir,0.09206514822924633
early_seir_infected_only,1,gic_eff,ude_sir_h2,0.257633389167777
early_seir_infected_only,1,gic_vol_025,neural_ode_h2,0.061701397585136084
early_seir_infected_only,1,gic_vol_025,seir,0.46977358805091396
early_seir_infected_only,1,gic_vol_025,sir,0.20178374708617633
early_seir_infected_only,1,gic_vol_025,tv_sir,0.04635694350012998
early_seir_infected_only,1,gic_vol_025,ude_sir_h2,0.22038432377764353
early_seir_infected_only,1,gic_vol_050,neural_ode_h2,0.05621078568730332
early_seir_infected_only,1,gic_vol_050,seir,0.5241177521159847
early_seir_infected_only,1,gic_vol_050,sir,0.21620036244795643
early_seir_infected_only,1,gic_vol_050,tv_sir,0.0224172732721535
early_seir_infected_only,1,gic_vol_050,ude_sir_h2,0.18105382647660204
early_seir_infected_only,1,gic_vol_100,neural_ode_h2,0.043409926550985654
early_seir_infected_only,1,gic_vol_100,seir,0.6070570453090668
early_seir_infected_only,1,gic_vol_100,sir,0.23094947239329325
early_seir_infected_only,1,gic_vol_100,tv_sir,0.004877966995833219
early_seir_infected_only,1,gic_vol_100,ude_sir_h2,0.11370558875082114
early_seir_infected_only,1,ogic_e,neural_ode_h2,1.7483923024358504e-06
early_seir_infected_only,1,ogic_e,seir,0.677478322134872
early_seir_infected_only,1,ogic_e,sir,0.17927042202553453
early_seir_infected_only,1,ogic_e,tv_sir,0.04384809665197735
early_seir_infected_only,1,ogic_e,ude_sir_h2,0.09940141079531356
early_seir_infected_only,2,aic,neural_ode_h2,4.5409640521686865e-06
early_seir_infected_only,2,aic,seir,0.4094231244416436
early_seir_infected_only,2,aic,sir,0.30502185917034796
early_seir_infected_only,2,aic,tv_sir,0.2854232126687854
early_seir_infected_only,2,aic,ude_sir_h2,0.000127262755170882
early_seir_infected_only,2,aicc,neural_ode_h2,7.330361921608209e-97
early_seir_infected_only,2,aicc,seir,0.3869870566710916
early_seir_infected_only,2,aicc,sir,0.4939760695062859
early_seir_infected_only,2,aicc,tv_sir,0.11903687382262244
early_seir_infected_only,2,aicc,ude_sir_h2,1.5233579795500712e-18
early_seir_infected_only,2,bic,neural_ode_h2,6.160457482496848e-08
early_seir_infected_only,2,bic,seir,0.38909699123043995
early_seir_infected_only,2,bic,sir,0.426561816950595
early_seir_infected_only,2,bic,tv_sir,0.18433562894705377
early_seir_infected_only,2,bic,ude_sir_h2,5.501267336436487e-06
early_seir_infected_only,2,blocked_validation,neural_ode_h2,6.633511788859157e-05
early_seir_infected_only,2,blocked_validation,seir,0.9983139094723639
early_seir_infected_only,2,blocked_validation,sir,0.0008797911894072947
early_seir_infected_only,2,blocked_validation,tv_sir,4.167861494813958e-17
early_seir_infected_only,2,blocked_validation,ude_sir_h2,0.0007399642203402073
early_seir_infected_only,2,waic_laplace,neural_ode_h2,5.145735751380998e-215
early_seir_infected_only,2,waic_laplace,seir,8.808155501779897e-27
early_seir_infected_only,2,waic_laplace,sir,1.0
early_seir_infected_only,2,waic_laplace,tv_sir,7.872099117326646e-45
early_seir_infected_only,2,waic_laplace,ude_sir_h2,2.403757772604815e-100
early_seir_infected_only,2,ogic_p,neural_ode_h2,0.09016180941576363
early_seir_infected_only,2,ogic_p,seir,0.38646626537353845
early_seir_infected_only,2,ogic_p,sir,0.1260809069822368
early_seir_infected_only,2,ogic_p,tv_sir,0.1749756074011879
early_seir_infected_only,2,ogic_p,ude_sir_h2,0.22231541082727324
early_seir_infected_only,2,gic_eff,neural_ode_h2,0.06941672798823723
early_seir_infected_only,2,gic_eff,seir,0.4457056831146227
early_seir_infected_only,2,gic_eff,sir,0.15553144197048877
early_seir_infected_only,2,gic_eff,tv_sir,0.11607463226539798
early_seir_infected_only,2,gic_eff,ude_sir_h2,0.21327151466125338
early_seir_infected_only,2,gic_vol_025,neural_ode_h2,0.06597156077530938
early_seir_infected_only,2,gic_vol_025,seir,0.5236540381382171
early_seir_infected_only,2,gic_vol_025,sir,0.17492712371442068
early_seir_infected_only,2,gic_vol_025,tv_sir,0.055323518396056766
early_seir_infected_only,2,gic_vol_025,ude_sir_h2,0.180123758975996
early_seir_infected_only,2,gic_vol_050,neural_ode_h2,0.05953206794678515
early_seir_infected_only,2,gic_vol_050,seir,0.5841741457430104
early_seir_infected_only,2,gic_vol_050,sir,0.18680895969978822
early_seir_infected_only,2,gic_vol_050,tv_sir,0.02503709041248201
early_seir_infected_only,2,gic_vol_050,ude_sir_h2,0.14444773619793438
early_seir_infected_only,2,gic_vol_100,neural_ode_h2,0.044615714014485525
early_seir_infected_only,2,gic_vol_100,seir,0.6690930853057622
early_seir_infected_only,2,gic_vol_100,sir,0.19607727136430833
early_seir_infected_only,2,gic_vol_100,tv_sir,0.004719331102369968
early_seir_infected_only,2,gic_vol_100,ude_sir_h2,0.08549459821307391
early_seir_infected_only,2,ogic_e,neural_ode_h2,2.1390578478512152e-06
early_seir_infected_only,2,ogic_e,seir,0.713007684747639
early_seir_infected_only,2,ogic_e,sir,0.15652059781255862
early_seir_infected_only,2,ogic_e,tv_sir,0.04314056569115433
early_seir_infected_only,2,ogic_e,ude_sir_h2,0.0873290126908003
early_seir_infected_only,3,aic,neural_ode_h2,1.342339814155454e-06
early_seir_infected_only,3,aic,seir,0.20526283514330812
early_seir_infected_only,3,aic,sir,0.6626959733112047
early_seir_infected_only,3,aic,tv_sir,0.13195806755159772
early_seir_infected_only,3,aic,ude_sir_h2,8.178165407538199e-05
early_seir_infected_only,3,aicc,neural_ode_h2,1.6387769305510691e-97
early_seir_infected_only,3,aicc,seir,0.14672847742456469
early_seir_infected_only,3,aicc,sir,0.8116509370284215
early_seir_infected_only,3,aicc,tv_sir,0.04162058554701397
early_seir_infected_only,3,aicc,ude_sir_h2,7.40349107199517e-19
early_seir_infected_only,3,bic,neural_ode_h2,1.508691481867069e-08
early_seir_infected_only,3,bic,seir,0.16161024680516536
early_seir_infected_only,3,bic,sir,0.767782857824561
early_seir_infected_only,3,bic,tv_sir,0.07060395147884606
early_seir_infected_only,3,bic,ude_sir_h2,2.92880451275081e-06
early_seir_infected_only,3,blocked_validation,neural_ode_h2,0.6397485121205048
early_seir_infected_only,3,blocked_validation,seir,0.00028664632719896805
early_seir_infected_only,3,blocked_validation,sir,0.1830394391913764
early_seir_infected_only,3,blocked_validation,tv_sir,1.1563506402358e-210
early_seir_infected_only,3,blocked_validation,ude_sir_h2,0.1769254023609198
early_seir_infected_only,3,waic_laplace,neural_ode_h2,7.287506350213059e-194
early_seir_infected_only,3,waic_laplace,seir,2.5502860519454583e-12
early_seir_infected_only,3,waic_laplace,sir,0.9999999994744957
early_seir_infected_only,3,waic_laplace,tv_sir,5.229541688651684e-10
early_seir_infected_only,3,waic_laplace,ude_sir_h2,1.2131586897697776e-252
early_seir_infected_only,3,ogic_p,neural_ode_h2,0.05574490401249856
early_seir_infected_only,3,ogic_p,seir,0.21884181973393213
early_seir_infected_only,3,ogic_p,sir,0.2919285301733766
early_seir_infected_only,3,ogic_p,tv_sir,0.14254569662677136
early_seir_infected_only,3,ogic_p,ude_sir_h2,0.29093904945342136
early_seir_infected_only,3,gic_eff,neural_ode_h2,0.04854318713317481
early_seir_infected_only,3,gic_eff,seir,0.2249992134656146
